label,horizon,frame_rel_l2,delta_frame_rel_l2_pct_vs_baseline,velocity_rmse,tke_contrib_rel_l2,delta_tke_contrib_rel_l2_pct_vs_baseline,tke_contrib_ratio,correction_help_fraction
current80,1,0.03936816268167666,0.0,0.006384186639412675,0.5679456171994767,0.0,1.0617034880919183,0.8562995910644531
current80,2,0.04974723892591158,0.0,0.00805647467567008,0.5914745166487627,0.0,1.0101946255059429,0.806744384765625
current80,3,0.05799061261226235,0.0,0.00945004427619462,0.6018859464144944,0.0,0.9181216068911812,0.7757110595703125
current80,4,0.0653090286674459,0.0,0.010687619495324601,0.6223997812649315,0.0,0.8161326681730178,0.7472808837890625
current80,5,0.06887818003756352,0.0,0.011281463335943863,0.6434908443126208,0.0,0.7616076202617975,0.7300254821777343
current80,6,0.07184358241074038,0.0,0.011709455150606705,0.6620681188191823,0.0,0.7341083280698337,0.7055999755859375
current80,7,0.07453306755079234,0.0,0.012116354350508361,0.6838967321142363,0.0,0.7084148400987603,0.6982963562011719
current80,8,0.07694892769283179,0.0,0.012484252223777087,0.7051475750077445,0.0,0.686842943254631,0.6928115844726562
current80,9,0.0788967954874566,0.0,0.012754591143502829,0.7216214959799014,0.0,0.6701131196781888,0.6904991149902344
current80,10,0.0807464670629238,0.0,0.013028102155738297,0.7341922473514989,0.0,0.650354188434756,0.6875160217285157
current80,11,0.08248004164901285,0.0,0.013306381135849059,0.7353135269544816,0.0,0.6332156458267035,0.6856956481933594
current80,12,0.08425405149704875,0.0,0.013570085697263222,0.7298175932820584,0.0,0.6109489581105284,0.6837936401367187
current80,13,0.08617465919026827,0.0,0.013858216802563234,0.721714390539501,0.0,0.5899051737358267,0.6796424865722657
current80,14,0.08791528357095524,0.0,0.014097945831831753,0.7109481889702379,0.0,0.5701016100107474,0.6800048828125
current80,15,0.08963672267700133,0.0,0.014323097527194217,0.703294457221179,0.0,0.5492318949718943,0.6897514343261719
current80,16,0.09130602484665148,0.0,0.014556128129807873,0.6985053389616818,0.0,0.5291359705559264,0.6961692810058594
current80,17,0.09317770131341976,0.0,0.014845738113097195,0.7013885493295644,0.0,0.5029023655542592,0.7031929016113281
current80,18,0.0952111599904927,0.0,0.01513876067770382,0.7100442678854544,0.0,0.4707065624380791,0.70604248046875
current80,19,0.09758361746555282,0.0,0.015490313085867973,0.7230466256534264,0.0,0.4371254432517882,0.7054336547851563
current80,20,0.10008802217485577,0.0,0.01587220777364051,0.7382425448956925,0.0,0.4013362452046374,0.6972946166992188
aoa_best,1,0.03936816268167666,0.0,0.006384186639412675,0.5679456171994767,0.0,1.0617034880919183,0.8562995910644531
aoa_best,2,0.04974723892591158,0.0,0.00805647467567008,0.5914745166487627,0.0,1.0101946255059429,0.806744384765625
aoa_best,3,0.05799061261226235,0.0,0.00945004427619462,0.6018859464144944,0.0,0.9181216068911812,0.7757110595703125
aoa_best,4,0.0653090286674459,0.0,0.010687619495324601,0.6223997812649315,0.0,0.8161326681730178,0.7472808837890625
aoa_best,5,0.06887818003756352,0.0,0.011281463335943863,0.6434908443126208,0.0,0.7616076202617975,0.7300254821777343
aoa_best,6,0.07184358241074038,0.0,0.011709455150606705,0.6620681188191823,0.0,0.7341083280698337,0.7055999755859375
aoa_best,7,0.07453306755079234,0.0,0.012116354350508361,0.6838967321142363,0.0,0.7084148400987603,0.6982963562011719
aoa_best,8,0.07694892769283179,0.0,0.012484252223777087,0.7051475750077445,0.0,0.686842943254631,0.6928115844726562
aoa_best,9,0.0788967954874566,0.0,0.012754591143502829,0.7216214959799014,0.0,0.6701131196781888,0.6904991149902344
aoa_best,10,0.0807464670629238,0.0,0.013028102155738297,0.7341922473514989,0.0,0.650354188434756,0.6875160217285157
aoa_best,11,0.08248004164901285,0.0,0.013306381135849059,0.7353135269544816,0.0,0.6332156458267035,0.6856956481933594
aoa_best,12,0.08425405149704875,0.0,0.013570085697263222,0.7298175932820584,0.0,0.6109489581105284,0.6837936401367187
aoa_best,13,0.08617465919026827,0.0,0.013858216802563234,0.721714390539501,0.0,0.5899051737358267,0.6796424865722657
aoa_best,14,0.08791528357095524,0.0,0.014097945831831753,0.7109481889702379,0.0,0.5701016100107474,0.6800048828125
aoa_best,15,0.08963672267700133,0.0,0.014323097527194217,0.703294457221179,0.0,0.5492318949718943,0.6897514343261719
aoa_best,16,0.09130602484665148,0.0,0.014556128129807873,0.6985053389616818,0.0,0.5291359705559264,0.6961692810058594
aoa_best,17,0.09317770131341976,0.0,0.014845738113097195,0.7013885493295644,0.0,0.5029023655542592,0.7031929016113281
aoa_best,18,0.0952111599904927,0.0,0.01513876067770382,0.7100442678854544,0.0,0.4707065624380791,0.70604248046875
aoa_best,19,0.09758361746555282,0.0,0.015490313085867973,0.7230466256534264,0.0,0.4371254432517882,0.7054336547851563
aoa_best,20,0.10008802217485577,0.0,0.01587220777364051,0.7382425448956925,0.0,0.4013362452046374,0.6972946166992188
aoa_final,1,0.03924367160473985,-0.316222725310854,0.006354260116377479,0.5641575206936233,-0.6669822587120781,1.0576945596271068,0.8574569702148438
aoa_final,2,0.04968076670271586,-0.1336199247052096,0.008032666137316152,0.586503021212257,-0.8405257194635839,1.0034181270508071,0.8075119018554687
aoa_final,3,0.05797342976227915,-0.029630399144233266,0.00943618329964626,0.5972888883671958,-0.7637756081004737,0.9123561315425683,0.7748580932617187
aoa_final,4,0.06542283151038875,0.17425284874827277,0.010690452006102826,0.6213829778195528,-0.1633682202317284,0.8123248955608566,0.7439262390136718
aoa_final,5,0.06900638948110285,0.1861394181283737,0.011277957720203449,0.6426649061334145,-0.12835274759636356,0.7540960864499561,0.7266593933105469
aoa_final,6,0.07193734372784892,0.13050757487634485,0.01169151963902482,0.6620714211378764,0.0004987883573150684,0.7235669046339523,0.7016426086425781
aoa_final,7,0.07461349209561922,0.10790451469353562,0.012083927571663027,0.6846054081385652,0.10362325056563014,0.6951857424488366,0.6955909729003906
aoa_final,8,0.07701787230608169,0.08959788695836396,0.012438959692871038,0.7055402468808378,0.05568648138498077,0.6712089396481464,0.68956298828125
aoa_final,9,0.07898375896937719,0.11022435243827108,0.012706324609193194,0.7222571111018196,0.08808151163166343,0.6532019625204801,0.6878776550292969
aoa_final,10,0.08084833970842463,0.12616359477554512,0.012982672689804726,0.7349798809794452,0.10727893556321245,0.6337667785249129,0.6856582641601563
aoa_final,11,0.08260198382742544,0.14784446755192635,0.013262187508508841,0.7361636462266572,0.11561316921458228,0.6169613171424826,0.6836006164550781
aoa_final,12,0.08436584028295573,0.13268060576398,0.013530789827859654,0.7307255945997412,0.12441482995763273,0.5952886546678192,0.681842041015625
aoa_final,13,0.08623414451946029,0.0690287954149943,0.0138139139909871,0.7233615619208658,0.22823036411029787,0.5756640585363227,0.678240966796875
aoa_final,14,0.08789900955289827,-0.01851102265265939,0.014044242414759467,0.7131436031403154,0.3088008668054178,0.5575940478856101,0.6786293029785156
aoa_final,15,0.08957373497092155,-0.07026997886429821,0.014265534055202278,0.7050038334800686,0.24305271303339443,0.5398885141823759,0.6886093139648437
