label,checkpoint,checkpoint_iteration,rel_l2_raw,tke_raw,mvpe_raw,mean_field_rel_l2,fluctuation_rel_l2,tke_energy_ratio,correction_help_fraction,delta_rms,delta_rel_l2_raw_pct_vs_baseline,delta_tke_raw_pct_vs_baseline,delta_mvpe_raw_pct_vs_baseline,delta_mean_field_rel_l2_pct_vs_baseline,delta_fluctuation_rel_l2_pct_vs_baseline
current80,/hy-tmp/realpde_assets/colleague-80pt/20260921/extracted/handoff_colleague_80pt_archive_20260921/checkpoints/residual_model_best.pth,34000,0.08042041957378387,0.449158251285553,0.07111691683530807,0.04404963975645561,0.7444657806720234,0.6694305115576624,0.7158902740478515,0.0068940898088718635,0.0,0.0,0.0,0.0,0.0
aoa_best,/hy-tmp/realpde_runs/aoa_meanfield_long_20260922_v1/A1_aoa_meanfield/model_best.pth,0,0.08042041957378387,0.449158251285553,0.07111691683530807,0.04404963975645561,0.7444657806720234,0.6694305115576624,0.7158902740478515,0.0068940898088718635,0.0,0.0,0.0,0.0,0.0
aoa_final,/hy-tmp/realpde_runs/aoa_meanfield_long_20260922_v1/A1_aoa_meanfield/model_final.pth,20000,0.08037669956684113,0.4527857303619385,0.07124874740839005,0.04435678326424204,0.7407870167009303,0.6597320564874737,0.7147774505615234,0.006932064654683846,-0.05436431092309451,0.8076171518619889,0.18537160910288375,0.6972667869353482,-0.49414816189030647
