experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
B_strong_backbone,1,0.0392817018041677,0.005432135720648252,0.5573929659073681,1.1458200314073888,0.06570946403115893,640,16
B_strong_backbone,2,0.04827357019737895,0.006536629529196658,0.5709276396474687,1.0599583589069712,0.08014509132934595,640,16
B_strong_backbone,3,0.05662272356439115,0.00764867640714241,0.5875107084153225,0.9550382272069321,0.09406297097736752,640,16
B_strong_backbone,4,0.06425522954122201,0.008678419147401013,0.6154988869162195,0.8486150396648725,0.10624539922281136,640,16
B_strong_backbone,5,0.06805196600954594,0.009183812986600069,0.6376721196358173,0.7974959384821192,0.11156160024559011,640,16
B_strong_backbone,6,0.07107995179885081,0.009564964592724651,0.655799419670301,0.7574472823079429,0.11494455766449281,640,16
B_strong_backbone,7,0.07384379426487657,0.009912968452526271,0.6774368909068086,0.7231968339175504,0.11830503244996918,640,16
B_strong_backbone,8,0.07624201495054392,0.010211567566676086,0.698679030310376,0.6842201135279673,0.12185291365525472,640,16
B_strong_backbone,9,0.07822368713350757,0.010451110666427298,0.7144481037487209,0.6529007292378116,0.12436097531264467,640,16
B_strong_backbone,10,0.0800910130490964,0.010684183753550508,0.7266638079540175,0.6293723928838469,0.12685921342282647,640,16
B_strong_backbone,11,0.0817756753528908,0.010902628746038426,0.7288051838248064,0.6142020530061456,0.12958445897569268,640,16
B_strong_backbone,12,0.08339004145691667,0.011103622881636537,0.7236958978506794,0.6030382149991238,0.13130083350871743,640,16
B_strong_backbone,13,0.08508132323565074,0.011324379111355374,0.718183404202514,0.5986285194156687,0.1333244079290897,640,16
B_strong_backbone,14,0.08673096898843678,0.011531954817521095,0.7108261562689902,0.596481073065578,0.13542436010406508,640,16
B_strong_backbone,15,0.0885479139938223,0.0117629354245057,0.7042041737538121,0.5972554161656588,0.13688048712491613,640,16
B_strong_backbone,16,0.09034293195549939,0.011990868377096228,0.6973722250049238,0.6088839479012007,0.1388069346164361,640,16
B_strong_backbone,17,0.0925939283486608,0.012299498210729745,0.6992722452581628,0.6184648087394733,0.1417560097225348,640,16
B_strong_backbone,18,0.09576605829451339,0.012779734622203548,0.7115049614268675,0.6229399559195306,0.14495018540677557,640,16
B_strong_backbone,19,0.10084940078763416,0.013612097425853995,0.7197163654154637,0.6465622124982475,0.15368872441736658,640,16
B_strong_backbone,20,0.11558336719191627,0.01624196821931833,0.8112836714531797,0.8590519628330979,0.19094493000764468,640,16
