experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
B_stratified_random_start,10125_0.h5,29,0.04197113215923309,0.43644198775291443,0.029674923047423363
B_stratified_random_start,10125_15.h5,42,0.08730141818523407,0.4842197895050049,0.08543393760919571
B_stratified_random_start,11400_5.h5,42,0.04282834753394127,0.5198159217834473,0.03198191523551941
B_stratified_random_start,19050_0.h5,42,0.04923305660486221,0.5212994813919067,0.031263504177331924
B_stratified_random_start,20325_10.h5,42,0.07776602357625961,0.5219694375991821,0.07097965478897095
B_stratified_random_start,20325_20.h5,42,0.1028851792216301,0.46465256810188293,0.09578221291303635
B_stratified_random_start,21600_15.h5,42,0.09986747056245804,0.4949963390827179,0.09166334569454193
B_stratified_random_start,21600_5.h5,23,0.04605236276984215,0.532371997833252,0.027993422001600266
B_stratified_random_start,22875_15.h5,42,0.10505294799804688,0.5346112847328186,0.07630816102027893
B_stratified_random_start,25425_20.h5,42,0.1311320662498474,0.593007504940033,0.13789139688014984
B_stratified_random_start,26700_10.h5,42,0.10518139600753784,0.5509499311447144,0.08987955749034882
B_stratified_random_start,3750_0.h5,42,0.04839343577623367,0.35348230600357056,0.04872205853462219
B_stratified_random_start,6300_0.h5,42,0.04725651070475578,0.21130315959453583,0.036831680685281754
B_stratified_random_start,6300_20.h5,42,0.10795923322439194,0.5336745381355286,0.11280395835638046
B_stratified_random_start,7575_20.h5,42,0.11196624487638474,0.5266362428665161,0.11210756003856659
B_stratified_random_start,8850_20.h5,42,0.11131041496992111,0.5393566489219666,0.10893804579973221
