label,horizon,frame_rel_l2,delta_frame_rel_l2_pct_vs_baseline,velocity_rmse,tke_contrib_rel_l2,delta_tke_contrib_rel_l2_pct_vs_baseline,tke_contrib_ratio,correction_help_fraction
control_cno,1,0.07897182918450533,0.0,0.009271610662001393,0.7807138124045486,0.0,0.6343465130267061,0.0
control_cno,2,0.07836016912718692,0.0,0.00929129573327423,0.7760863313024338,0.0,0.6292848385172138,0.0
control_cno,3,0.0813804252403168,0.0,0.01006306656522972,0.810699018663925,0.0,0.5475087551705519,0.0
control_cno,4,0.08257600809367516,0.0,0.010503986466506488,0.8111975149882399,0.0,0.5071688832623207,0.0
control_cno,5,0.08379544979349267,0.0,0.010941803117905822,0.8047796159645695,0.0,0.4503789125615368,0.0
control_cno,6,0.08413850268629006,0.0,0.011352027186930777,0.8129788888323478,0.0,0.4055980200394421,0.0
control_cno,7,0.08620985322328649,0.0,0.011793366495752048,0.8261133995681674,0.0,0.38539905213145437,0.0
control_cno,8,0.08788945439664937,0.0,0.012170291515345051,0.8379343376810758,0.0,0.3777414045119981,0.0
control_cno,9,0.09024359415408928,0.0,0.01256166839566535,0.8494446800850356,0.0,0.36717231898734254,0.0
control_cno,10,0.09226648556346906,0.0,0.012898790604952906,0.8578014702008642,0.0,0.35592897070900237,0.0
control_cno,11,0.09437319095496177,0.0,0.013266308155353717,0.8637476330625286,0.0,0.3390473568042639,0.0
control_cno,12,0.0963148744672925,0.0,0.013618221705917822,0.8626435548544293,0.0,0.3247037440279115,0.0
control_cno,13,0.09823870683064795,0.0,0.013959484206593372,0.8610044792388168,0.0,0.3110686805021778,0.0
control_cno,14,0.10038082488245068,0.0,0.014282138184968318,0.8567823791240275,0.0,0.2997376788369853,0.0
control_cno,15,0.10255358715374394,0.0,0.014556223749437151,0.8478390104783613,0.0,0.3074846508601276,0.0
control_cno,16,0.1057068265171777,0.0,0.014934466969248026,0.8653681113570217,0.0,0.2840827789729702,0.0
