update,point_score,f18_rel,f19_rel,f20_rel,f18_f20_growth_pct,rel_l2,tke,mvpe
0,54.19799675994682,0.6118948224361873,0.559494650652991,0.5856619058490523,-4.287161065147067,0.7148464918136597,8.191961288452148,0.885932445526123
2500,88.72870821008047,0.14321458322741087,0.166570915576185,0.1960401883232189,36.885632667677484,0.14245347678661346,0.5638751983642578,0.10907527804374695
5000,89.1750138420643,0.13430940556685358,0.1575664262813355,0.19215016085227035,43.06530510004087,0.13050884008407593,0.528300404548645,0.11536727100610733
7500,89.61137635475257,0.12502476029551515,0.14227023593898522,0.18328032800030689,46.59522447161329,0.12121926993131638,0.5273170471191406,0.09614098072052002
