step,control_rel_l2_raw,candidate_rel_l2_raw,delta_rel_l2_pct_candidate_vs_control,control_tke_raw,candidate_tke_raw,delta_tke_pct_candidate_vs_control,control_mvpe_raw,candidate_mvpe_raw,delta_mvpe_pct_candidate_vs_control,control_final_est,candidate_final_est
0,0.09797063041478396,0.09797063041478396,0.0,0.7003257811069489,0.7003257811069489,0.0,0.08762361314147711,0.08762361314147711,0.0,78.78243331868228,78.78243331868228
1000,0.08888253327459097,0.08832998089492321,-0.6216658766472473,0.5342676043510437,0.5466163709759713,2.3113448250202597,0.08159404937177897,0.08157408982515335,-0.024462012584612756,80.61666589366483,80.52458404913418
2000,0.08725440911948681,0.08711883332580328,-0.15537987713363113,0.5121922433376312,0.49785516411066055,-2.799159771250159,0.07992191333323717,0.07952058874070644,-0.5021458768853426,80.89266834207682,81.01028305865138
3000,0.0851271266117692,0.08601065445691347,1.037892244588128,0.5071166649460792,0.49422831907868386,-2.5414952334027,0.07846031412482261,0.07833781093358994,-0.1561339545974644,81.07267614358369,81.13227148659391
4000,0.08439745865762234,0.08476766478270292,0.43864605755773856,0.48974284902215004,0.49254914075136186,0.5730133139901948,0.07685456732288003,0.07751981923356652,0.8655984073030374,81.27119910930199,81.2260596376082
5000,0.08404701706022025,0.0841531002894044,0.1262189104321708,0.4835275813937187,0.4884380280971527,1.0155463498649098,0.07628247234970331,0.07654543109238147,0.34471712121845693,81.34794507420403,81.30112311221775
5004,0.08404701594263315,0.08415309935808182,0.12621913372995458,0.4835275799036026,0.4884380303323269,1.0155471234346651,0.07628247560933232,0.07654542839154602,0.34470929281367485,81.34794285854336,81.30112811197371
