experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
beta_0.80_seen,1,0.0496936178766122,0.006156752123292922,0.640265756615595,1.2673727572452889,0.06783422256867201,491,12
beta_0.80_seen,2,0.062416555294329455,0.007526661264037333,0.6516305502483056,1.114242818010713,0.08305548182053084,491,12
beta_0.80_seen,3,0.07090217444902802,0.008538879526628438,0.6734270088793434,0.9959581198882953,0.09591032696355757,491,12
beta_0.80_seen,4,0.07486185791687723,0.009225329890027728,0.6943076395940904,0.8366681014548591,0.10515582575659804,491,12
beta_0.80_seen,5,0.07755892049819534,0.00963619350683191,0.7172342813596108,0.7503237293733648,0.11045595500925952,491,12
beta_0.80_seen,6,0.0800111736412288,0.00993802715817216,0.7396100756822177,0.6927511383127245,0.11425065437523614,491,12
beta_0.80_seen,7,0.08238164545263525,0.010222781839458087,0.7605458255344708,0.6446060772466218,0.11744982107988586,491,12
beta_0.80_seen,8,0.08448005235410443,0.010488062556975954,0.7782669259101076,0.6040151330305413,0.12033559407036468,491,12
beta_0.80_seen,9,0.08591208986586456,0.010645010068485289,0.7887075156397704,0.5701874069160685,0.12242500076500197,491,12
beta_0.80_seen,10,0.0872625692412099,0.010779049546615327,0.798883018672254,0.5459056877277467,0.12443610017813546,491,12
beta_0.80_seen,11,0.08854246524200728,0.010910208244123098,0.8022060282510973,0.5343315679271876,0.1264540836612225,491,12
beta_0.80_seen,12,0.08986447700535714,0.011047603131054427,0.7988890579212514,0.5346397009205452,0.12849418599664764,491,12
beta_0.80_seen,13,0.0914534351883601,0.01123749461856606,0.7933815974730193,0.5472301079478116,0.12984842970289404,491,12
beta_0.80_seen,14,0.09326722753088146,0.011464258336297276,0.78411094982868,0.5619042519389569,0.13157034822681343,491,12
beta_0.80_seen,15,0.09523658338834676,0.011706898146083207,0.7800997572166389,0.5783807257855452,0.1326120318701554,491,12
beta_0.80_seen,16,0.09676530568927706,0.011917505748655709,0.7760232349624597,0.5881165445016857,0.13267649888166716,491,12
beta_0.80_seen,17,0.099190772741949,0.012197792860395348,0.7853426962467408,0.603062923672668,0.13455142601382492,491,12
beta_0.80_seen,18,0.10156830680556728,0.012426400200509214,0.783243496882526,0.6269725914996767,0.1354842740655917,491,12
beta_0.80_seen,19,0.10311943512952576,0.012654759753177829,0.7901539567064844,0.6239388130960319,0.13657937093937217,491,12
beta_0.80_seen,20,0.10549110707298068,0.012933701343571876,0.798685797007948,0.6706075876090563,0.14133880719278694,491,12
