horizon,raw_fluct_rms,centered_fluct_rms,target_fluct_rms,raw_fluct_amp_ratio,centered_fluct_amp_ratio,raw_fluct_cosine,centered_fluct_cosine,raw_fluct_rel_l2,centered_fluct_rel_l2,raw_energy_share,centered_energy_share,target_energy_share,precenter_frame_rel_l2,reconstructed_frame_rel_l2,mean_raw_deviation_rms
1,0.03499069590672769,0.014371178729774064,0.014494911625252332,2.4139985680056575,0.9914637012851673,0.20482877317373968,0.5215011737891475,2.416293929984067,0.974115651751367,0.05532212373976273,0.07006414694539058,0.06333146857857636,0.24252436380215175,0.09891103828938397,0.04364974388459746
2,0.0339069344307477,0.011687245266560899,0.01374576273562162,2.46671902337432,0.8502434889461503,0.1856551865684136,0.5454397598980877,2.483703762384706,0.8918524438290915,0.051948227842782385,0.04633779605984569,0.05695424536275359,0.2378830082186946,0.09042372354311208,0.03025678948022309
3,0.03299614998452065,0.012397463511993986,0.013140583732530542,2.511010976082903,0.9434484619814194,0.21910547071292982,0.5729745983981381,2.4909483411441653,0.8994170296302029,0.049194915830059464,0.05214068530953164,0.052049640124134273,0.230224076362953,0.09435312411722062,0.033043533523291126
4,0.032678780002130425,0.01074651588335415,0.01273457398806824,2.5661463063270946,0.843884993202222,0.199668089063772,0.5826875823326824,2.5613183728290068,0.8536388398147344,0.04825311482402262,0.039178375766976976,0.0488829331542252,0.22999496850773105,0.0898463580716973,0.016939712193043265
5,0.03284165078562111,0.009776183554120873,0.012533962557870131,2.620212932182382,0.7799754873196402,0.181017191927067,0.5708795158586757,2.6300016417307672,0.847241231087209,0.04873529973241354,0.032422742842970066,0.04735493025113839,0.23393737600368703,0.09194467490799746,0.015212488148266803
6,0.032612252237822645,0.009614554398141493,0.012376626204976576,2.6349872491672572,0.7768316049066376,0.17652496878147092,0.555002565081844,2.648183475417895,0.8609182746708103,0.0480568465299759,0.031359518038586075,0.04617351795594358,0.23371221857346097,0.09502720714023023,0.01772695121627745
7,0.0328387581736639,0.00995638799690374,0.012350026788581646,2.6590029913153965,0.8061835142016887,0.1739735074184239,0.5295047604522352,2.6730328756964066,0.8922868605077476,0.04872671513942729,0.03362905648066971,0.045975262176060475,0.23592491369968255,0.0983792828987095,0.017962428254498824
8,0.03293662152664897,0.009931507806513033,0.012429658475007438,2.6498412319916325,0.7990169501827037,0.1698019267405924,0.5232308778605819,2.6686630100605178,0.8957049771772563,0.04901757054461778,0.03346119401700569,0.046570061018165514,0.23785075098026556,0.10096067958737297,0.01787061773085368
9,0.03284479160755104,0.00973014686237773,0.012489277897865662,2.6298391208961722,0.7790800190330107,0.16469427429192096,0.519700463594931,2.6551487549203285,0.8928545132990431,0.0487446218105611,0.03211810016736236,0.04701788328500091,0.23843930623335896,0.10253423250345767,0.01818891499473575
10,0.032834856108224245,0.009670665983944636,0.012504590459237545,2.625824189545372,0.7733692691071389,0.15838580175844427,0.5039030210253113,2.6576617797089805,0.9048170004243197,0.04871513592356639,0.03172662126913648,0.04713324713352859,0.23950220765374103,0.10473637552256941,0.017952531031649448
11,0.032885294458244424,0.009633999428183567,0.012482195516870652,2.6345761379716723,0.7718193017536442,0.1500549045312592,0.4841960325602492,2.674009963527138,0.9210219036670148,0.04886491567471094,0.0314864929100315,0.04696457289382703,0.2410681503163433,0.10695252064244112,0.017744882480423194
12,0.0328524223677413,0.009583786596825251,0.012388121404190202,2.651929319697267,0.7736271129522192,0.14302200198558396,0.46196286863894487,2.697065189389253,0.9400664387064579,0.04876727390908613,0.031159130264500904,0.046259328138027384,0.24195158922120802,0.10919262052346244,0.017604282870534182
13,0.032915432047260995,0.009695349801290266,0.01231774787038282,2.6721956313462036,0.7871040959201703,0.134897919693414,0.43502486972328747,2.72390936501582,0.9668056393306951,0.04895452080561484,0.03188878870994207,0.04573524774268351,0.2432858169126711,0.11145889804830252,0.01704362498159186
14,0.03321009175914562,0.010354690732981243,0.012286307113397881,2.7030165738679037,0.8427829971537782,0.125059168811836,0.3925576032589033,2.762286115987901,1.0240124185923831,0.04983492797189243,0.036373519206882185,0.04550206946082525,0.2460582640138736,0.11521590558422283,0.016413976759231414
15,0.03351007370812508,0.011184661334387792,0.012347974263056413,2.713811431271199,0.9057891680136478,0.11619222881332546,0.35305195579044346,2.781029465313392,1.0866796870692037,0.05073929750024684,0.04243817841978943,0.04595998163308139,0.24846261807162787,0.1190306683039209,0.016017255797471017
16,0.03295618337350253,0.010356910182402616,0.012479133855143609,2.640903107223161,0.8299382234876617,0.10717250603779413,0.3643044184665798,2.7218201287617743,1.0411998516443128,0.04907581324911051,0.03638911365389823,0.046941536561695425,0.24516723321135028,0.11525810552657446,0.02467150378045014
17,0.03242388229192886,0.009463869887585978,0.012711940301892396,2.5506635117773455,0.7444866529287527,0.09346599507927815,0.3663591307048997,2.651241924802603,1.0043711517224607,0.04750329249909261,0.030384254086250836,0.04870932424618425,0.24273216782012338,0.11266076798049797,0.019671181760106224
18,0.0314486941787167,0.010802744068954172,0.013124607262465449,2.396162685085104,0.823090844009369,0.07573641477686756,0.27374399175819425,2.5255973692204696,1.1076308911612052,0.044688823186863486,0.03958942845006111,0.05192315198350767,0.23997900780604853,0.1255858594915878,0.05841638571476427
19,0.03291419661325921,0.016401723894466733,0.013754799510091894,2.392924490764846,1.1924364206423224,0.0501012333458689,0.1431568680511387,2.5468236456261555,1.4423916564566452,0.048950845997735054,0.09126201447741898,0.057029155989739996,0.252923383371382,0.15791340875370022,0.04190220694205239
20,0.03819132303872692,0.025844352074914503,0.014517892215597,2.630638282167217,1.7801724720858016,0.03935615964787602,0.09002404429751153,2.7772637849484383,1.961758746483254,0.06590571728845787,0.22659084292374948,0.06353244231090134,0.29311323819985086,0.21876295750202956,0.04535908915571082
