experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
A_fixed_stride20,1,0.04078405100508868,0.008342317979503862,0.004063900378132629,0.006561613961310888,0.5833984480402596,1.0623066940720953,0.08120487846142334,0.009260408155738241,0.8443206787109375,0.7781264523276497
A_fixed_stride20,2,0.05137717547561695,0.010755516610805507,0.004560544795338386,0.008260741685696302,0.6068920403099636,1.0111029241407203,0.08086436354281422,0.008260392537343198,0.7963058471679687,0.7621498185578108
A_fixed_stride20,3,0.06030412868286492,0.012828497751399512,0.005068193884578946,0.009753382587834482,0.6219167381959059,0.9149972188026616,0.08405429185821359,0.007382282101041742,0.7612319946289062,0.7888419475159265
A_fixed_stride20,4,0.06783627727416844,0.014609655209816441,0.0055248847890509685,0.011044599976504432,0.6447795137008873,0.8091788543870154,0.08684397467519014,0.006309710743632664,0.73154296875,0.8046276515994741
A_fixed_stride20,5,0.07166473452225601,0.01542420268588814,0.005890179868031465,0.011674764395334112,0.666884836930796,0.7475590519396338,0.08804911097902446,0.005930935992894755,0.7133148193359375,0.8102252572514604
A_fixed_stride20,6,0.07468622119163196,0.015963238636399077,0.006188962915029758,0.012106367120780654,0.6855728048605174,0.7170446075410051,0.08717273867311244,0.005430903728531847,0.6888107299804688,0.7896370695236615
A_fixed_stride20,7,0.0775250204550754,0.016533520006574362,0.006434380827797972,0.01254508948642713,0.7070015927329595,0.6858406402140259,0.08894695139754252,0.005265662040193831,0.682672119140625,0.8015581605000094
A_fixed_stride20,8,0.08014075968624841,0.017052921874179297,0.00665895939020113,0.012944958180836477,0.728496322947338,0.6582878605165008,0.09116042059228917,0.005127757875010893,0.6757354736328125,0.8149502614136939
A_fixed_stride20,9,0.08235582915176617,0.01746685268313461,0.006843388572378272,0.013265046358887785,0.7461281232403243,0.6401014906964172,0.09276502574918523,0.005008793683917301,0.6738540649414062,0.825051002858746
A_fixed_stride20,10,0.08447768009291201,0.01786411359558184,0.007033214633345312,0.013575578489231216,0.7591592825742127,0.6241870695717423,0.094480688719321,0.004933319740264574,0.6700630187988281,0.8330913128615738
A_fixed_stride20,11,0.08642008272780391,0.0182158109519155,0.007261255760814132,0.013866174740350727,0.7597009900833658,0.6091246202556684,0.09620637502389366,0.004914419653311189,0.6668312072753906,0.8351004130984769
A_fixed_stride20,12,0.08834084909807145,0.018507560165462435,0.00754249929321861,0.014131862560653765,0.7519461455431111,0.5866979059251295,0.09806324690381958,0.004936579662331499,0.6652915954589844,0.834428308668057
A_fixed_stride20,13,0.09033231179006032,0.01881795487535779,0.007831543046056386,0.01441264188435341,0.7434922076239141,0.5642079557618381,0.09990767134829234,0.0050063368025495296,0.6610603332519531,0.8349659599892302
A_fixed_stride20,14,0.09212814115723852,0.01904531233942919,0.008151256931663482,0.014648667374072055,0.734288185115867,0.5425391975379129,0.10214990092201628,0.005139928151316769,0.6606430053710938,0.8341810863202301
A_fixed_stride20,15,0.09388295412511875,0.01926349446075434,0.008440501960855206,0.014871521310725302,0.7275151828031096,0.51818792697621,0.10459332204015155,0.005287661992592568,0.6706497192382812,0.8329068264255955
A_fixed_stride20,16,0.0957584880562311,0.01953290898572108,0.008739626099179765,0.015131351522549586,0.7240820643567037,0.49900100449630486,0.10756152724579704,0.005642497216960572,0.6756134033203125,0.8540594267635402
A_fixed_stride20,17,0.09780273960580568,0.019880177106686797,0.009018646566346815,0.01543627914495447,0.7280363023275573,0.47289959910715473,0.11009646199974377,0.005808163852159346,0.683343505859375,0.8586009544902934
A_fixed_stride20,18,0.09980567721452674,0.020192078370756598,0.009226550440753649,0.01569791804613829,0.7373385075830905,0.43968158738680135,0.11308499102662592,0.005947611923333632,0.6881111145019532,0.8730301859631624
A_fixed_stride20,19,0.10202205921893095,0.02055948346276162,0.009424986260288357,0.015992540859134815,0.7491112713977947,0.40516505715461676,0.11556954168954672,0.00613855498404097,0.6846267700195312,0.872718832773454
A_fixed_stride20,20,0.1045035981068557,0.020963316056504883,0.00965505590119125,0.016319937569427817,0.764144838329214,0.37076124510440805,0.1168886060764092,0.006190634613738567,0.6776405334472656,0.8888393076736018
