step,control_rel_l2_raw,ramp_rel_l2_raw,ramp_vs_control_rel_l2_raw_pct,control_tke_raw,ramp_tke_raw,ramp_vs_control_tke_raw_pct,control_mvpe_raw,ramp_mvpe_raw,ramp_vs_control_mvpe_raw_pct,control_f18_rel,ramp_f18_rel,ramp_vs_control_f18_rel_pct,control_f19_rel,ramp_f19_rel,ramp_vs_control_f19_rel_pct,control_f20_rel,ramp_f20_rel,ramp_vs_control_f20_rel_pct,control_f20_over_mean_f1_f17,ramp_f20_over_mean_f1_f17,ramp_vs_control_f20_over_mean_f1_f17_pct,control_f20_over_f18,ramp_f20_over_f18,ramp_vs_control_f20_over_f18_pct
0,0.10641368478536606,0.10641368478536606,0.0,0.43120115995407104,0.43120115995407104,0.0,0.08538012206554413,0.08538012206554413,0.0,0.12770868652420808,0.12770868652420808,0.0,0.14265868679536195,0.14265868679536195,0.0,0.17960524339469405,0.17960524339469405,0.0,1.884932601702172,1.884932601702172,0.0,1.4063666950379965,1.4063666950379965,0.0
1000,0.10409975051879883,0.10403618961572647,-0.06105769010549267,0.4160831570625305,0.4161619246006012,0.018930720153820246,0.08145429193973541,0.08142224699258804,-0.03934101737828044,0.12681359155448024,0.12667137483447594,-0.11214627569570146,0.14429285552387486,0.14400599874507253,-0.19880178943084692,0.18304423754715748,0.1823330450778682,-0.3885358418377116,1.9964812357856345,1.9877614557282377,-0.4367574260704443,1.4434118244219907,1.4394179057117404,-0.2766998747463889
2000,0.10454531759023666,0.10444164276123047,-0.0991673576549279,0.42288893461227417,0.4230232238769531,0.031755208918404776,0.08053424209356308,0.08054276555776596,0.010583652346274341,0.12531730739762453,0.12510168549206685,-0.17206075524230924,0.14254061908286383,0.14218865118315438,-0.24692463241291485,0.18173989681612449,0.1808731197927745,-0.47693271457446285,1.9616488199385218,1.9518966782733103,-0.4971400367940082,1.4502378050581182,1.4458088160950024,-0.30539742845403506
3000,0.10160084813833237,0.1015259250998497,-0.07374253252360186,0.4181504249572754,0.4182049334049225,0.01303560737806464,0.0781131163239479,0.07808757573366165,-0.03269692913073774,0.122939567924335,0.1227778349930851,-0.1315548232196817,0.141558417585793,0.14120740838974233,-0.2479606667247003,0.176759360939893,0.1758856660363844,-0.49428494132522927,1.9729855276140134,1.9619949465765774,-0.5570533023993907,1.4377743791053683,1.4325522684635248,-0.3632079356632345
4000,0.10237858444452286,0.10228395462036133,-0.09243126838973659,0.4179481565952301,0.41804003715515137,0.02198372177777408,0.08138407766819,0.08131102472543716,-0.08976318813943562,0.12143996632821212,0.12122583742415072,-0.17632490401280343,0.13786519701636765,0.13755557522348688,-0.22458299816161542,0.177697252957413,0.17661164991858888,-0.6109284306630824,1.9543511177223818,1.941199397860498,-0.6729456003387368,1.4632518299383914,1.4568812529679762,-0.4353711944910743
5000,0.10138615220785141,0.1013006940484047,-0.08428977487134892,0.4188014566898346,0.4188970923423767,0.02283555871509524,0.07759760320186615,0.07762400060892105,0.03401832784220016,0.12185847484650451,0.12169796707287991,-0.13171654562948998,0.13884414553891847,0.13842724458972633,-0.30026541455814293,0.17830723673669657,0.17716208212589665,-0.6422367548048258,1.993512730190328,1.978889274282476,-0.7335521708183856,1.4632321384400724,1.455752190336931,-0.5111935356419628
