horizon,baseline_rel_l2,guardband_rel_l2,improvement,baseline_rmse,guardband_rmse,baseline_pred_speed,guardband_pred_speed,target_speed
1,0.10070344805717468,0.28207555413246155,-1.8010516166687012,0.012681310996413231,0.03552260994911194,0.15779344737529755,0.1253264993429184,0.15705080330371857
2,0.09075630456209183,0.2980177104473114,-2.2837135791778564,0.011268547736108303,0.03757917508482933,0.15713618695735931,0.12375577539205551,0.15706516802310944
3,0.0921582281589508,0.33150210976600647,-2.597097158432007,0.011477435939013958,0.04270843416452408,0.15534746646881104,0.11880173534154892,0.15707306563854218
4,0.08965572714805603,0.37841472029685974,-3.2207534313201904,0.011279482394456863,0.04769562557339668,0.1551918089389801,0.11324372887611389,0.15707182884216309
5,0.09088236838579178,0.3740723133087158,-3.1160054206848145,0.01155612152069807,0.04670146852731705,0.15518450736999512,0.11994682997465134,0.1570601761341095
6,0.09504184871912003,0.4177703559398651,-3.395646333694458,0.012147982604801655,0.05336268991231918,0.15422283113002777,0.11601585149765015,0.157061368227005
7,0.0975683331489563,0.4430077373981476,-3.5404868125915527,0.012482515536248684,0.05680935084819794,0.15437625348567963,0.11161334067583084,0.15705524384975433
8,0.09918304532766342,0.38283684849739075,-2.8599021434783936,0.012700287625193596,0.046812497079372406,0.15446481108665466,0.12719352543354034,0.1570516973733902
9,0.10221939533948898,0.36007946729660034,-2.522613763809204,0.01304964255541563,0.04343995451927185,0.15390123426914215,0.13442111015319824,0.15701067447662354
10,0.10504890978336334,0.41976895928382874,-2.9959380626678467,0.013314638286828995,0.051959261298179626,0.15398801863193512,0.11686711013317108,0.1570204794406891
11,0.10844186693429947,0.45387279987335205,-3.1854019165039062,0.013636437244713306,0.05666095390915871,0.1539357304573059,0.10615748167037964,0.15702693164348602
12,0.11108013987541199,0.3826146721839905,-2.4444921016693115,0.013926686719059944,0.045107580721378326,0.15384860336780548,0.12162734568119049,0.15701988339424133
13,0.11278170347213745,0.387742817401886,-2.4379940032958984,0.0141353914514184,0.0456039197742939,0.15405656397342682,0.121867835521698,0.15706317126750946
14,0.1135532334446907,0.48491352796554565,-3.2703630924224854,0.014290641993284225,0.05949913710355759,0.15515613555908203,0.10472376644611359,0.15705673396587372
15,0.11464028805494308,0.5585024356842041,-3.871781349182129,0.014586973935365677,0.07034186273813248,0.15600384771823883,0.09293603152036667,0.15705694258213043
16,0.11725102365016937,0.5099639892578125,-3.349334955215454,0.014877530746161938,0.06255078315734863,0.15893878042697906,0.10899100452661514,0.1570826917886734
17,0.12190146744251251,0.5603580474853516,-3.596811532974243,0.01536179892718792,0.06944125890731812,0.1589013636112213,0.12137581408023834,0.15706434845924377
18,0.11934053152799606,0.4906422197818756,-3.111279010772705,0.015075421892106533,0.05666493624448776,0.15290892124176025,0.13999585807323456,0.15705238282680511
19,0.15308228135108948,0.50458824634552,-2.296189785003662,0.01910124532878399,0.062136128544807434,0.14552439749240875,0.17272555828094482,0.15704810619354248
20,0.1754090040922165,0.5073195099830627,-1.8922089338302612,0.02232254296541214,0.062275391072034836,0.1450328379869461,0.1442977637052536,0.15703965723514557
