horizon,mean_u,mean_v,mean_p,std_u,std_v,std_p,speed_mean
1,0.12153431676605674,-0.016582775827188964,0.007296258459688621,0.09586409203681574,0.017309823136793703,0.014052838380029416,0.12532661703490558
2,0.11982801429486059,-0.018397469956003765,0.002754339695007448,0.09509760475621128,0.016291604791880174,0.018675047833181302,0.12375576315281021
3,0.11460032582784405,-0.021213251921771804,-0.02353332336274717,0.08839957944592976,0.017605267650785666,0.01641289797267788,0.11880183811289247
4,0.10798719589221424,-0.023351354789685277,-0.03023849504410435,0.08691536876998379,0.0184378494577761,0.01556611321393289,0.11324372332943335
5,0.11355192624318851,-0.028814208284862305,-0.031194693776553477,0.0910685716446699,0.02176297455518614,0.015885695791509464,0.11994678637875485
6,0.10738433736619976,-0.0346723239124288,-0.02848106848897537,0.08456499404992202,0.026122602252745986,0.015439112566709955,0.11601574860345411
7,0.1026129064174092,-0.036255583607584144,-0.03041079901379,0.07855926934651355,0.02677802217225935,0.016082006719126164,0.11161329327122509
8,0.11920985071669672,-0.03667141116129369,-0.02855081485356512,0.09170826153803192,0.026371780748530714,0.01577509623661199,0.12719357516194613
9,0.12667159303923384,-0.036469981908280616,-0.029135332954157246,0.09814775020697807,0.026892994425666377,0.016001920301882223,0.13442102337030093
10,0.10895539429242909,-0.033446989354844234,-0.026718453439353997,0.08227682544979628,0.02442273047151826,0.015891237390130174,0.11686718479740581
11,0.0989471110287588,-0.029365981662543075,-0.027242767876346278,0.07441824518781552,0.021191856459879192,0.015526499144621474,0.10615751014010778
12,0.11551724509395062,-0.0276716825134038,-0.02762201712847094,0.09073294707565295,0.021045130370778334,0.015410331266774649,0.12162737305699738
13,0.11574056015151434,-0.027599906582323325,-0.028467180825418905,0.09204218092115153,0.022684145476493434,0.015439379941780944,0.1218678115350522
14,0.09701970471120495,-0.030073857753006104,-0.02613851086439823,0.07676953377737965,0.023406045205130004,0.015086141606404483,0.10472371746898784
15,0.08342209094764412,-0.03252988616055531,-0.027931992980070867,0.06651767395911148,0.023822211378370182,0.015214752056780235,0.09293604429167351
16,0.09813034580751698,-0.03910609570042102,-0.02662716953783931,0.07756774763923896,0.03151818810726849,0.014710770416128956,0.10899098859621581
17,0.1023196645048908,-0.05606879051091339,-0.028636454707241354,0.08206494312935461,0.051246068287265245,0.015689276202508064,0.12137575598283037
18,0.12534941276063138,-0.049426646137675896,-0.03231998083312587,0.11214605074477413,0.04404928842253827,0.018657479640043242,0.13999588533920745
19,0.1570564252882579,-0.06084296766229596,-0.017439153348053002,0.14876589060952555,0.05219586528258742,0.0137167509250585,0.17272553582938974
20,0.1273636835199883,-0.060481721578653495,-0.023007407428079787,0.1126202984156441,0.05672536123404408,0.01405508263849913,0.14429779769774456
21,0.04130635928942779,-0.0477287235788056,-0.012576580134322704,0.04066873606495779,0.04008578980560202,0.013489727952750991,0.06924677328316524
22,0.06509146613979358,-0.030103382065304368,-0.022746042799739113,0.05412262153010559,0.026777946139766088,0.01087076882171083,0.07452216710300356
23,0.07060061336217556,-0.024760626917233783,-0.021181036017089715,0.055612075118677454,0.019009358463922998,0.010349178542601624,0.07652247284663166
24,0.06856321975101447,-0.019386989522003496,-0.024438310759390226,0.05246997789704544,0.01440911334260986,0.011965327214334742,0.07240746165299453
25,0.06765018995536991,-0.01719072890481638,-0.026128089347079015,0.051339217115324215,0.01302961015476969,0.012108717523363715,0.07051369380864529
26,0.06987730337845187,-0.015410004932834287,-0.026234605408345185,0.05223496827106762,0.011359986180933508,0.01154849080962646,0.07202404012073566
27,0.07034998163747391,-0.014295402871750911,-0.026503130577370505,0.05261625328195181,0.010640992230764819,0.011554211093352766,0.07215882611092818
28,0.06908750603049622,-0.01390697017398086,-0.026423950754897497,0.051837443234205666,0.010635679568221907,0.011632925201729996,0.07075866472608024
29,0.0685414574318864,-0.013532577440251617,-0.025992440596158337,0.05197903346753741,0.01099730402712252,0.011471472064730747,0.070111722007526
30,0.06828683679851691,-0.013175425490111373,-0.02578884290547215,0.05253844175632903,0.011034021428888721,0.011427851369734444,0.06980164367077826
31,0.06671501974595048,-0.013216350355533127,-0.025655517772425515,0.05200878066954056,0.010980524290129103,0.011514038428169494,0.06830663031202949
32,0.06553157481430741,-0.013653570755784264,-0.02529253420681252,0.05146481498430699,0.011061581523389239,0.011358227706864335,0.06726216886946246
33,0.06563388550970128,-0.013886496132871151,-0.024866725836385026,0.05113942055273316,0.011211593270734139,0.011082592240440977,0.06742346300188114
34,0.06680768050452263,-0.014233727328544951,-0.025144783196026223,0.050637668725083025,0.011641256589832071,0.011221727331672721,0.06860689774960518
35,0.06794351388242319,-0.014644425763490924,-0.025306357403718036,0.04955417228641588,0.01229086648747135,0.01131077296616968,0.06974648217473714
36,0.06652274966318188,-0.01493611394006408,-0.025007555297034783,0.0458216986862313,0.013019450863658069,0.011221197323855726,0.06842712692378251
37,0.05946247539807663,-0.014356945584405872,-0.024677528629764023,0.038977973654601254,0.012729315730151793,0.011159815016627378,0.06149603865344055
38,0.04841235516204408,-0.01175199781433283,-0.024481530257423906,0.033519452521954256,0.011381432225127885,0.011512484536687281,0.0502612319890897
39,0.040065414782760954,-0.010600808458568456,-0.019003617266918342,0.029559062705257825,0.009887394453838006,0.008317338135201607,0.041738521057144484
40,0.027194002224166507,-0.013168686764726021,-0.0031746894103566008,0.02302484921594327,0.013532379503200973,0.003932810238676724,0.03120609326621016
