floor,mult,sps,coverage,mean_width_uv
0.0,0.5,25.42156987989871,0.394648125474478,0.009347199462354183
0.0,1.0,39.460870148903936,0.7005059876044428,0.018694398924708366
0.0,1.5,43.96935541289494,0.8778338850979632,0.02804160676896572
0.0,2.0,43.1295987924692,0.9558883345997066,0.03738879784941673
0.0,2.5,40.31733637479684,0.9844045348176548,0.046735942363739014
0.0,3.0,37.15598120228943,0.9940643262650855,0.05608321353793144
0.0,4.0,31.49465789051602,0.9987087772454428,0.07477759569883347
0.0025,0.5,41.20637170527072,0.6782116258950528,0.014347176998853683
0.0025,1.0,45.30535126566061,0.8601796897250408,0.023694433271884918
0.0025,1.5,43.938351731503474,0.9480424100643978,0.03304155915975571
0.0025,2.0,40.702069348328884,0.9813765687409932,0.04238872230052948
0.0025,2.5,37.26652677915481,0.9928198226083272,0.05173593759536743
0.0025,3.0,34.1149849318927,0.9968953223183104,0.0610831193625927
0.0025,4.0,28.83684720817551,0.9991601479998397,0.07977768778800964
0.005,0.5,44.63460988118885,0.8034898754070875,0.019347215071320534
0.005,1.0,44.20588166966764,0.9179555994713244,0.028694353997707367
0.005,1.5,41.108910667872955,0.9699297718027503,0.0380416065454483
0.005,2.0,37.518127097926815,0.9888818640870584,0.047388866543769836
0.005,2.5,34.188569213147005,0.9954722643671422,0.05673596262931824
0.005,3.0,31.24950806577203,0.9979211237434407,0.06608311831951141
0.005,4.0,26.395483969542973,0.9993822491076302,0.08477744460105896
0.0075,0.5,43.737057658177434,0.8639680564966552,0.02434718795120716
0.0075,1.0,41.49479898723335,0.9447206780910379,0.033694326877593994
0.0075,1.5,37.94054541522305,0.9798210782149794,0.043041475117206573
0.0075,2.0,34.43172652241544,0.9923646203935289,0.05238872021436691
0.0075,2.5,31.31999461153208,0.996791708093474,0.06173595041036606
0.0075,3.0,28.610213949410827,0.9984714326930442,0.07108313590288162
0.0075,4.0,24.15849755905935,0.9995210468505622,0.08977748453617096
