model,description,original_arm,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,correction_help_fraction,delta_rel_pct_vs_current80,delta_tke_contrib_pct_vs_current80
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,9,0.0787014168470037,0.0167370825828145,0.0066184631151946,0.0127266253852139,0.7212098342015794,0.6611957667617322,0.6918350219726562,-0.2476382459461961,-0.05704677322050654
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,10,0.0805658316683358,0.0170798054824298,0.0068111615076448,0.0130021474457272,0.7340367870450863,0.6423795511457074,0.6891807556152344,-0.2237068706018243,-0.02117433233235036
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,11,0.0823092772963875,0.0174141489145375,0.0070378868450487,0.0132812731630179,0.7354395355070422,0.6259159252307386,0.6872299194335938,-0.20703718040296554,0.01713671079634844
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,12,0.0840882721170194,0.0177117404376378,0.0073006950978188,0.0135463260377412,0.7300750959978649,0.6044423555435923,0.6849456787109375,-0.19676131543076178,0.03528316091264343
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,13,0.0860069079410899,0.0180437809072795,0.0075666104550575,0.0138353103183212,0.7220353629239844,0.5844766927312366,0.6807113647460937,-0.19466424440150842,0.044473601841779675
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,14,0.0877400000477568,0.0182842942290797,0.00786858422041,0.014075333621077,0.711468242993686,0.5657125610633181,0.6806777954101563,-0.19937776013306116,0.07314935624231474
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,15,0.0894647779008068,0.0185166060252485,0.0081410111953831,0.0143028102479481,0.7035332172971807,0.5463053878686063,0.6902381896972656,-0.19182403267251738,0.033948806726705985
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,16,0.0911409618612927,0.0187598077621811,0.0084151304190785,0.0145386520565713,0.6985547445924034,0.527375478509403,0.6966560363769532,-0.1807799492267114,0.007073049834534509
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,17,0.0930126145052865,0.0190905535384945,0.0086828076874597,0.0148297063987042,0.7010941886808237,0.501614982900588,0.7045555114746094,-0.17717415841575163,-0.041968271227415394
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,18,0.0950701287320244,0.0194492005949384,0.0089021528566758,0.0151248095734421,0.7098725690516803,0.4696013599622258,0.708087158203125,-0.14812471403812827,-0.02418142664335993
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,19,0.0974575811974315,0.0199089665225226,0.009101868023084,0.0154791949000031,0.7225808510114977,0.4365381625545457,0.7067947387695312,-0.12915720014764775,-0.06441834114193187
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,20,0.0999709018725509,0.0203985518198814,0.0093335969506718,0.0158621711689475,0.7378936482450188,0.4007078453402928,0.6991539001464844,-0.11701730113139124,-0.047260436706884824
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,1,0.0417697760881135,0.0085837383745683,0.0042258636372753,0.006765297035751,0.5826025127534018,1.1178057919643667,0.8453147888183594,6.100394945671911,2.580686444275749
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,2,0.0514967932401903,0.0108393692182524,0.0046661367760038,0.0083446017718635,0.5995436215503893,1.067175572048242,0.7980857849121094,3.5168872726472453,1.3642354276470552
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,3,0.0593083097450431,0.0126957550259179,0.0051209134117012,0.0096800296964488,0.6044953586942732,0.9724754387750906,0.7680557250976563,2.272259376860193,0.43353932673180196
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,4,0.0663435714532739,0.0143369485645234,0.0055566012780555,0.0108725321775812,0.6228108009573153,0.864749797689937,0.7395118713378906,1.584073147215065,0.0660378915218368
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,5,0.0697538721739514,0.0150553259449925,0.0059066452734023,0.0114357181168427,0.643273528631882,0.8043836898401366,0.7228507995605469,1.271363639269112,-0.03377137105515957
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,6,0.0726155088800556,0.0155598185360907,0.0062051930574972,0.0118450912566532,0.6610869164438452,0.7730375461250444,0.6980491638183594,1.0744543122892596,-0.14820263163963499
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,7,0.0752486340307247,0.0160781903692402,0.0064278012622406,0.0122438726434162,0.682716961873302,0.7450050713974428,0.6916961669921875,0.9600657848206244,-0.1725070738804512
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,8,0.0776107859368458,0.016546113432522,0.0066200224111874,0.0126015587616474,0.7039200237253251,0.7202689933329915,0.6857505798339844,0.86012666304609,-0.17408430886341444
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,9,0.0795170900610638,0.0168817122710572,0.0067805735284605,0.0128640659703226,0.720380611496309,0.7013661993612662,0.6844810485839844,0.7862100986165252,-0.17195780481945996
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,10,0.0813106656336727,0.0172172560832847,0.0069489979148108,0.0131286419529487,0.7328375555064419,0.6811577718430478,0.6824867248535156,0.6987284908815167,-0.18451459409219573
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,11,0.0830090802343543,0.0175498650843424,0.0071627872270198,0.0134034190663834,0.7337635629398527,0.6634244874861042,0.6807075500488281,0.6414140618317996,-0.21078954185006746
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,12,0.0847560746507768,0.0178425406066625,0.0074237129472541,0.0136650607247759,0.7277120323677542,0.6403984590595981,0.678533935546875,0.5958445259403047,-0.2885050913660966
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,13,0.0866674863194971,0.0181693947678111,0.007696577929041,0.0139528530782482,0.7190188735449816,0.618834633171892,0.6744865417480469,0.571893331357147,-0.3734880487147344
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,14,0.0884110863588605,0.0184020853153788,0.0080107767084475,0.0141917103871782,0.7077256966524421,0.5984249877359858,0.674530029296875,0.5639551711223733,-0.4532668298182714
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,15,0.090154425036839,0.0186209935665728,0.0082998647912263,0.0144157753339698,0.6992364550598086,0.5777248573613936,0.6845146179199219,0.5775561001970084,-0.5769990250462362
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,16,0.0918714319948067,0.0188537691067588,0.0085898834103138,0.0146500973807985,0.6939539920149829,0.5571324384905928,0.6905342102050781,0.6192440740957671,-0.6515837020608046
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,17,0.0938096759891288,0.0191814443850128,0.0088761629358543,0.0149451342777369,0.6965907984330096,0.5304456565113929,0.6985992431640625,0.6782466907864022,-0.6840361025484072
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,18,0.095954994765032,0.0195470898301498,0.0091075495516796,0.0152485438594025,0.7056427753545199,0.4979078124162297,0.7025947570800781,0.7812474657525106,-0.6198898758865168
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,19,0.098441379203123,0.0200222053389078,0.0093192908289581,0.0156163037910399,0.7188759104956444,0.4645070430172091,0.7013809204101562,0.8790017831353601,-0.5768252018343731
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,20,0.1009760320694218,0.0205117839236183,0.0095462129889884,0.0159978664540047,0.7341005896014818,0.4275499016765872,0.6928756713867188,0.8872289363603635,-0.5610561627541948
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,1,0.0439953654640469,0.0088296333132686,0.0048219159911186,0.007113835051229,0.5953462507768356,1.1627815024338153,0.8348991394042968,11.753667093343854,4.824517127620531
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,2,0.0532022173350393,0.011036241652643,0.0051960634213647,0.0086254769402734,0.6079563587093877,1.1120482389180737,0.7891014099121094,6.9450656633894665,2.786568414478699
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,3,0.0607065430186567,0.0128727308732451,0.0055889682946614,0.0099233000240275,0.6095756727322705,1.016802662286717,0.7596977233886719,4.683396646546393,1.2776052279646497
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,4,0.0675189750067893,0.0144918292964373,0.0059661370345464,0.0110816945336005,0.6250169873186494,0.9057996299383022,0.7313545227050782,3.3838297467207323,0.42050240576866693
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,5,0.0707866480119858,0.0151881012373705,0.0062701263326561,0.011618797343617,0.6442138475151984,0.8413393367718945,0.7150527954101562,2.7707874589332717,0.11235640863699937
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,6,0.0735459431055754,0.0156786274984187,0.0065328575916676,0.0120103619543122,0.6612070300286563,0.807533186033934,0.6905433654785156,2.369537595024767,-0.13006045239902342
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,7,0.0760975653952469,0.0161994744056553,0.0067041281029668,0.0123969412485595,0.6826104422608594,0.7776556948972524,0.6842475891113281,2.0990654160161033,-0.18808246815280977
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,8,0.0783827405173918,0.0166684216617404,0.0068432788015561,0.0127410114482604,0.7036808573076568,0.7506272865746603,0.678704833984375,1.8633304810739766,-0.20800152366283783
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,9,0.0802172399078526,0.0170037028730368,0.0069534328142569,0.012989921849205,0.7202261458502484,0.729749004862329,0.6778671264648437,1.6736350472002763,-0.19336316024764688
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,10,0.0819427408077782,0.0173344733791484,0.0070863591145757,0.0132419872533003,0.7326667033784571,0.7080516550298328,0.6763847351074219,1.4815183727136747,-0.2077853557491283
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,11,0.0836029987696131,0.0176648911372906,0.0072840580076563,0.0135112153404353,0.7333357557717275,0.6893799631779376,0.6747840881347656,1.3614895169172456,-0.2689697809512129
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,12,0.0853344788377408,0.0179536246420792,0.007549250397698,0.0137717794666451,0.7267049044163683,0.6656718860241672,0.6725921630859375,1.2823446724457401,-0.4265023061025572
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,13,0.0872573671881376,0.0182755271684108,0.0078423119435525,0.0140623033302391,0.7173509569626096,0.643651678840704,0.6685470581054688,1.2564111167284684,-0.6045928464346694
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,14,0.0890318019560972,0.0185005936235202,0.0081839834014067,0.0143047116143097,0.7053873016292991,0.622794262166999,0.6683631896972656,1.2699934980484617,-0.7821789867688431
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,15,0.0908259180724089,0.0187093581119067,0.0085075918822596,0.0145330519952737,0.6963327243264184,0.6022389992146747,0.6784370422363282,1.3266832609362227,-0.9898745572754113
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,16,0.0926151693384529,0.0189326953983034,0.0088321405605246,0.014772502528783,0.6906228126021918,0.5814927013224246,0.6842521667480469,1.4337985844857561,-1.1284847688075228
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,17,0.0946487397453924,0.0192581166385754,0.009155651337497,0.0150781465684411,0.6932708988994565,0.5552909057040784,0.6924407958984375,1.5787451409909796,-1.1573685424245002
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,18,0.0969001091900594,0.0196320700542301,0.0094114797008325,0.0153947089088001,0.702525736235408,0.523264862329103,0.6961601257324219,1.773898353654489,-1.0588820993424664
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,19,0.0994871507835419,0.0201192713398626,0.0096461418604538,0.0157770899097237,0.7161119473574538,0.490274180693877,0.6954582214355469,1.950668941598771,-0.959091440293446
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,20,0.1020328381881078,0.0206068942090731,0.0098582018683955,0.0161528361754518,0.7314665757731086,0.4521069163937013,0.6860153198242187,1.9431056493997503,-0.9178513443087086
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,1,0.0390747353531678,0.0081918392935263,0.003706654589484,0.0063578895577347,0.5680641499273937,1.0683585880903257,0.8594261169433594,-0.7453416886162542,0.020870436240277002
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,2,0.0495192868202321,0.0105393680141891,0.0042397482730846,0.0080328619917697,0.5906105005928033,1.0144821890905866,0.8106178283691406,-0.4582206180706593,-0.14607832318032196
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,3,0.0578242283864748,0.0124749416012794,0.0047569008677939,0.0094406640079326,0.6007816092974722,0.9153234110021192,0.7791793823242188,-0.2869157925610807,-0.18347946543709118
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,4,0.065233678945372,0.0142016845767566,0.0052366580695625,0.0107030470557501,0.6233379610053355,0.8052860067290828,0.7510841369628907,-0.11537412760733362,0.1507358724479777
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,5,0.0689158623183631,0.0149967629338328,0.0056134260666897,0.0113228408692292,0.6460489151559604,0.7475186354721932,0.7340469360351562,0.054708589540314025,0.39753026262123875
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,6,0.0719484491236166,0.0155441467653517,0.0059298330899017,0.0117640005766934,0.6654506261733456,0.7184823011788399,0.7101043701171875,0.14596531709228586,0.5109002016584252
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,7,0.0747003746164936,0.0160836783521545,0.006189298870968,0.0121858961477958,0.6874110151809262,0.6892175999997839,0.7038986206054687,0.22447360775443145,0.5138616550814087
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,8,0.0771983598130198,0.0165815164316946,0.006420130436389,0.0125730816030679,0.7095592934820787,0.6637456221915398,0.6982009887695313,0.32415282144515134,0.6256447062568057
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,9,0.0792565887729154,0.01696276751761,0.0066135012218237,0.0128738859764165,0.7266820110389198,0.6451699952437897,0.697052001953125,0.4560302902492513,0.7012699991907301
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,10,0.0811753458626807,0.017328317988846,0.0068056235829057,0.0131641011215116,0.7402585716639656,0.6249944246826916,0.6943031311035156,0.5311424949684698,0.8262582905703697
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,11,0.0829521211146978,0.0176628648689372,0.0070309903529411,0.0134426861289232,0.742345851942108,0.6071943552125896,0.6919876098632812,0.5723559981866729,0.9563709533201241
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,12,0.0847570634039279,0.0179522065141042,0.0072976639541438,0.0137028759374201,0.7364717768042215,0.5848055613981442,0.6894134521484375,0.5970180637506959,0.9117598127826134
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,13,0.0866911766782958,0.018269709367014,0.0075724900468066,0.0139843642305281,0.7284265951293782,0.5640081789406356,0.6848213195800781,0.5993844279524919,0.9300361303395444
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,14,0.088442958207339,0.0185016320589806,0.0078835632486221,0.014220776320949,0.7181407882748221,0.5440799174393891,0.6847160339355469,0.6002080809509303,1.0116910649990076
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,15,0.090171815746048,0.0187252166955709,0.0081664314742999,0.0144451435320062,0.7105710826030585,0.523611521449904,0.6938667297363281,0.5969574222106089,1.0346484757793317
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,16,0.0918500432813202,0.0189701118252574,0.0084408427930108,0.0146818420118031,0.7062726400277429,0.5038056440993939,0.6999931335449219,0.5958187705383889,1.1119887898934522
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,17,0.093706582555944,0.0192989501310129,0.0087065657350494,0.0149708677613901,0.7094829959914198,0.4765134003679323,0.7072265625,0.567604947395424,1.154060280794813
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,18,0.0956613142466623,0.0196215064579532,0.0089234407874584,0.0152419045917296,0.7177727964924958,0.444343707402553,0.7107170104980469,0.47279568510093123,1.088457291551322
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,19,0.0978986545712283,0.0200229491553477,0.0091269949757868,0.0155598928364831,0.729059752907578,0.412574283496897,0.7082931518554687,0.3228381093647291,0.8316375515503521
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,20,0.1002480225308017,0.0204595235914753,0.009348742642637,0.0159058337503633,0.7423530555146095,0.380334664951364,0.7005279541015625,0.15985964401062752,0.5567967665014166
