model,description,original_arm,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,tke_energy_ratio,delta_rel_l2_vs_current80,delta_tke_vs_current80,delta_mean_field_vs_current80,delta_fluctuation_vs_current80
current_80pt_residual,同事当前80分原始残差模型,BASELINE,10125_0.h5,29,0.039473346118509,0.0043520013142145,0.0026640770662666,0.3946454390939611,0.0205854124910575,0.7435619303757974,0.3946454390939611,0.7707697837625558,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,10125_15.h5,42,0.0840463507616585,0.0090562776316017,0.0049578146775652,0.4492140011522407,0.0485600684494889,0.6836352451993303,0.4492140011522407,0.7660910508013381,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,11400_5.h5,42,0.0416795036510729,0.005438398597044,0.0027311544188142,0.4777668390300102,0.0213177080960389,0.8707973193997557,0.4777668390300102,0.7445697338943538,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,19050_0.h5,42,0.0485593866314727,0.0099499190425333,0.0060358831298004,0.474419939148181,0.0221381137242449,1.0067278863807407,0.474419939148181,0.760482061081093,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,20325_10.h5,42,0.075096165523575,0.0174285865410564,0.006389941503047,0.4868789631346559,0.0381459653728234,0.8098421183135128,0.4868789631346559,0.729109427208693,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,20325_20.h5,42,0.0984538384865141,0.0201003052621302,0.0123138000689858,0.425883672958206,0.0520232296685315,0.7112820918684073,0.425883672958206,0.7828806333361953,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,21600_15.h5,42,0.097099085570759,0.0221564484405473,0.0083131393168588,0.4630434541008028,0.0505791650534114,0.7296208632247799,0.4630434541008028,0.6759405753440679,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,21600_5.h5,23,0.0451171918531792,0.0106806068242352,0.0056252061469024,0.4741040350809953,0.0200890519485302,1.0715885550422488,0.4741040350809953,0.7828473691231664,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,22875_15.h5,42,0.1023978554147315,0.024711550659264,0.0086618243301103,0.500962024606945,0.0512392470894135,0.7866739168028767,0.500962024606945,0.6679400122939808,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,25425_20.h5,42,0.1265370174158414,0.0329000455345532,0.0134494950150239,0.5710335307133523,0.0682399230408445,0.7312056005286868,0.5710335307133523,0.6047047295466346,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,26700_10.h5,42,0.100094289906317,0.030131849454963,0.007702079944771,0.5248274758601125,0.0509018900738321,0.7816980821913155,0.5248274758601125,0.5944776454550342,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,3750_0.h5,42,0.0449464288816854,0.0020353125715341,0.0010869290240133,0.3107837267785178,0.0246843635568625,0.6084701207018997,0.3107837267785178,0.7775194636584913,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,6300_0.h5,42,0.0429174438301365,0.0029914269467538,0.0017928742399505,0.1809882895499786,0.0235644360160797,0.414003477958588,0.1809882895499786,0.908847243670732,0.0,0.0,0.0,0.0
