experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
stage2_residual_step10000,1,0.04248121678265835,0.005413012073875023,0.6101378454677556,1.1182281075420044,0.06184137951556289,491,12
stage2_residual_step10000,2,0.053469847121883504,0.0067965270375454166,0.6526396779467547,1.0590647872598462,0.07790204039145708,491,12
stage2_residual_step10000,3,0.061627210268128674,0.00784657617113578,0.6629042205705439,0.9282535633846711,0.0904782851399621,491,12
stage2_residual_step10000,4,0.06814033462826354,0.008700941178531773,0.6803458482526664,0.787402688307793,0.0999499700732995,491,12
stage2_residual_step10000,5,0.07114718892784894,0.009113541330446319,0.7045956650953918,0.7184662644052384,0.10408934883894176,491,12
stage2_residual_step10000,6,0.0736723467278506,0.009433216095705374,0.7271277882432678,0.6652558481250205,0.10787033056413255,491,12
stage2_residual_step10000,7,0.07608120017366105,0.009743060795319199,0.750356047304112,0.6183147927035609,0.11095528625806413,491,12
stage2_residual_step10000,8,0.07833951476917059,0.010010263666208233,0.7695581258484411,0.572045706624358,0.11335225583537613,491,12
stage2_residual_step10000,9,0.07998764869414808,0.010175346617540397,0.7826557043298549,0.5311246110113791,0.11484741379635927,491,12
stage2_residual_step10000,10,0.08143088307033199,0.010306327515736208,0.7958416569553576,0.4987927211521493,0.11610319544111752,491,12
stage2_residual_step10000,11,0.0829104635268464,0.010445940619109714,0.7998380744427177,0.48389271702475684,0.11796821956102532,491,12
stage2_residual_step10000,12,0.08461945511070933,0.010627659040024337,0.7938566720251894,0.48805252334336835,0.12027374376609126,491,12
stage2_residual_step10000,13,0.08656152162893326,0.010865143584641216,0.7856937263020859,0.5056546893154381,0.12216357854428911,491,12
stage2_residual_step10000,14,0.08857455359597774,0.011123193440126586,0.7766232388094648,0.5255856919611535,0.12492213995338118,491,12
stage2_residual_step10000,15,0.09055012656447237,0.011376285455321187,0.7717870413107328,0.544459539074778,0.1265949612392912,491,12
stage2_residual_step10000,16,0.09232505002068815,0.011587848125128301,0.7657347839984993,0.5596860006042907,0.12763541792499114,491,12
stage2_residual_step10000,17,0.09443872346539238,0.01182738216691586,0.7712554148594798,0.5656515984731513,0.1290943537646563,491,12
stage2_residual_step10000,18,0.096065186393965,0.011998344984210341,0.7696830317711397,0.5582889787508288,0.1296787798962271,491,12
stage2_residual_step10000,19,0.0978276635666279,0.012230754828920148,0.7765115420894089,0.5454840688026587,0.13091644993531107,491,12
stage2_residual_step10000,20,0.10016090940827212,0.012465256976547576,0.7842974019987256,0.5381589812573683,0.13429825289709757,491,12
