update,h19_squared_error,h19_delta_vs_b0,h20_squared_error,h20_delta_vs_b0,h19_h20_squared_error,h19_h20_delta_vs_b0
0,1050.165085331318,0.0,1474.4189132432682,0.0,2524.583998574586,0.0
500,1043.1833903584231,-6.981694972894957,1456.6826106321364,-17.736302611131805,2499.8660009905598,-24.717997584026307
1000,996.6664521908039,-53.498633140514244,1358.731718802713,-115.68719444055523,2355.398170993517,-169.18582758106913
