pred_horizon,gt_f01,gt_f02,gt_f03,gt_f04,gt_f05,gt_f06,gt_f07,gt_f08,gt_f09,gt_f10,gt_f11,gt_f12,gt_f13,gt_f14,gt_f15,gt_f16,gt_f17,gt_f18,gt_f19,gt_f20,value
1,0.5470356628220678,0.4956072651479438,0.38488622998490285,0.24662136477069532,0.1238372431806258,0.022444512248055083,-0.057647985854642175,-0.12086927490045887,-0.1671843080477358,-0.19200085344813478,-0.20372235477992626,-0.2014965312421007,-0.19221134281670493,-0.17940667287019238,-0.16336907508582305,-0.14706818645570155,-0.13047105351386157,-0.1163316717968135,-0.10575272911736383,-0.09455957271405073,window_mean_cosine
2,0.5619491380786111,0.5640681447561671,0.49089185845785077,0.35894408174120074,0.21698662642179944,0.08585715912771964,-0.02368943148188248,-0.11181359505623631,-0.1803041645888649,-0.22580589179052368,-0.2523863978798363,-0.2579751187927839,-0.2495123655631333,-0.23227719469173153,-0.21238910655719193,-0.19219877567311403,-0.17060200207860776,-0.15004016540137105,-0.133486964812279,-0.11971134868708547,window_mean_cosine
3,0.5207270728787313,0.5811382306271339,0.564282841311372,0.46654716240799166,0.3295364712317027,0.1830468378838241,0.04883397259946528,-0.06426339146454607,-0.1577589988709397,-0.2302170319936119,-0.2780189074058188,-0.29979158666826217,-0.3005678208866964,-0.2850766703145543,-0.2649697717717707,-0.24425815454427036,-0.22009244967928096,-0.19657280646752995,-0.17655875617877806,-0.16166567343008476,window_mean_cosine
4,0.4014174426745976,0.5157331248182565,0.579425355508469,0.5590083581589442,0.4644739073643759,0.32270594790210805,0.16821547279330465,0.02790492952540841,-0.09490618032461351,-0.20037232093903246,-0.2819958649271732,-0.3349387244880659,-0.35464222377860627,-0.3461043618267943,-0.3228103123081182,-0.29704746470422416,-0.26969522361265397,-0.24131464399478142,-0.21408358410863101,-0.1912268950990242,window_mean_cosine
5,0.24195478807660392,0.37022583421534316,0.4912588025671836,0.5600727170999963,0.547002753582236,0.4558363491020783,0.31354459953672525,0.15943542997064844,0.012458954938095724,-0.12094319565826471,-0.2338485299250178,-0.3204133656367159,-0.3706663858804623,-0.38244654548261675,-0.3661001908875883,-0.33786918711375635,-0.30567720022513284,-0.2739285247691731,-0.24261124042718743,-0.2141907744819337,window_mean_cosine
6,0.05855539704124516,0.1677431645086081,0.3066150763143264,0.44304540913670687,0.5250671449698103,0.5276125571179264,0.4471473955937939,0.31542152677255547,0.1644232021878466,0.014018632687914853,-0.12180389940336935,-0.23781190723243578,-0.32243676415663436,-0.3679174090824426,-0.37454936703595665,-0.35473518833358486,-0.32232020292182556,-0.28845421123655335,-0.25573096070277773,-0.22642656748491052,window_mean_cosine
7,-0.06977074929741761,0.0065268496236530115,0.12424602993391598,0.2717135699862924,0.4052623998405074,0.49106788493683323,0.49651438812946713,0.42475956106245355,0.3015777490182713,0.15469476067465857,0.010444184104783396,-0.1211628367310192,-0.22921504106407456,-0.3064247202351795,-0.3442334479255633,-0.345307898435447,-0.321436613596273,-0.28680881015082493,-0.251918262473074,-0.22295301946559423,window_mean_cosine
8,-0.15007765629999845,-0.10341802006637231,-0.015287675944434836,0.11391364421181376,0.25890647671745365,0.39411503920980495,0.47624870073826314,0.4807791872925214,0.41175670438653383,0.28961206170242876,0.14868335202818464,0.008435819576065555,-0.11727612524066881,-0.22091816671388426,-0.2913695878142483,-0.3227441827886624,-0.3188686319375047,-0.2921421289095043,-0.25738323495312493,-0.22758352147384345,window_mean_cosine
9,-0.23250963581991993,-0.21533746726799974,-0.15499576989800648,-0.05251531284559803,0.0794513692880261,0.22990768228519656,0.36472730120148233,0.4476987518975855,0.4589054017221796,0.39620719233175633,0.28846448336444636,0.1601244894268174,0.031964788145543085,-0.0845663525790525,-0.1789063522851345,-0.2409660878320522,-0.2664504407505976,-0.260312383367268,-0.23485662248365294,-0.20719783309021886,window_mean_cosine
10,-0.3015898385523222,-0.314911614283705,-0.284384196507584,-0.20860565752352592,-0.09873837661107583,0.04125224814125517,0.19430545124445167,0.32954094484063917,0.4191117226216741,0.43762284863690076,0.39358664473671534,0.3041678761910361,0.19279730070509576,0.07828561272367222,-0.02576439679359645,-0.10819525132793871,-0.16251073032893745,-0.18527304739218928,-0.1808320561705753,-0.16321131684408482,window_mean_cosine
11,-0.3360896654288219,-0.37498108916576817,-0.3770226898692221,-0.3312867720850199,-0.24713302243768556,-0.129072110812014,0.016113272675379826,0.16790905916279997,0.3055410629851485,0.39602538518090247,0.426833409047878,0.39825874350353335,0.3258772427990017,0.22968573140773643,0.13035250759708172,0.04148070331420258,-0.03144223779804962,-0.07983526581034155,-0.10120661634982982,-0.10222910062937322,window_mean_cosine
12,-0.3334651160223966,-0.3863038395776747,-0.4153692528534254,-0.4006867227596682,-0.34638243143004893,-0.2557189347001831,-0.13253797955551835,0.008741754781462779,0.15833080240940856,0.2901569618639216,0.38198722042137484,0.4181278838976054,0.3998620590335054,0.3389642330141999,0.2588954852528148,0.17677898560296645,0.09800807389527487,0.03413541143723623,-0.008984743539069114,-0.030852088278603043,window_mean_cosine
13,-0.3215724013277441,-0.3759498969063026,-0.41894290357507125,-0.42881906843415135,-0.40456665422576177,-0.34325283477736007,-0.24585339255075056,-0.12493469088800374,0.014811736155577794,0.1587591440047228,0.2868140347596426,0.3765228716303059,0.4169021757237782,0.4045021277415895,0.3580025719975416,0.2947920004484958,0.22161794805390958,0.15302369485769657,0.09591826114827294,0.05536385926724515,window_mean_cosine
14,-0.2959734048928774,-0.34686314075541524,-0.39107437043305265,-0.41311728327755187,-0.4118113559531853,-0.3783010211020442,-0.30949383372396083,-0.21339221215670115,-0.09588497067889902,0.03679901716950746,0.17168588091220144,0.2883466866683802,0.37351026418078387,0.4097298473025918,0.405156318725043,0.37082461508899894,0.31348426359062953,0.25046167988969587,0.18931850710073123,0.1389165199192552,window_mean_cosine
