trajectory,horizon,windows,fluctuation_cosine_global,fluctuation_cosine_window_mean,amplitude_ratio_global,amplitude_ratio_window_mean
10125_0.h5,18,29,0.3136899532969726,0.29748528285620207,0.861555540195677,0.8743625833634943
10125_0.h5,19,29,0.1994277485811623,0.1930381662018262,1.1708093735085423,1.195404167898633
10125_0.h5,20,29,0.1408732529075404,0.13219691819282092,1.5459939636650817,1.5724661692195707
11400_15.h5,18,42,0.5963149031124171,0.5670377581614485,0.8991341107774272,0.899061453046382
11400_15.h5,19,42,0.4711266349513593,0.4444307595133287,0.9834087394506288,0.9965887208367353
11400_15.h5,20,42,0.3208648278134018,0.2995713439858415,1.444771694928646,1.4769695532992795
13950_5.h5,18,42,0.20926845665222665,0.2031501483755698,0.9249241348760004,0.9302507229929647
13950_5.h5,19,42,0.12015453776818852,0.11595379019760955,1.2739718769457353,1.2857040623311966
13950_5.h5,20,42,0.05976167410648173,0.05894637369745043,1.7283812576261688,1.7504809911452268
20325_20.h5,18,42,0.5454452941003951,0.5070758636436451,0.8764216437524515,0.8932200213825355
20325_20.h5,19,42,0.413094156410557,0.3826263358537004,0.9675764521183267,1.0081712392522977
20325_20.h5,20,42,0.27628980985516655,0.25486774318816763,1.5131327052520607,1.5894466079223695
20325_5.h5,18,42,0.018158903605521377,0.0173873838657947,1.0628953981965998,1.0838463919686692
20325_5.h5,19,42,0.02207575482303934,0.017921393902168962,1.6064323414800799,1.6447202724636847
20325_5.h5,20,42,0.014229976165602317,0.013606086411945193,2.1389967043468094,2.1918849317556712
22875_15.h5,18,42,0.24306590917754645,0.22745924049434577,0.7966517256156083,0.81095423791703
22875_15.h5,19,42,0.1472574575816888,0.1383003346576352,1.087127747584767,1.1056721900653452
22875_15.h5,20,42,0.08049175883480406,0.07695319443243144,1.7684974895531034,1.7897964711223637
25425_15.h5,18,42,0.16649991459380312,0.16033517834186858,0.8131541456041997,0.8323709737272573
25425_15.h5,19,42,0.048464329569503806,0.043291049370440544,1.1177280265802465,1.1412215051521262
25425_15.h5,20,42,0.0143883861898058,0.013515472439806877,1.6694296121249206,1.700919579522705
26700_0.h5,18,42,0.054799864632447216,0.05046451582125803,1.0240605283045068,1.047433864826776
26700_0.h5,19,42,0.03723468762125214,0.03456238799909252,1.5351527242632743,1.577809730343438
26700_0.h5,20,42,0.011954472697922991,0.009879983720674099,1.909525321446934,1.97303941478099
3750_0.h5,18,42,0.5332229903102303,0.5209183727247684,0.8259890815725217,0.8287693666150927
3750_0.h5,19,42,0.45584075326334267,0.4451969604098038,0.9512983561359655,0.9589756011161658
3750_0.h5,20,42,0.3844671285954327,0.37634597090193944,1.1184654949469863,1.1245492708438878
3750_20.h5,18,42,0.44404775286314546,0.43947441321788844,0.8592551459900214,0.86019562752423
3750_20.h5,19,42,0.3687273773919074,0.3654619321867552,1.0302153433606525,1.034532553361436
3750_20.h5,20,42,0.29604032819956294,0.2934486698485353,1.3365221861801857,1.3430820384066506
8850_20.h5,18,42,0.5629149153905725,0.5395255249948981,0.8881538113826432,0.884149435001932
8850_20.h5,19,42,0.45880140775995815,0.4346375301864611,0.9812345293433187,0.9867442130107755
8850_20.h5,20,42,0.3441563071466669,0.3241751992941456,1.3828781064866977,1.4052661550387415
8850_5.h5,18,42,0.3397982953923087,0.3320084770351935,0.8940044559283046,0.8978148506067725
8850_5.h5,19,42,0.21217010934191366,0.20748406746172632,1.1129828570176667,1.1223439728282143
8850_5.h5,20,42,0.1331150623185883,0.12940639083503508,1.480095206182329,1.4937987258553282
