grid_source,floor,mult,sps,coverage,mean_width_uv
A_headA,0.0,0.5,23.720034478414565,0.3758613627664199,0.009765229187905788
A_headA,0.0,1.0,37.32960259136262,0.6813262530142367,0.019530458375811577
A_headA,0.0,1.5,41.98541123161984,0.8687490599017523,0.029295658692717552
A_headA,0.0,2.0,41.20409558606182,0.9530970744987101,0.039060916751623154
A_headA,0.0,2.5,38.35894445722129,0.9837185386117894,0.04882605001330376
A_headA,0.0,3.0,35.1598954661258,0.993928227023834,0.058591317385435104
A_headA,0.0,4.0,29.489764552034416,0.998722970128328,0.07812183350324631
A_headA,0.0025,0.5,38.453541363122646,0.6457975532953052,0.014765216037631035
A_headA,0.0025,1.0,43.21291033455746,0.842655475616277,0.024530485272407532
A_headA,0.0025,1.5,42.153315054775774,0.9418714105035326,0.03429567441344261
A_headA,0.0025,2.0,38.93738619563956,0.979485537040355,0.044060807675123215
A_headA,0.0025,2.5,35.459341761972446,0.9921814518672375,0.053826093673706055
A_headA,0.0025,3.0,32.27718696527776,0.9966547230844953,0.06359124928712845
A_headA,0.0025,4.0,26.998842281977257,0.9991208240326005,0.08312180638313293
A_headA,0.005,0.5,42.49359207353356,0.7797354388952309,0.019765226170420647
A_headA,0.005,1.0,42.55902103945726,0.9070385328324639,0.02953043207526207
A_headA,0.005,1.5,39.55295235436679,0.9661829537173179,0.03929566964507103
A_headA,0.005,2.0,35.91395256494933,0.98755490163467,0.049060970544815063
A_headA,0.005,2.5,32.533048303830746,0.994925560286196,0.05882607772946358
A_headA,0.005,3.0,29.565415456712085,0.997686106906232,0.06859134882688522
A_headA,0.005,4.0,24.712423151463007,0.9993331404968926,0.08812161535024643
A_headA,0.0075,0.5,42.12042635209151,0.8478955744943224,0.02476523071527481
A_headA,0.0075,1.0,40.108408933205695,0.9372354876124559,0.034530479460954666
A_headA,0.0075,1.5,36.541402205688414,0.9771373667954683,0.04429573193192482
A_headA,0.0075,2.0,32.96580175829325,0.9912987122296797,0.054060958325862885
A_headA,0.0075,2.5,29.80390813028631,0.996302455319301,0.06382613629102707
A_headA,0.0075,3.0,27.067874630771037,0.9982472716603065,0.07359134405851364
A_headA,0.0075,4.0,22.617769436394187,0.999465387678493,0.09312188625335693
B_headB,0.0,0.5,25.51933361560045,0.39663243057671843,0.009291676804423332
B_headB,0.0,1.0,39.22373314138979,0.6968817762518587,0.018583353608846664
B_headB,0.0,1.5,43.559430212796116,0.8704059193344102,0.027875032275915146
B_headB,0.0,2.0,42.813489011057534,0.9497737357838915,0.03716670721769333
B_headB,0.0,2.5,40.142445709945854,0.9809005818834792,0.04645833373069763
B_headB,0.0,3.0,37.07114454828382,0.9923076016709946,0.05575006455183029
B_headB,0.0,4.0,31.489549848405275,0.998219709864515,0.07433341443538666
B_headB,0.0025,0.5,41.165369553878506,0.6782381371291213,0.014291719533503056
B_headB,0.0025,1.0,45.07008160038756,0.8558713772975425,0.02358330972492695
B_headB,0.0025,1.5,43.701931224134434,0.9429289347728473,0.03287503868341446
B_headB,0.0025,2.0,40.54620086805681,0.9778809791021026,0.04216662421822548
B_headB,0.0025,2.5,37.17512303037405,0.990858691661741,0.051458392292261124
B_headB,0.0025,3.0,34.06304340325272,0.9958166014212906,0.06075017899274826
B_headB,0.0025,4.0,28.835456499182637,0.9988055319202056,0.07933328300714493
B_headB,0.005,0.5,44.58621223729375,0.8032206844150075,0.019291643053293228
B_headB,0.005,1.0,44.049003410535015,0.9143976971027856,0.02858343906700611
B_headB,0.005,1.5,40.966030873372375,0.9662536915399995,0.03787499666213989
B_headB,0.005,2.0,37.420258066679516,0.9864689298018364,0.0471666194498539
B_headB,0.005,2.5,34.12400117742197,0.9940727719573683,0.056458454579114914
B_headB,0.005,3.0,31.209728584350987,0.9971205545120204,0.06575007736682892
B_headB,0.005,4.0,26.39576166393286,0.999108320288172,0.08433324843645096
B_headB,0.0075,0.5,43.68216117734991,0.8633615321952468,0.024291658774018288
B_headB,0.0075,1.0,41.378545528545345,0.9415626689524692,0.033583350479602814
B_headB,0.0075,1.5,37.84048259081218,0.9769235259867154,0.042875006794929504
B_headB,0.0075,2.0,34.35857814145617,0.9904897797029745,0.05216679722070694
B_headB,0.0075,2.5,31.268470094254464,0.9956853636029142,0.06145840138196945
B_headB,0.0075,3.0,28.577498486106368,0.9978409514645016,0.07075004279613495
B_headB,0.0075,4.0,24.159651582419272,0.9993020974279406,0.08933322131633759
B_headA,0.0,0.5,26.472590020839466,0.4116803265096397,0.009499479085206985
B_headA,0.0,1.0,40.08367408059339,0.7153706532133243,0.01899895817041397
B_headA,0.0,1.5,43.777588094987586,0.8833054989408072,0.028498470783233643
B_headA,0.0,2.0,42.47731283054001,0.9559453945207397,0.03799791634082794
B_headA,0.0,2.5,39.498571811655694,0.9833014450085114,0.04749730974435806
B_headA,0.0,3.0,36.27907987775974,0.9932247214559187,0.056996941566467285
B_headA,0.0,4.0,30.57302791840632,0.9984099439333748,0.07599583268165588
B_headA,0.0025,0.5,41.48765638142207,0.6858032938941476,0.014499521814286709
B_headA,0.0025,1.0,45.11577471806446,0.8630128898979591,0.023998944088816643
B_headA,0.0025,1.5,43.39574025608003,0.9472135580634546,0.033498428761959076
B_headA,0.0025,2.0,40.007772859252675,0.9797296175473306,0.04299791902303696
B_headA,0.0025,2.5,36.50581513166189,0.991622429435108,0.052497342228889465
B_headA,0.0025,3.0,33.312664491948894,0.996147631360281,0.06199682503938675
