combination,backbone,head,calibration_source,floor,mult,sps,coverage,mean_width_uv,sigma_error_pearson,sigma_error_spearman,sigma_error_sampled_points
A_headA_Acal,A@30000,Head-A,A,0.0025,1.0,43.21291033455746,0.842655475616277,0.024530485272407532,0.6844905288113411,0.6436330639370169,199946
B_headB_Bcal,B@32500,Head-B,B,0.0025,1.0,45.07008160038756,0.8558713772975425,0.02358330972492695,0.673554148900692,0.6351773921881435,199946
B_headA_Acal,B@32500,Head-A,A,0.0025,1.0,45.11577471806446,0.8630128898979591,0.023998944088816643,0.6760302511241982,0.6290179264521235,199946
B_headA_Bcal,B@32500,Head-A,B-on-Head-A,0.0025,1.0,45.11577471806446,0.8630128898979591,0.023998944088816643,0.6760302511241982,0.6290179264521235,199946
