experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
stage2_residual_step30000,1,0.039122936085226205,0.005295453468088813,0.6292567507465306,1.1843149381514613,0.05774966083263791,491,12
stage2_residual_step30000,2,0.0491749684322076,0.006545064082704341,0.6599261814568542,1.1064097284259793,0.07297637910797557,491,12
stage2_residual_step30000,3,0.057167720295889006,0.0075586326331748555,0.6611403571898878,0.9803832494143874,0.08538911807389563,491,12
stage2_residual_step30000,4,0.06427511240003499,0.008442756296532338,0.6763916712415604,0.8407945226139711,0.09587708735218263,491,12
stage2_residual_step30000,5,0.0677361018428648,0.008871484120342823,0.6997959129714372,0.7669076469676792,0.10085863593843872,491,12
stage2_residual_step30000,6,0.07042142635035495,0.009197005210223154,0.7232582406603963,0.7109804287557129,0.10477820577524197,491,12
stage2_residual_step30000,7,0.07303567158641655,0.009509388608634664,0.7456558669978814,0.6643596995775227,0.10817093741243954,491,12
stage2_residual_step30000,8,0.07532700271185197,0.00977175552099129,0.7637957578566156,0.617477834205273,0.11070528618509436,491,12
stage2_residual_step30000,9,0.07703212521845788,0.00993793318014878,0.774685868148724,0.5735462836934092,0.11243257034689737,491,12
stage2_residual_step30000,10,0.07859577995985836,0.010083885543424008,0.7866880678801814,0.5366675811266062,0.11405475565145552,491,12
stage2_residual_step30000,11,0.08021461878773471,0.010253428994369923,0.7879734617151057,0.5213382637511947,0.11594328925862415,491,12
stage2_residual_step30000,12,0.08191779344865703,0.010446312413645615,0.7808432531967372,0.5232594078422664,0.1178130874941956,491,12
stage2_residual_step30000,13,0.08383354013064077,0.010689058435861359,0.7736137346906296,0.5382204384178677,0.11921894159652259,491,12
stage2_residual_step30000,14,0.08578092573524766,0.010938120041759074,0.7651485519698402,0.556489786063477,0.12135780295534268,491,12
stage2_residual_step30000,15,0.08771814685944589,0.01118153424349918,0.7598405551420933,0.5758963818715758,0.12276858152168867,491,12
stage2_residual_step30000,16,0.08929417096974768,0.011373735259035593,0.7524906206547878,0.5881890737266828,0.12348846640534826,491,12
stage2_residual_step30000,17,0.09105681501562375,0.0115919989766116,0.7576641628532543,0.5931340755941468,0.12459022894004128,491,12
stage2_residual_step30000,18,0.09256830785132578,0.011744477598072296,0.7555728763674194,0.5833148906339924,0.12519600453944513,491,12
stage2_residual_step30000,19,0.09440532227917807,0.011972259627205958,0.763573156412145,0.569972398086622,0.12623195991841668,491,12
stage2_residual_step30000,20,0.09622601792600514,0.012175688886717988,0.7715317198952484,0.5572714012575286,0.1292889929334049,491,12
