trajectory_id,baseline_rel_l2,a1_rel_l2,delta_rel_l2_pct,rel_l2_win,baseline_tke,a1_tke,delta_tke_pct,tke_win,baseline_mvpe,a1_mvpe,delta_mvpe_pct,mvpe_win,mean_delta_pct
3750_0.h5,0.2114458680152893,0.20938071608543396,0.9766811473970344,True,0.4268074929714203,0.4250294864177704,0.4165827880085883,True,0.1683826744556427,0.16643524169921875,1.156551743057725,True,0.8499385594877825
11400_10.h5,0.1500350534915924,0.15067432820796967,-0.4260835728052589,False,0.24290171265602112,0.24030525982379913,1.068931463607621,True,0.09576200693845749,0.0967487096786499,-1.0303697382058092,False,-0.12917394913448235
11400_15.h5,0.1751207560300827,0.17559653520584106,-0.27168634178157114,False,0.21446636319160461,0.21237881481647491,0.9733686644672948,True,0.10406941175460815,0.10804490000009537,-3.8200352807424993,False,-1.0394509860189254
20325_5.h5,0.10724631696939468,0.10826030373573303,-0.9454746745547579,False,0.36345288157463074,0.3578246533870697,1.548544109260376,True,0.07831395417451859,0.08172442018985748,-4.3548637676228825,False,-1.2505981109724214
10125_0.h5,0.11361612379550934,0.11457148939371109,-0.8408714945435521,False,0.3456799387931824,0.34196606278419495,1.0743683946349603,True,0.07536137849092484,0.078410804271698,-4.046403929753462,False,-1.2709690098873514
8850_10.h5,0.15165336430072784,0.15229518711566925,-0.42321699746052116,False,0.328316867351532,0.33253028988838196,-1.2833402593168093,False,0.086786650121212,0.08889070153236389,-2.42439523614891,False,-1.3769841643087466
8850_5.h5,0.1151600256562233,0.1159559115767479,-0.6911130107772663,False,0.3769838511943817,0.37901854515075684,-0.5397297390667236,False,0.07715647667646408,0.07948480546474457,-3.0176712164342825,False,-1.4161713220927574
13950_5.h5,0.11321471631526947,0.114106684923172,-0.7878557107528833,False,0.24703563749790192,0.24933722615242004,-0.9316828445603016,False,0.08338151127099991,0.08584269136190414,-2.9517096216991145,False,-1.5570827256707664
16500_10.h5,0.15589629113674164,0.1567162275314331,-0.5259499047172809,False,0.20732121169567108,0.21092438697814941,-1.7379675012547537,False,0.11225713044404984,0.11571652442216873,-3.081669702792818,False,-1.7818623695882845
3750_20.h5,0.3153386414051056,0.3152667284011841,0.02280500848265038,True,0.47658321261405945,0.4921095073223114,-3.2578350007525883,False,0.2742826044559479,0.280908465385437,-2.415705852958424,False,-1.8835786150761205
22875_15.h5,0.1990991085767746,0.2002442330121994,-0.575152969599175,False,0.1728038638830185,0.1698787361383438,1.6927444091498327,True,0.12338829785585403,0.13188908994197845,-6.889463777233806,False,-1.9239574458943831
26700_0.h5,0.12963417172431946,0.13057930767536163,-0.7290793302957997,False,0.4185839593410492,0.41950082778930664,-0.21904051213544243,False,0.07952786237001419,0.0835900530219078,-5.107883615673865,False,-2.018667819368369
20325_20.h5,0.21938583254814148,0.22067515552043915,-0.5876965514693128,False,0.19245843589305878,0.18883225321769714,1.884138078196039,True,0.1253882795572281,0.1350233405828476,-7.68417994061558,False,-2.1292461379629515
24150_10.h5,0.19233253598213196,0.19312450289726257,-0.41176960054443956,False,0.2636813223361969,0.26811450719833374,-1.6812661673793021,False,0.1328658014535904,0.1387210488319397,-4.406888239329609,False,-2.166641335751117
25425_15.h5,0.2278110682964325,0.2288695126771927,-0.46461499376444826,False,0.22807595133781433,0.22808870673179626,-0.005592608035663069,False,0.14069169759750366,0.1502426266670227,-6.788552013099391,False,-2.4195865382998343
8850_20.h5,0.22125275433063507,0.2221561074256897,-0.40829010142159683,False,0.3382619023323059,0.34678947925567627,-2.5209983343004247,False,0.1492527425289154,0.15880073606967926,-6.3971980541088405,False,-3.108828829943621
