absolute_update,model,rel_l2,tke,mvpe
1500,A1 trajectory-macro from saved trajectory CSV,0.19269119249656796,0.30681530106812716,0.13043253170326352
2000,A1 trajectory-macro from saved trajectory CSV,0.1742270989343524,0.4222329519689083,0.1290482087060809
2500,A1 trajectory-macro from saved trajectory CSV,0.16465965192764997,0.34123666398227215,0.0879203649237752
3000,A1 trajectory-macro from saved trajectory CSV,0.17552955821156502,0.30391429644078016,0.12377963494509459
