update,h19_squared_error,h19_delta_vs_b0,h20_squared_error,h20_delta_vs_b0,h19_h20_squared_error,h19_h20_delta_vs_b0
0,1076.477718802844,0.0,1692.1341829767794,0.0,2768.6119017796236,0.0
500,1094.0267302096443,17.54901140680022,1621.6293829648232,-70.50480001195615,2715.6561131744675,-52.95578860515616
1000,1045.7371151646937,-30.740603638150333,1521.89218263154,-170.24200034523938,2567.629297796234,-200.9826039833897
1500,1076.774493537694,0.2967747348500325,1532.4668529820626,-159.66732999471674,2609.241346519757,-159.3705552598667
2000,1107.0680423264466,30.590323523602592,1563.015185288771,-129.11899768800845,2670.0832276152178,-98.52867416440586
