experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
control_22k,1,0.03918566040835591,0.005271229545109088,0.6243855709095067,1.169023779904643,0.057798770605427076,491,12
control_22k,2,0.04928248262046917,0.006548697785008801,0.6590122422219215,1.096037862532436,0.07282910594573949,491,12
control_22k,3,0.05742245318628517,0.0075866621199145124,0.6653896112988362,0.9726886071017827,0.08565170914683057,491,12
control_22k,4,0.06432792078995413,0.008439681036362135,0.6763014854452174,0.8288710162971403,0.09574092322156938,491,12
control_22k,5,0.06789605671125204,0.008889150651693045,0.701871801648506,0.7648263091096684,0.10052697888495636,491,12
control_22k,6,0.07058159568507424,0.009215980984204888,0.7235514049299933,0.7111279229036881,0.10450334733364701,491,12
control_22k,7,0.07316280605460976,0.009526463533954657,0.7451545409647526,0.6612377040615988,0.10787443632259125,491,12
control_22k,8,0.07544952869912636,0.009792756900019664,0.7642043065067042,0.6121936140527439,0.11055430501426446,491,12
control_22k,9,0.07716580528430611,0.009963264910545683,0.7756648991529369,0.5711150062958786,0.11244600895385261,491,12
control_22k,10,0.0787571812833193,0.010117443160115506,0.7877414914202188,0.5346016333069341,0.11396162788160646,491,12
control_22k,11,0.08044101771064992,0.010301349276742894,0.7909428872043078,0.517626217889223,0.11573886140786747,491,12
control_22k,12,0.0822265335980415,0.010512417286773467,0.7834995151712774,0.5205387743500117,0.11753629491378445,491,12
control_22k,13,0.08414290567810434,0.010757771401196714,0.7750949832066805,0.539009805295926,0.1190520053216166,491,12
control_22k,14,0.08610779021870735,0.011013084907053435,0.7673072817372871,0.5591029989576196,0.1212855775813693,491,12
control_22k,15,0.08798604053480098,0.011244245402207843,0.7613731793275356,0.5727679195274775,0.12259735377960568,491,12
control_22k,16,0.08946703237156522,0.011420128956811324,0.7548950362913676,0.5803778232421718,0.12290843108526836,491,12
control_22k,17,0.09123224035552006,0.011641884892888922,0.7620392748986592,0.5865052379532742,0.12417243400997742,491,12
control_22k,18,0.09276642377164115,0.011789287662590561,0.758671908029744,0.5780300860473185,0.12498459425767268,491,12
control_22k,19,0.09465859599739523,0.012021505848797827,0.7660873013808007,0.5681611736445763,0.12647924602676555,491,12
control_22k,20,0.09666411085029535,0.012233128040286076,0.774865664110299,0.5555863415263899,0.12971802591740078,491,12
