experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
A_pareto_tke,10125_0.h5,29,0.039939284324645996,0.3731628656387329,0.026270505040884018
A_pareto_tke,10125_15.h5,42,0.0846259817481041,0.4272102117538452,0.0789903923869133
A_pareto_tke,11400_5.h5,42,0.04218757152557373,0.4529463052749634,0.02914050966501236
A_pareto_tke,19050_0.h5,42,0.04890596866607666,0.4551891088485718,0.030460916459560394
A_pareto_tke,20325_10.h5,42,0.07634100317955017,0.4547139108181,0.06797126680612564
A_pareto_tke,20325_20.h5,42,0.0992172360420227,0.4039536416530609,0.09082759916782379
A_pareto_tke,21600_15.h5,42,0.09828308969736099,0.43470197916030884,0.08825555443763733
A_pareto_tke,21600_5.h5,23,0.04568958282470703,0.4548353850841522,0.0271924939006567
A_pareto_tke,22875_15.h5,42,0.10392230749130249,0.4719219207763672,0.07262545824050903
A_pareto_tke,25425_20.h5,42,0.12717196345329285,0.5470467209815979,0.1302073746919632
A_pareto_tke,26700_10.h5,42,0.10117687284946442,0.4966752529144287,0.08233960717916489
A_pareto_tke,3750_0.h5,42,0.04553283005952835,0.2960527539253235,0.041904233396053314
A_pareto_tke,6300_0.h5,42,0.04338955134153366,0.1757521629333496,0.03192848712205887
A_pareto_tke,6300_20.h5,42,0.10194802284240723,0.45358768105506897,0.10073497146368027
A_pareto_tke,7575_20.h5,42,0.10618970543146133,0.45400530099868774,0.10358885675668716
A_pareto_tke,8850_20.h5,42,0.10559500008821487,0.46890318393707275,0.09944263845682144
