experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
pareto_22k,10125_0.h5,29,0.041036877781152725,0.4148145616054535,0.02831406518816948
pareto_22k,11400_15.h5,42,0.08251704275608063,0.4412235915660858,0.07279583811759949
pareto_22k,13950_5.h5,42,0.05031953379511833,0.5190337300300598,0.0340021476149559
pareto_22k,20325_20.h5,42,0.10353229194879532,0.4407390356063843,0.09357379376888275
pareto_22k,20325_5.h5,42,0.050808582454919815,0.5245556831359863,0.03250160068273544
pareto_22k,22875_15.h5,42,0.10707738250494003,0.49644750356674194,0.07875410467386246
pareto_22k,25425_15.h5,42,0.13038897514343262,0.5332928895950317,0.09534968435764313
pareto_22k,26700_0.h5,42,0.06839900463819504,0.64781653881073,0.03784416243433952
pareto_22k,3750_0.h5,42,0.04954123497009277,0.34882888197898865,0.047520436346530914
pareto_22k,3750_20.h5,42,0.10921595990657806,0.5436366200447083,0.11498691141605377
pareto_22k,8850_20.h5,42,0.11007760465145111,0.5124382972717285,0.10613007843494415
pareto_22k,8850_5.h5,42,0.04809955880045891,0.4621715545654297,0.03329820930957794
