experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
colleague_backbone,1,0.08120487846142334,0.013308355708634277,0.005913174948357217,0.010297523237104589,0.7781264523276497,0.7172658852712941
colleague_backbone,2,0.08086436354281422,0.013566081333514616,0.005905936804361358,0.010462281115623012,0.7621498185578108,0.6593986043775826
colleague_backbone,3,0.08405429185821359,0.014652771031771638,0.006104908852021116,0.01122438441521431,0.7888419475159265,0.6208460839981963
colleague_backbone,4,0.08684397467519014,0.01567315429041188,0.006284181867226122,0.011940240934575607,0.8046276515994741,0.5878598838014774
colleague_backbone,5,0.08804911097902446,0.01633411439090884,0.006382053433895434,0.012400280217970718,0.8102252572514604,0.5234253003424264
colleague_backbone,6,0.08717273867311244,0.016681457197130156,0.006383560588170972,0.012629743861269223,0.7896370695236615,0.4870219476250703
colleague_backbone,7,0.08894695139754252,0.01717354287756713,0.006659785607051371,0.013024655836134892,0.8015581605000094,0.4679823751618118
colleague_backbone,8,0.09116042059228917,0.01766302519509925,0.006922061310118828,0.013414495738263048,0.8149502614136939,0.4600561162971173
colleague_backbone,9,0.09276502574918523,0.018037071234350787,0.007155646625891671,0.013721137295204057,0.825051002858746,0.4541663957270087
colleague_backbone,10,0.094480688719321,0.018386297381885127,0.007371975520922515,0.01400717591979548,0.8330913128615738,0.4437857063788798
colleague_backbone,11,0.09620637502389366,0.018713589910828818,0.0076028153012346455,0.014282878698906635,0.8351004130984769,0.4314933556187162
colleague_backbone,12,0.09806324690381958,0.01903400483686221,0.007858997428226664,0.01456120154222459,0.834428308668057,0.41344648831395614
colleague_backbone,13,0.09990767134829234,0.019378390792819077,0.008118566548227325,0.014856533117070263,0.8349659599892302,0.391137546715837
colleague_backbone,14,0.10214990092201628,0.019660423967163488,0.008446933319106583,0.015130812157086107,0.8341810863202301,0.37123789758268494
colleague_backbone,15,0.10459332204015155,0.020005117774520218,0.008757081668426418,0.015441684113462409,0.8329068264255955,0.36964844438199584
colleague_backbone,16,0.10756152724579704,0.02033349879657974,0.009163138091069958,0.015770451372527784,0.8540594267635402,0.3496184751211336
colleague_backbone,17,0.11009646199974377,0.02074270443791611,0.009395701697693383,0.01610184768575928,0.8586009544902934,0.3494785516832322
colleague_backbone,18,0.11308499102662592,0.021121905816677132,0.009618250569219387,0.016411057999727932,0.8730301859631624,0.3391924152152356
colleague_backbone,19,0.11556954168954672,0.021586481363466702,0.009778829985683066,0.01675711331859085,0.872718832773454,0.3019557756345162
colleague_backbone,20,0.1168886060764092,0.022053916390721646,0.00998798548255163,0.017119215551078894,0.8888393076736018,0.27071441725617523
