trajectory_id,windows,rel_l2,tke,mvpe
10125_0.h5,29,0.050331804901361465,0.18330064415931702,0.023749077692627907
11400_10.h5,42,0.0739390179514885,0.14806514978408813,0.023677652701735497
11400_15.h5,42,0.09056555479764938,0.1632421314716339,0.021727943792939186
13950_5.h5,42,0.054860129952430725,0.23325932025909424,0.014433620497584343
16500_10.h5,42,0.078670434653759,0.22504886984825134,0.02587856724858284
20325_20.h5,42,0.11793213337659836,0.17634975910186768,0.043788984417915344
20325_5.h5,42,0.05607249587774277,0.21397720277309418,0.023359110578894615
22875_15.h5,42,0.12259098142385483,0.222253680229187,0.0373806469142437
24150_10.h5,42,0.11482314765453339,0.24341203272342682,0.030339214950799942
25425_15.h5,42,0.15055587887763977,0.2700222432613373,0.04348493739962578
26700_0.h5,42,0.07690125703811646,0.26393625140190125,0.023999938741326332
3750_0.h5,42,0.06302288174629211,0.19263890385627747,0.03251565247774124
3750_20.h5,42,0.12688419222831726,0.19271181523799896,0.04239783436059952
8850_10.h5,42,0.0775989219546318,0.19068753719329834,0.031072350218892097
8850_20.h5,42,0.1207900121808052,0.18682102859020233,0.03407268226146698
8850_5.h5,42,0.053407154977321625,0.23998014628887177,0.016829151660203934
