update,rel_l2,tke,mvpe,base_rel_l2,base_tke,base_mvpe,selection_objective,dev_windows,dev_trajectories,elapsed_seconds
0,0.0889103040099144,0.4692927300930023,0.07112862169742584,0.09993461519479752,0.4692927300930023,0.07577798515558243,3.0,659,16,
1000,0.09180498868227005,0.47658583521842957,0.07765409350395203,0.11697510629892349,0.47658583521842957,0.10195355862379074,3.13983984631464,659,16,1088.4999350500293
2000,0.09099279344081879,0.4805234968662262,0.07549985498189926,0.11730330437421799,0.4805234968662262,0.10330383479595184,3.108808959242707,659,16,2182.4350412390195
3000,0.09184762090444565,0.48033615946769714,0.07778428494930267,0.12090686708688736,0.48033615946769714,0.11303558945655823,3.1501411488299125,659,16,2947.280312128016
4000,0.08988983929157257,0.4707271158695221,0.0733584463596344,0.11579226702451706,0.4707271456718445,0.10062937438488007,3.0454227915977437,659,16,3709.7224037680426
5000,0.09350680559873581,0.4884992837905884,0.0804780051112175,0.12928299605846405,0.4884992837905884,0.11911234259605408,3.2240681204647457,659,16,4472.316534641024
