experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
A_train65_fixed_stride20,1,0.041514105204435284,0.0056263770913310375,0.5999786901030155,1.1605547223830681,0.0680398406929215,640,16
A_train65_fixed_stride20,2,0.05198893044855293,0.007012407855245845,0.6208408267221791,1.0829332113352086,0.08544653682922246,640,16
A_train65_fixed_stride20,3,0.06098653440013282,0.008210534107802626,0.631627520033374,0.9671828799156582,0.10069488843009475,640,16
A_train65_fixed_stride20,4,0.06851583643722034,0.00922237404295047,0.6543448627540271,0.8535715026973782,0.11291877861807076,640,16
A_train65_fixed_stride20,5,0.07246765517861872,0.009729569764143997,0.6754807275551242,0.7873601500364924,0.11818239803305979,640,16
A_train65_fixed_stride20,6,0.07562352187724972,0.01011617383454878,0.6948344449350351,0.735431190915761,0.12155929901199083,640,16
A_train65_fixed_stride20,7,0.07857706879120241,0.010480767503465126,0.716831931512905,0.68636385550353,0.12486383253938187,640,16
A_train65_fixed_stride20,8,0.08128472288407532,0.01081681685917831,0.7381187904429016,0.6381669722801442,0.12882456646527002,640,16
A_train65_fixed_stride20,9,0.08356645194223697,0.011087080571206234,0.754995704756477,0.6038092795807556,0.13179041821224563,640,16
A_train65_fixed_stride20,10,0.08571280847578631,0.011342067340884698,0.7668878688650408,0.5800645148649737,0.135409802145734,640,16
A_train65_fixed_stride20,11,0.08770097951682555,0.011583482848026705,0.7669163336449631,0.5695026698568249,0.13898327525900026,640,16
A_train65_fixed_stride20,12,0.08962513401956604,0.01180984179330132,0.7596279716800922,0.5638531733498544,0.14096978093129497,640,16
A_train65_fixed_stride20,13,0.09163482281200745,0.01205972860265537,0.751669193654354,0.5633532491732085,0.14353061027650135,640,16
A_train65_fixed_stride20,14,0.09352479307661028,0.012287903589869845,0.7427436557791435,0.5653626848895256,0.14583640020231953,640,16
A_train65_fixed_stride20,15,0.09533997097486184,0.012499352932996402,0.7358990256636103,0.5677175550289582,0.14791190641507787,640,16
A_train65_fixed_stride20,16,0.09723707179035938,0.012721928672343208,0.7347415411665165,0.5689436066849213,0.15043357268623977,640,16
A_train65_fixed_stride20,17,0.09927585931949023,0.012980218330518937,0.740288172522949,0.5643602536854156,0.1529608813069518,640,16
A_train65_fixed_stride20,18,0.1012766558262936,0.01321577333905596,0.749938323846205,0.5548336286879627,0.15450794467951773,640,16
A_train65_fixed_stride20,19,0.10342410028978566,0.013472807218280897,0.76034647904528,0.5406165788732474,0.15698868462178422,640,16
A_train65_fixed_stride20,20,0.10588569765573944,0.013752077842602012,0.775255806037032,0.5201215282524573,0.15872061297591272,640,16
