experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
A_train65_fixed_stride20,10125_0.h5,29,0.04220951348543167,0.4411754012107849,0.03004135563969612
A_train65_fixed_stride20,10125_15.h5,42,0.08800865709781647,0.48646244406700134,0.08568792790174484
A_train65_fixed_stride20,11400_5.h5,42,0.04290040209889412,0.524432897567749,0.032165300101041794
A_train65_fixed_stride20,19050_0.h5,42,0.04961302876472473,0.5220903158187866,0.0313013419508934
A_train65_fixed_stride20,20325_10.h5,42,0.07800644636154175,0.5203163027763367,0.07189972698688507
A_train65_fixed_stride20,20325_20.h5,42,0.10417164862155914,0.4610385000705719,0.09753207117319107
A_train65_fixed_stride20,21600_15.h5,42,0.1003505066037178,0.49203982949256897,0.0918981283903122
A_train65_fixed_stride20,21600_5.h5,23,0.04622699320316315,0.5339354872703552,0.028129857033491135
A_train65_fixed_stride20,22875_15.h5,42,0.10568712651729584,0.532568097114563,0.0756855383515358
A_train65_fixed_stride20,25425_20.h5,42,0.13237139582633972,0.5868533253669739,0.139867901802063
A_train65_fixed_stride20,26700_10.h5,42,0.10559547692537308,0.5566573143005371,0.0911659523844719
A_train65_fixed_stride20,3750_0.h5,42,0.0506359227001667,0.37487608194351196,0.051705338060855865
A_train65_fixed_stride20,6300_0.h5,42,0.049642305821180344,0.25574642419815063,0.038479965180158615
A_train65_fixed_stride20,6300_20.h5,42,0.11012096703052521,0.542935848236084,0.11544476449489594
A_train65_fixed_stride20,7575_20.h5,42,0.11407553404569626,0.5356482863426208,0.11447032541036606
A_train65_fixed_stride20,8850_20.h5,42,0.11314979940652847,0.5459089279174805,0.11275532096624374
