experiment,update,rel_l2,tke,mvpe,windows,trajectories,parity_status
DW-01_Dense-All@07500,7500,0.14106130599975586,0.5188255310058594,0.10407251119613647,659,16,PASS
DW-01_Dense-All@20000,20000,0.12038293480873108,0.49199366569519043,0.09001792967319489,659,16,PASS
DW-01_Dense-All@30000,30000,0.1100919097661972,0.47939780354499817,0.08083108812570572,659,16,PASS
RW-00_fixed@07500,7500,0.14921842515468597,0.5285975337028503,0.11832495033740997,659,16,PASS
