variant,horizon,trajectory_count,frame_rel_l2_improved_count,frame_rel_l2_improved_fraction,frame_rel_l2_mean_improvement,frame_rel_l2_median_improvement,frame_rel_l2_worst_improvement,frame_rel_l2_best_improvement,frame_rmse_improved_count,frame_rmse_improved_fraction,frame_rmse_mean_improvement,frame_rmse_median_improvement,frame_rmse_worst_improvement,frame_rmse_best_improvement,tke_contrib_rel_l2_improved_count,tke_contrib_rel_l2_improved_fraction,tke_contrib_rel_l2_mean_improvement,tke_contrib_rel_l2_median_improvement,tke_contrib_rel_l2_worst_improvement,tke_contrib_rel_l2_best_improvement,mvpe_probe_rel_l2_improved_count,mvpe_probe_rel_l2_improved_fraction,mvpe_probe_rel_l2_mean_improvement,mvpe_probe_rel_l2_median_improvement,mvpe_probe_rel_l2_worst_improvement,mvpe_probe_rel_l2_best_improvement
corrected,1,16,16,1.0,0.4609797701590248,0.46825923095144206,0.3541389815300334,0.5975501677289798,16,1.0,0.4609924717963481,0.46834241930316906,0.3541275580074924,0.5974594047451364,13,0.8125,0.0977957097075344,0.10821317571637862,-0.02315881635217165,0.22880076650618209,16,1.0,0.4813357441210475,0.47514788055200513,0.3738690261702019,0.6725934019987976
corrected,2,16,16,1.0,0.3245153339850544,0.32227444722372556,0.21398422052223687,0.5022947939603677,16,1.0,0.3245323642094329,0.32233208013811127,0.21398608216060833,0.5022828008414837,14,0.875,0.07888173855257224,0.0705838423519779,-0.08565687006401457,0.2999476780464625,16,1.0,0.37998353705266313,0.3556889915836165,0.2340835050406589,0.6023178041016318
corrected,3,16,16,1.0,0.2612122369705279,0.24280476796245648,0.17638092750437306,0.4103070812229813,16,1.0,0.26129398966561324,0.2428841686593861,0.17645580726473553,0.4102303578868892,14,0.875,0.09373848656219796,0.0887169155679356,-0.06362985485627393,0.35390348458302734,16,1.0,0.39842163321535823,0.4016014518328137,0.23168087554532513,0.5546881210521784
corrected,4,16,16,1.0,0.11949006605541715,0.09473367691893059,0.054979923798319064,0.26571876325339994,16,1.0,0.11946866276631733,0.0947103178163829,0.05485187642432732,0.26579864523548813,12,0.75,0.02279849818333153,0.017492726317991425,-0.05716150328192948,0.10390313696887032,15,0.9375,0.10973709017901542,0.11491233795620998,-0.05735825074111345,0.25365301314445843
corrected,5,16,16,1.0,0.09722765048974946,0.0754668913495875,0.021155708502809345,0.21346376485673424,16,1.0,0.09719098766012102,0.07547160162182531,0.021179065519234097,0.21343737638093052,12,0.75,0.022268700268540303,0.02021053792096439,-0.052324723719354704,0.14547517692028933,12,0.75,0.055626029683743236,0.07504256855727287,-0.0936108995898377,0.17120405898377178
corrected,6,16,15,0.9375,0.081586611361345,0.0655900155012607,-0.00023951761198826027,0.1882607026491403,15,0.9375,0.08154127931530482,0.06554533051762274,-0.00023105656597488533,0.1881955705789352,11,0.6875,0.01695275711539744,0.015021749774749404,-0.024291900219680418,0.13600511561451156,12,0.75,0.05070559360946148,0.06486323823830009,-0.036158720285417,0.12725204657208378
corrected,7,16,16,1.0,0.09822419035017432,0.0741723302417151,0.008736743591450491,0.2791454051015081,16,1.0,0.09814753442650084,0.07408270590257765,0.008719227282438125,0.27900482531886683,13,0.8125,0.01645960682368451,0.008536748636986835,-0.005141445474561079,0.09863223643783336,16,1.0,0.15259008291833642,0.13298817447636474,0.04404295570121053,0.45582638358509175
corrected,8,16,16,1.0,0.09045454809795246,0.07108378663636422,0.009443443847600319,0.24664414936901502,16,1.0,0.0903884143628819,0.07106915804879338,0.009468557086089069,0.24648611472237747,14,0.875,0.011669878003937234,0.011081673283179272,-0.008067007359385148,0.043451087553769474,15,0.9375,0.15711469375713688,0.13498218418932273,-0.0007292372764158284,0.4524357063905564
corrected,9,16,16,1.0,0.07826625370232063,0.06387362743746716,0.004722818590113587,0.22382725985838703,16,1.0,0.07822549585859034,0.06384051662844409,0.004763343699971112,0.22369654568198483,12,0.75,0.010324617282198308,0.012385497054144046,-0.011708746820999538,0.03154037482715499,15,0.9375,0.11328703871441945,0.08384437149123558,-0.08574075733877295,0.3754284642435557
corrected,10,16,16,1.0,0.07279285944221928,0.06154511573961219,0.002734129974342636,0.2131056990632606,16,1.0,0.0727618756402523,0.06150861885568809,0.002790938637127649,0.2130044442162079,13,0.8125,0.013677835416884186,0.015023385717426285,-0.003003322046003065,0.031652533265955074,14,0.875,0.08041300436521295,0.050425514312040676,-0.11407113873177854,0.2934907335224639
corrected,11,16,16,1.0,0.06928718959351156,0.05982117431469425,0.0026733256049085163,0.20139072370350508,16,1.0,0.06925808637130446,0.059777742409096446,0.002708005284458248,0.20133061330529456,16,1.0,0.020997807201688534,0.016530140176036212,0.0030571282378671905,0.06515144288164476,14,0.875,0.057155484612730074,0.048979369663871786,-0.12687927332897608,0.21750235244238825
corrected,12,16,16,1.0,0.06872569266688422,0.0628502709641659,0.0009084016475747747,0.20049160296868185,16,1.0,0.06870338687193253,0.06281130433060778,0.000951596719895087,0.2004851450583105,15,0.9375,0.03703396833091337,0.02200298939596973,-0.0043741337239560085,0.17820051060106434,13,0.8125,0.05083840158788546,0.046283981937644436,-0.15928544430323277,0.2093936391069371
corrected,13,16,16,1.0,0.07206337278780223,0.06510241519297733,0.00838828185411944,0.20374606684383534,16,1.0,0.07202442149038217,0.06510437179250039,0.008403291857006834,0.20372908346184337,16,1.0,0.042518882065818935,0.02363006092580805,0.0033084043700000176,0.21207398609901928,13,0.8125,0.07424238893115809,0.08086051470300826,-0.06928996106695995,0.22392043017160013
corrected,14,16,16,1.0,0.08592503869819684,0.0787420259832824,0.03974567439739485,0.21545656263787694,16,1.0,0.08582237214426479,0.07861819548128679,0.03967640093185465,0.21538717025323761,15,0.9375,0.03623096044236625,0.030870861962070895,-0.003632479325650584,0.12257907440108273,16,1.0,0.13677020580580035,0.13027651145748298,0.03393050765366146,0.26651068461063354
corrected,15,16,16,1.0,0.13443659003292585,0.1248771514501486,0.08983033912272886,0.2521843525285429,16,1.0,0.13422155263849672,0.12457471954324184,0.08948548927245226,0.25203137940053444,13,0.8125,0.045770056671607016,0.05515308636881122,-0.030705301970090693,0.10115848917030401,16,1.0,0.26052483447577574,0.2578967935062396,0.07081615218917481,0.3952534337216863
corrected,16,16,16,1.0,0.1577822471864962,0.15700429245008274,0.09063199178272197,0.2596795949522175,16,1.0,0.15753814173615388,0.15665584362654073,0.09044745452802394,0.25948875955551076,12,0.75,0.05939082378937448,0.04058061609896846,-0.03231076885515494,0.14720642431071862,16,1.0,0.2794641583956028,0.2756537824861315,0.13677292491008963,0.38386772736718344
corrected,17,16,16,1.0,0.13839231082162415,0.13011564917483504,0.05612926823332465,0.2678642192729289,16,1.0,0.13818047534280073,0.12996895810471915,0.05595938783021681,0.26764346966343255,13,0.8125,0.051366111131918885,0.040401108196655655,-0.02332321205385024,0.18605001013507882,16,1.0,0.22487426813351238,0.21275298881963733,0.12145956554804749,0.39709610697115294
