trajectory_id,horizon,variant,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
10125_0.h5,1,base,29,0.053843453775030345,0.004907978841427742,0.8106592063838685,1.1504802975013857,0.05491774463131558,0.0,0.0,0.0,0.0,0.0
10125_0.h5,1,corrected,29,0.027453408409843217,0.002501842204846042,0.8249289616608853,1.487787278559811,0.026843413169317404,0.49012541943261057,0.4902500019502427,-0.017602656165061514,0.511206926840718,0.33730698105842527
10125_0.h5,1,spatial_tke_map,29,0.0344170676135097,0.0031367750734231153,0.8403980001248536,1.7687811338759742,0.035640920748673595,0.360793834709941,0.3608825191042143,-0.03668470487572928,0.3510126647052767,0.6183008363745885
10125_0.h5,1,window_energy,29,0.030310623689622777,0.002762626945042207,1.0085545793115074,1.7371305356402116,0.029611027972442295,0.4370601890386313,0.4371151477420484,-0.24411660457221807,0.4608112883871548,0.5866502381388259
10125_0.h5,2,base,29,0.0498310285965522,0.004542596513794675,0.7485720952281502,0.9453322718631367,0.04895017801887317,0.0,0.0,0.0,0.0,0.0
10125_0.h5,2,corrected,29,0.03254896178599125,0.002966453213080213,0.812692437922655,1.33550674576039,0.029413370088089787,0.346813367038478,0.3469696892356888,-0.08565687006401457,0.39911617733546945,0.39017447389725324
10125_0.h5,2,spatial_tke_map,29,0.03708745769384016,0.003380277683560279,0.8021883573785215,1.5303992630114174,0.03751187599063713,0.2557356583161875,0.25587102589999755,-0.07162471389483205,0.23367232748011468,0.5850669911482806
10125_0.h5,2,window_energy,29,0.03456969049903756,0.0031509149742571067,0.9624995128101141,1.5563984260863812,0.03182736228994489,0.3062617515097926,0.3063625693612444,-0.2857806468417221,0.3498008877991501,0.6110661542232445
10125_0.h5,3,base,29,0.05155504793349246,0.004700218864449766,0.8468185513665676,1.1329039167557458,0.045046983396453834,0.0,0.0,0.0,0.0,0.0
10125_0.h5,3,corrected,29,0.03654568113700382,0.0033312977198447454,0.7921229405112223,1.1405996520940724,0.031404752962061876,0.29113282594269263,0.29124625556458517,0.06458952837898901,0.30284448382099427,0.007695735338326681
10125_0.h5,3,spatial_tke_map,29,0.039821197119954285,0.003630029726700773,0.7830324530112317,1.2982378738489975,0.03754949002459217,0.2275984851895626,0.2276892137605332,0.0753243988956076,0.16643719082978314,0.16533395709325172
10125_0.h5,3,window_energy,29,0.03795201145780069,0.0034596755993669052,0.8998237442937786,1.3255163842182667,0.03328710888512218,0.2638545985494978,0.26393308500285884,-0.06259332987175714,0.2610579804608495,0.19261246746252092
10125_0.h5,4,base,29,0.04810466169929496,0.004385837478200326,0.7316601748939843,0.8519575820685937,0.036477520445686175,0.0,0.0,0.0,0.0,0.0
