variant,trajectory_id,windows,rel_l2,tke,mvpe
base,10125_0.h5,29,0.05603354796767235,0.18105651438236237,0.0190627109259367
base,11400_10.h5,42,0.08491139858961105,0.17214910686016083,0.026097413152456284
base,11400_15.h5,42,0.10264619439840317,0.1738460510969162,0.02274136245250702
base,13950_5.h5,42,0.06088058277964592,0.25720444321632385,0.020644139498472214
base,16500_10.h5,42,0.08751636743545532,0.23127244412899017,0.02773144654929638
base,20325_20.h5,42,0.12732714414596558,0.15294118225574493,0.032873399555683136
base,20325_5.h5,42,0.0593809075653553,0.23069602251052856,0.019066574051976204
base,22875_15.h5,42,0.13163192570209503,0.2087494283914566,0.028538553044199944
base,24150_10.h5,42,0.12234240025281906,0.26252809166908264,0.03360617160797119
base,25425_15.h5,42,0.1605803519487381,0.27692997455596924,0.035252299159765244
base,26700_0.h5,42,0.07912016659975052,0.27124401926994324,0.016107480973005295
base,3750_0.h5,42,0.07555179297924042,0.16543741524219513,0.03234650939702988
base,3750_20.h5,42,0.15347762405872345,0.23024575412273407,0.059919700026512146
base,8850_10.h5,42,0.08815613389015198,0.22126922011375427,0.027285493910312653
base,8850_20.h5,42,0.13681386411190033,0.2262279987335205,0.03564593940973282
base,8850_5.h5,42,0.06118519604206085,0.2621191143989563,0.020061055198311806
corrected,10125_0.h5,29,0.04604528471827507,0.20615562796592712,0.0192214697599411
corrected,11400_10.h5,42,0.0702693983912468,0.18213236331939697,0.019165994599461555
corrected,11400_15.h5,42,0.08627013862133026,0.20373497903347015,0.01660994067788124
corrected,13950_5.h5,42,0.05200456455349922,0.29025641083717346,0.0161717738956213
corrected,16500_10.h5,42,0.07601911574602127,0.2375868409872055,0.020043274387717247
corrected,20325_20.h5,42,0.11312989145517349,0.190607950091362,0.030743759125471115
corrected,20325_5.h5,42,0.0519835539162159,0.31395360827445984,0.017452098429203033
corrected,22875_15.h5,42,0.11661747097969055,0.2846987843513489,0.024581843987107277
corrected,24150_10.h5,42,0.11067299544811249,0.28357070684432983,0.02876778319478035
corrected,25425_15.h5,42,0.1437436044216156,0.35123881697654724,0.03316029906272888
corrected,26700_0.h5,42,0.07218816131353378,0.31857189536094666,0.015828805044293404
corrected,3750_0.h5,42,0.05461646243929863,0.15179266035556793,0.02448127046227455
corrected,3750_20.h5,42,0.12070280313491821,0.18775425851345062,0.04106928035616875
corrected,8850_10.h5,42,0.07290046662092209,0.20719067752361298,0.024590566754341125
corrected,8850_20.h5,42,0.11473675817251205,0.23083795607089996,0.029888438060879707
corrected,8850_5.h5,42,0.04925410822033882,0.27723073959350586,0.01556574646383524
window_energy,10125_0.h5,29,0.04703133925795555,0.15817447006702423,0.019221413880586624
window_energy,11400_10.h5,42,0.07131871581077576,0.15259702503681183,0.019165929406881332
window_energy,11400_15.h5,42,0.08736037462949753,0.16937321424484253,0.016609985381364822
window_energy,13950_5.h5,42,0.05315320938825607,0.21451565623283386,0.016171813011169434
window_energy,16500_10.h5,42,0.07656655460596085,0.21992772817611694,0.020043322816491127
window_energy,20325_20.h5,42,0.1151556447148323,0.14301185309886932,0.030743813142180443
window_energy,20325_5.h5,42,0.05432344600558281,0.18759456276893616,0.017451955005526543
window_energy,22875_15.h5,42,0.1194465383887291,0.21283340454101562,0.024581745266914368
window_energy,24150_10.h5,42,0.11207912862300873,0.25244101881980896,0.02876780368387699
window_energy,25425_15.h5,42,0.14748930931091309,0.2604188323020935,0.03316023573279381
window_energy,26700_0.h5,42,0.07519401609897614,0.25968024134635925,0.01582891121506691
window_energy,3750_0.h5,42,0.056670185178518295,0.1269800066947937,0.02448130212724209
window_energy,3750_20.h5,42,0.12418638169765472,0.1614970862865448,0.04106948897242546
window_energy,8850_10.h5,42,0.07372812926769257,0.17671141028404236,0.024590561166405678
window_energy,8850_20.h5,42,0.11697724461555481,0.1835380494594574,0.02988838031888008
window_energy,8850_5.h5,42,0.0504225492477417,0.20348890125751495,0.01556575670838356
spatial_tke_map,10125_0.h5,29,0.04833273962140083,0.16895857453346252,0.01922144740819931
spatial_tke_map,11400_10.h5,42,0.0734982118010521,0.14356182515621185,0.019165944308042526
spatial_tke_map,11400_15.h5,42,0.09009335935115814,0.15197798609733582,0.016609929502010345
spatial_tke_map,13950_5.h5,42,0.05385630950331688,0.24787425994873047,0.016171623021364212
spatial_tke_map,16500_10.h5,42,0.07818125188350677,0.2199050933122635,0.02004329487681389
spatial_tke_map,20325_20.h5,42,0.11723802983760834,0.14964358508586884,0.03074374422430992
spatial_tke_map,20325_5.h5,42,0.05461612716317177,0.23353108763694763,0.017452040687203407
spatial_tke_map,22875_15.h5,42,0.12151513993740082,0.21465328335762024,0.02458176016807556
spatial_tke_map,24150_10.h5,42,0.11372081935405731,0.26352301239967346,0.028767749667167664
spatial_tke_map,25425_15.h5,42,0.14969362318515778,0.27965617179870605,0.033160384744405746
spatial_tke_map,26700_0.h5,42,0.07551870495080948,0.28020980954170227,0.015828872099518776
spatial_tke_map,3750_0.h5,42,0.060804545879364014,0.1187269538640976,0.024481406435370445
spatial_tke_map,3750_20.h5,42,0.12805703282356262,0.16394618153572083,0.04106947034597397
spatial_tke_map,8850_10.h5,42,0.07611150294542313,0.18453840911388397,0.024590536952018738
spatial_tke_map,8850_20.h5,42,0.11978814750909805,0.18016694486141205,0.029888272285461426
spatial_tke_map,8850_5.h5,42,0.05197446793317795,0.23787318170070648,0.015565792098641396
