variant,rel_l2,tke,mvpe,rel_l2_improvement_vs_base,tke_improvement_vs_base,mvpe_improvement_vs_base,fluctuation_energy,target_fluctuation_energy,fluctuation_energy_ratio,h19_fraction,h20_fraction,h19_h20_fraction
base,0.09993461519479752,0.4692927300930023,0.07577798515558243,0.0,0.0,0.0,0.00014774802734899897,0.000169071332566219,0.8738798299299588,0.07871619200878477,0.15903145789277628,0.23774764990156105
corrected,0.08499187231063843,0.49182429909706116,0.07112862169742584,0.1495251955994622,-0.048011758033399854,0.061355068343540875,0.00012910083578502967,0.000169071332566219,0.7635879709794423,0.08154761933697936,0.11416794203608624,0.1957155613730656
window_energy,0.08688744902610779,0.49914994835853577,0.07112862169742584,0.1305570261441198,-0.06362173618077671,0.061355068343540875,0.00014774802699386353,0.000169071332566219,0.8738798278294523,0.08212305481427173,0.1180371393154192,0.20016019412969094
spatial_tke_map,0.0889103040099144,0.4692927300930023,0.07112862169742584,0.11031524125443404,0.0,0.061355068343540875,0.00014774802729877824,0.000169071332566219,0.8738798296329201,0.08307819928209742,0.12042197847374266,0.2035001777558401
