experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
current80,10125_0.h5,29,0.0394735514476823,0.004352011939387601,0.002664106590491982,0.394666625527173,0.020585532693780183,0.7435659626405782,0.394666625527173,1.4008450016926635e-05,1.8175024714923018e-05,0.770752735506581
current80,10125_15.h5,42,0.08404655441130864,0.009056281055632281,0.004957854701792785,0.44921476351837114,0.0485602845879661,0.6836364927119625,0.44921476351837114,6.095942675624466e-05,7.957394632849506e-05,0.7660726854565383
current80,11400_5.h5,42,0.0416792222889734,0.005438371185058905,0.002731117412849996,0.4777674288987989,0.021317480030159233,0.8707918954832019,0.4777674288987989,1.3488037623534595e-05,1.811573162430563e-05,0.74454832425525
current80,19050_0.h5,42,0.04855957332724273,0.009949956200455589,0.00603590661415406,0.4744196150882169,0.022138316006768553,1.006730110688157,0.4744196150882169,4.0963251212691464e-05,5.3865737535947917e-05,0.7604695133962321
current80,20325_10.h5,42,0.07509635902992011,0.017428662827794886,0.006389885589928548,0.4868831274492665,0.03814626930717095,0.8098423878234361,0.4868831274492665,0.00014569426928857866,0.00019982966555809624,0.7290922940879424
current80,20325_20.h5,42,0.09845330772173465,0.020100223193436552,0.012313694869637763,0.4258801867080598,0.052023617701562774,0.7112742573431726,0.4258801867080598,0.0003320726184689205,0.0004241817234868227,0.782854611790544
current80,21600_15.h5,42,0.0970984731531614,0.022156327881040164,0.008313012090643675,0.46304780531035084,0.05057925310297305,0.7296147742010919,0.46304780531035084,0.0002621755172416491,0.0003878792038515198,0.6759205305113752
current80,21600_5.h5,23,0.045117652850103995,0.010680762665850102,0.005625168500515643,0.474120748407311,0.020089418128527457,1.0715972644173601,0.474120748407311,4.032278774674762e-05,5.150881262857102e-05,0.7828327947979388
current80,22875_15.h5,42,0.10239780576460471,0.02471153632890777,0.008661851840021446,0.5009619251824186,0.05123908452128088,0.7866747292073147,0.5009619251824186,0.00028193195585665833,0.0004220973674686106,0.6679310926468269
current80,25425_20.h5,42,0.12653645838926372,0.03289991953389309,0.01344939032902672,0.5710384484652968,0.06823969515747953,0.7312024788386896,0.5710384484652968,0.0005161723150402947,0.00085362465711576,0.6046829959016713
current80,26700_10.h5,42,0.1000937258084626,0.030131664014462625,0.007702033767280806,0.5248349481496333,0.05090160853055402,0.7816947223063466,0.5248349481496333,0.0003570726555674382,0.0006006664178923474,0.5944608270599764
current80,3750_0.h5,42,0.04494661163843073,0.002035314276215083,0.0010869445781897184,0.31079454223008407,0.024684541477976846,0.6084720410898726,0.31079454223008407,3.996342463539323e-06,5.139943786729318e-06,0.7775070369168963
current80,6300_0.h5,42,0.042917225959242584,0.0029914108085412785,0.0017928641065130518,0.18098969478123803,0.023564355519078865,0.4140011654913615,0.18098969478123803,2.293660525609455e-05,2.523785244039417e-05,0.9088176305914054
current80,6300_20.h5,42,0.10115295370361889,0.006467478975426224,0.00452284161345552,0.47480925737007595,0.06479689648992197,0.706570558422712,0.47480925737007595,2.9114637804323603e-05,3.760546922566317e-05,0.7742128579652143
current80,7575_20.h5,42,0.10559739860394479,0.008030632384949322,0.005733610557097672,0.4771668279388894,0.06576117121087346,0.692783805009742,0.4771668279388894,4.779736628531082e-05,6.407075421962819e-05,0.7460091092648322
current80,8850_20.h5,42,0.10491276229180518,0.009214707583108666,0.006508446794595934,0.4944238197357938,0.06406514625080237,0.7106861248699505,0.4944238197357938,5.913253454190696e-05,8.16809953771538e-05,0.7239448328080286
