trajectory,horizon,windows,base_frame_rel_l2,final_frame_rel_l2,correction_gain_rel_pct
10125_0.h5,18,29,0.06205592482743836,0.046677499594845955,24.781558369093474
10125_0.h5,19,29,0.0749744973595743,0.04823086477757981,35.67030593580806
10125_0.h5,20,29,0.08976646815137593,0.049861686745779225,44.45399515808515
11400_15.h5,18,42,0.11412159419666197,0.0974156337647904,14.638737348062929
11400_15.h5,19,42,0.13300628653846588,0.09984043175659804,24.935554284703798
11400_15.h5,20,42,0.1915784349286957,0.10450097667940675,45.45264099359546
13950_5.h5,18,42,0.06820594343928474,0.05702082905415772,16.39903184549266
13950_5.h5,19,42,0.0839782150699716,0.058154749161781705,30.750196210616643
13950_5.h5,20,42,0.10805102034099721,0.05958213716541337,44.857404421190424
20325_20.h5,18,42,0.14009155770378126,0.12082500592839886,13.752828572383255
20325_20.h5,19,42,0.16221576637867996,0.12930646978007032,20.28736005955517
20325_20.h5,20,42,0.23297607874654483,0.15552700612680304,33.24335830375049
20325_5.h5,18,42,0.06844268540673301,0.05622409372803898,17.852297299679062
20325_5.h5,19,42,0.08784015478564723,0.05884552831574616,33.00839637709597
20325_5.h5,20,42,0.11051360438820038,0.06091880630142418,44.87664515272245
22875_15.h5,18,42,0.14844937278297982,0.12519174769685373,15.667041665529112
22875_15.h5,19,42,0.17783165417923283,0.13704554122118717,22.93523790592319
22875_15.h5,20,42,0.2523156211611563,0.16799074690907878,33.42039381629029
25425_15.h5,18,42,0.17702560095560707,0.1475312375425786,16.661072327287172
25425_15.h5,19,42,0.21608202085985173,0.16793784242578186,22.280511003409963
25425_15.h5,20,42,0.29011209908933616,0.2049055977186542,29.370199187881433
26700_0.h5,18,42,0.08328970392721011,0.06976742575063434,16.23523381520647
26700_0.h5,19,42,0.10397449263487737,0.07695740307128622,25.984343735598568
26700_0.h5,20,42,0.12428869386972805,0.08374139110226689,32.6234844900377
3750_0.h5,18,42,0.07944481334092365,0.0533233513892745,32.88000922043007
3750_0.h5,19,42,0.09202168533676798,0.054514288908856526,40.75930177832233
3750_0.h5,20,42,0.10325094540067144,0.056402001402689056,45.3738644388991
3750_20.h5,18,42,0.1669174691348631,0.136569365848746,18.181502177939795
3750_20.h5,19,42,0.19083134868592058,0.14077506524834194,26.23063966285942
3750_20.h5,20,42,0.22430176174712677,0.14505350303519077,35.33109062303259
8850_20.h5,18,42,0.15429698436677247,0.13219723644931516,14.322864447515697
8850_20.h5,19,42,0.1758570508602547,0.13498065247818988,23.244105472090144
8850_20.h5,20,42,0.2334953404963275,0.13782184749687068,40.974476319779754
8850_5.h5,18,42,0.06930513489352041,0.053941706344399126,22.167807006977878
8850_5.h5,19,42,0.08280177098968185,0.055103016759992185,33.451886232169215
8850_5.h5,20,42,0.10450027651062907,0.05650412023711873,45.92921461660294
