experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
fluct_ramp_end_1p60,1,0.04346515435256512,0.008659267267384049,0.004187865972249765,0.006801512001368384,0.6415234923923594,1.1556870747208492,0.03936816268167666,0.001293097326074996,0.33361663818359377,0.5679456171994767
fluct_ramp_end_1p60,2,0.054934907837582536,0.011193748881961365,0.004930561905737462,0.008649001524416583,0.7173199048585689,1.2003052552633853,0.04974723892591158,0.0016768895195520253,0.3360382080078125,0.5914745166487627
fluct_ramp_end_1p60,3,0.06384282780819417,0.013224568977147933,0.00561315754698887,0.010158660400827012,0.7555005396737666,1.1859374476842557,0.05799061261226235,0.002097476123833875,0.3441375732421875,0.6018859464144944
fluct_ramp_end_1p60,4,0.07134689456972605,0.014940966052957418,0.006227908103669027,0.01144594482651765,0.7837154441752769,1.1312443685907274,0.0653090286674459,0.0024362486131029697,0.347552490234375,0.6223997812649315
fluct_ramp_end_1p60,5,0.07518687593425574,0.015730927668682174,0.006710188480153804,0.012093153326500478,0.8197276289148581,1.1120618757415328,0.06887818003756352,0.0027162175453783904,0.35468063354492185,0.6434908443126208
fluct_ramp_end_1p60,6,0.07825134573426971,0.016280545930451834,0.007107109650057435,0.012561193879792864,0.8465590412053807,1.1111619531880441,0.07184358241074038,0.0029284725864931306,0.3614372253417969,0.6620681188191823
fluct_ramp_end_1p60,7,0.08094894367903979,0.01681850990732552,0.007399386556513374,0.012992559349787814,0.8725362904470044,1.1002064156697695,0.07453306755079234,0.0030898709595608494,0.3665122985839844,0.6838967321142363
fluct_ramp_end_1p60,8,0.08313536229601612,0.01728453067755344,0.007646411635650121,0.013364554082443072,0.8843849216875223,1.086481149810407,0.07694892769283179,0.0032103831967458325,0.3710609436035156,0.7051475750077445
fluct_ramp_end_1p60,9,0.08476119292583921,0.017612946695803832,0.00783664008208678,0.013631375922580161,0.8883636749004398,1.0761562641112215,0.0788967954874566,0.003290237274133579,0.37601318359375,0.7216214959799014
fluct_ramp_end_1p60,10,0.08619923775280657,0.017940713830837264,0.008009075150115902,0.013892704875584874,0.8844140114001778,1.0583338672504945,0.0807464670629238,0.0033386063906092143,0.37967453002929685,0.7341922473514989
fluct_ramp_end_1p60,11,0.08759815054572838,0.0182643461137589,0.00821630261691404,0.014161461217965616,0.8742594919756053,1.0440877612403539,0.08248004164901285,0.0033724760951943755,0.3820991516113281,0.7353135269544816
fluct_ramp_end_1p60,12,0.08905808469913064,0.01853849732167876,0.008451785983871566,0.01440674441473608,0.8549082138088382,1.0228812127790528,0.08425405149704875,0.0034052347162639865,0.3823280334472656,0.7298175932820584
fluct_ramp_end_1p60,13,0.0908592767722248,0.018864369493619446,0.008690109960331064,0.014686429918711443,0.8376253292838124,1.0065289086838598,0.08617465919026827,0.0034511714512940658,0.38080596923828125,0.721714390539501
fluct_ramp_end_1p60,14,0.0927742062083595,0.019110904529970798,0.008985091170563134,0.014932490336460795,0.8285619578421283,0.9970626987259755,0.08791528357095524,0.003535045789910597,0.3771095275878906,0.7109481889702379
fluct_ramp_end_1p60,15,0.09505989504860661,0.019346058450305462,0.009295227965848257,0.015176811926417927,0.8405953838010392,0.9918220696029042,0.08963672267700133,0.0036825607118692373,0.36973724365234373,0.703294457221179
fluct_ramp_end_1p60,16,0.0976886617809463,0.01963658470934091,0.009647535360875592,0.0154704621389677,0.8665677280926207,0.9960132424878757,0.09130602484665148,0.003919280158696168,0.3639686584472656,0.6985053389616818
fluct_ramp_end_1p60,17,0.10103758520579416,0.02004634777692558,0.010070355653106829,0.015862977686637365,0.9143596592234854,0.9951903041696294,0.09317770131341976,0.004249557110875894,0.3528900146484375,0.7013885493295644
fluct_ramp_end_1p60,18,0.10497643438461288,0.020506057086216778,0.010509180296314551,0.016293269280958124,0.964319916582863,0.9861958758505882,0.0952111599904927,0.004661711412519323,0.34241256713867185,0.7100442678854544
fluct_ramp_end_1p60,19,0.10985939050856075,0.021132557978018805,0.011005959556349717,0.016848088206831244,1.0176158989018025,0.9728491343890177,0.09758361746555282,0.005151205674128497,0.3288330078125,0.7230466256534264
fluct_ramp_end_1p60,20,0.11510246170672303,0.02187631099772529,0.011506518228686079,0.017478171309039763,1.052395151409676,0.9485999701190094,0.10008802217485577,0.005670576250240195,0.30320281982421876,0.7382425448956925
