model,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error
plain_piv_cno,10125_0,0,1,0.11755899339914322,0.1652374267578125,0.0001133096739067696
plain_piv_cno,10125_0,20,1,0.1185610219836235,0.1494363248348236,0.00011817673657787964
plain_piv_cno,10125_0,40,1,0.11828284710645676,0.14697885513305664,0.0001207105815410614
plain_piv_cno,10125_0,60,1,0.1219000518321991,0.1658831536769867,0.00012602175411302596
plain_piv_cno,10125_0,80,1,0.1199517697095871,0.15200330317020416,0.00011843708489323035
plain_piv_cno,10125_0,100,1,0.12225645035505295,0.16055099666118622,0.0001205279550049454
plain_piv_cno,10125_0,120,1,0.11729581654071808,0.1420581191778183,0.00010960083454847336
plain_piv_cno,10125_0,140,1,0.11772899329662323,0.15612800419330597,0.00011339699995005503
plain_piv_cno,10125_0,160,1,0.11741957813501358,0.15474526584148407,0.000117505420348607
plain_piv_cno,10125_0,180,1,0.11439070850610733,0.14778904616832733,0.00011300004553049803
plain_piv_cno,10125_0,200,1,0.11894098669290543,0.15734674036502838,0.00012426759349182248
plain_piv_cno,10125_0,220,1,0.11871828883886337,0.15326392650604248,0.00012084392801625654
plain_piv_cno,10125_0,240,1,0.12143050134181976,0.1636514961719513,0.0001231604692293331
plain_piv_cno,10125_0,260,1,0.11795114725828171,0.15759345889091492,0.0001146816648542881
plain_piv_cno,10125_0,280,1,0.11893016844987869,0.15954358875751495,0.0001168324233731255
plain_piv_cno,10125_0,300,1,0.11890775710344315,0.15055429935455322,0.00011818244820460677
plain_piv_cno,10125_0,320,1,0.11794532835483551,0.1517917960882187,0.00011762481153709814
plain_piv_cno,10125_0,340,1,0.11943080276250839,0.14994670450687408,0.00011968832404818386
plain_piv_cno,10125_0,360,1,0.12324640154838562,0.15813708305358887,0.00012272880121599883
plain_piv_cno,10125_0,380,1,0.1223326250910759,0.1727365106344223,0.00011930810433113948
plain_piv_cno,10125_0,400,1,0.12099572271108627,0.16115987300872803,0.00011614130198722705
plain_piv_cno,10125_0,420,1,0.12339942157268524,0.14735475182533264,0.0001237860124092549
plain_piv_cno,10125_0,440,1,0.1195053979754448,0.15586620569229126,0.00011941320553887635
plain_piv_cno,10125_0,460,1,0.12634113430976868,0.20048007369041443,0.0001354555133730173
plain_piv_cno,10125_0,480,1,0.12616726756095886,0.1603100746870041,0.000130864093080163
plain_piv_cno,10125_0,500,1,0.11971975117921829,0.15825077891349792,0.0001167934387922287
plain_piv_cno,10125_0,520,1,0.11986654996871948,0.14457115530967712,0.00011760287452489138
plain_piv_cno,10125_0,540,1,0.11753589659929276,0.15160341560840607,0.00011481842375360429
plain_piv_cno,10125_0,560,1,0.11764438450336456,0.14780373871326447,0.00011729962716344744
