model,horizon,squared_error_sum,squared_error_fraction,se_total,t19_fraction,t20_fraction,t19_t20_fraction
plain_piv_cno,1,1485.8634033203125,0.0604281765864426,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,2,1138.9559326171875,0.046319890554253715,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,3,887.1636352539062,0.036079817762788374,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,4,895.9094848632812,0.03643550035340391,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,5,975.59375,0.03967615816493797,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,6,1018.3006591796875,0.04141299389533182,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,7,1046.135986328125,0.04254502128123317,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,8,1071.152099609375,0.04356239482141717,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,9,1071.55126953125,0.04357862855493073,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,10,1079.567138671875,0.04390462376743889,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,11,1102.9356689453125,0.044854992200212315,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,12,1136.75634765625,0.04623043622881613,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,13,1171.4735107421875,0.04764233913782472,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,14,1202.7647705078125,0.04891491491195314,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,15,1190.38134765625,0.048411296839695195,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,16,1169.3560791015625,0.04755622588353534,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,17,1112.6839599609375,0.04525144280905824,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,18,1236.307861328125,0.05027906979376496,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,19,1569.2838134765625,0.06382077866855247,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
plain_piv_cno,20,3026.780029296875,0.12309529778440913,24588.916748046875,0.06382077866855247,0.12309529778440913,0.1869160764529616
p0a_cno,1,594.6575927734375,0.03946795794142196,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,2,467.68475341796875,0.03104065667715663,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,3,477.764404296875,0.03170965214915165,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,4,473.0828552246094,0.03139893353707924,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,5,504.36370849609375,0.03347507183295586,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,6,559.348388671875,0.03712445438683689,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,7,591.3612060546875,0.03924917379747871,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,8,616.9808959960938,0.04094957560411123,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,9,649.560791015625,0.04311193246626721,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,10,670.5785522460938,0.044506900135641674,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,11,695.1621704101562,0.0461385369288792,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,12,719.1049194335938,0.047727638662284765,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,13,737.2260131835938,0.04893035191217688,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,14,759.506591796875,0.05040913390421069,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,15,807.4152221679688,0.053588872684133856,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,16,840.25,0.055768146347228716,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,17,876.3461303710938,0.05816387890432935,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,18,851.6832885742188,0.05652698396750498,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,19,1321.7047119140625,0.08772272752376699,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
p0a_cno,20,1853.0625,0.12298942063738354,15066.844696044922,0.08772272752376699,0.12298942063738354,0.21071214816115053
