model,horizon,rel_l2,mvpe,tke_error,velocity_squared_error,pred_speed_mean,pred_speed_std,target_speed_mean,target_speed_std
plain_piv_cno,1,0.18031978607177734,0.24315938353538513,0.0,0.0005504698492586613,0.15926815569400787,0.11266321688890457,0.15705075860023499,0.118636853992939
plain_piv_cno,2,0.16481506824493408,0.21311628818511963,0.0,0.00042195056448690593,0.1599300056695938,0.1143631562590599,0.15706518292427063,0.11862729489803314
plain_piv_cno,3,0.15574316680431366,0.18975932896137238,0.0,0.00032866871333681047,0.15641789138317108,0.11494994908571243,0.15707311034202576,0.11861002445220947
plain_piv_cno,4,0.15075750648975372,0.18087254464626312,0.0,0.0003319088136777282,0.1573202759027481,0.11619704216718674,0.15707175433635712,0.11861182004213333
plain_piv_cno,5,0.15339411795139313,0.18115806579589844,0.0,0.00036142952740192413,0.15829095244407654,0.1168229803442955,0.1570601910352707,0.11861609667539597
plain_piv_cno,6,0.15526865422725677,0.18254907429218292,0.0,0.0003772512136492878,0.15980957448482513,0.1166326105594635,0.15706144273281097,0.11860432475805283
plain_piv_cno,7,0.15703155100345612,0.1837950050830841,0.0,0.00038756342837587,0.1596195101737976,0.1161898523569107,0.15705525875091553,0.11860621720552444
plain_piv_cno,8,0.15876474976539612,0.18646155297756195,0.0,0.0003968311648350209,0.15936380624771118,0.11607251316308975,0.15705163776874542,0.11861393600702286
plain_piv_cno,9,0.1594492793083191,0.1880759447813034,0.0,0.00039697904139757156,0.15832127630710602,0.11558143049478531,0.15701057016849518,0.1186184212565422
plain_piv_cno,10,0.16040851175785065,0.18841888010501862,0.0,0.0003999487089458853,0.15871135890483856,0.11590687185525894,0.15702053904533386,0.11863715201616287
plain_piv_cno,11,0.16179119050502777,0.18868884444236755,0.0,0.0004086060798726976,0.15950942039489746,0.11612994223833084,0.1570269912481308,0.11864618957042694
plain_piv_cno,12,0.16325272619724274,0.18794682621955872,0.0,0.0004211356572341174,0.16007043421268463,0.11621876060962677,0.15701989829540253,0.11866055428981781
plain_piv_cno,13,0.16446860134601593,0.18715298175811768,0.0,0.0004339973966125399,0.1604643613100052,0.11625014245510101,0.1570630818605423,0.1186748519539833
plain_piv_cno,14,0.1659395396709442,0.18861733376979828,0.0,0.00044558988884091377,0.16090470552444458,0.1162554994225502,0.15705685317516327,0.11865032464265823
plain_piv_cno,15,0.1664031445980072,0.18989521265029907,0.0,0.0004410021938383579,0.16011464595794678,0.11540515720844269,0.15705694258213043,0.11863084882497787
plain_piv_cno,16,0.16711688041687012,0.1926894634962082,0.0,0.0004332129319664091,0.15898115932941437,0.11418434977531433,0.15708261728286743,0.11862760782241821
