experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
fluct_ramp_end_1p20,10125_0.h5,29,0.040421071643135506,0.0044087723433113785,0.0028040717608147207,0.4150240141683832,0.02058541249289052,0.7681467580209284,0.4150240141683832,1.6667000685312306e-05,1.817502471492302e-05,0.917027676536114
fluct_ramp_end_1p20,10125_15.h5,42,0.08571848301728921,0.009176375300175975,0.005162677321908592,0.4544108269587545,0.04856006843855652,0.704010254029142,0.4544108269587545,7.25173909791057e-05,7.957394632849506e-05,0.9113207818013866
fluct_ramp_end_1p20,11400_5.h5,42,0.04273019947940295,0.005521669013220766,0.0029041927342475945,0.48082655955367753,0.021317708114874056,0.9005460833514041,0.48082655955367753,1.5873124700710392e-05,1.8115731624305632e-05,0.8762066600398095
fluct_ramp_end_1p20,19050_0.h5,42,0.04993785614525511,0.010089245347933411,0.0064346471240714865,0.4675665841066949,0.022138113726352132,1.0430663823059685,0.4675665841066949,4.7542634232863046e-05,5.386573753594792e-05,0.8826136317382625
fluct_ramp_end_1p20,20325_10.h5,42,0.07667265162962889,0.01773294049321078,0.006697719216424708,0.47558565699788824,0.03814596537408851,0.8331433623637251,0.47558565699788824,0.00017039671620446445,0.00019982966555809624,0.8527098102705137
fluct_ramp_end_1p20,20325_20.h5,42,0.1007619900572175,0.020422803914423124,0.012869891742436895,0.435313349359829,0.052023229688181655,0.7347138503757983,0.435313349359829,0.00039483816475703294,0.0004241817234868227,0.9308231422877385
fluct_ramp_end_1p20,21600_15.h5,42,0.09850855582469828,0.022405592091711356,0.008638078734121406,0.4442476185459895,0.05057916503221301,0.7443590195220521,0.4442476185459895,0.0003076362125277904,0.0003878792038515198,0.7931237598537344
fluct_ramp_end_1p20,21600_5.h5,23,0.046463486802777815,0.010845442865882342,0.006076886666950624,0.4715896607007632,0.020089051965857745,1.1115502996038857,0.4715896607007632,4.674109080544578e-05,5.150881262857102e-05,0.9074387162153168
fluct_ramp_end_1p20,22875_15.h5,42,0.10419718054219655,0.025048529518648048,0.009096212273030183,0.4920382698346775,0.05123924712146278,0.8052974309992138,0.4920382698346775,0.0003298159347331782,0.0004220973674686105,0.7813740623665584
fluct_ramp_end_1p20,25425_20.h5,42,0.1278301884829478,0.033159644704055295,0.013779648498592662,0.5558223027821884,0.06823992302884066,0.7420242295406463,0.5558223027821884,0.0006062355974651963,0.0008536246571157602,0.7101898854627212
fluct_ramp_end_1p20,26700_10.h5,42,0.10134879853991088,0.030461755236277956,0.007977788112624546,0.5007980735108595,0.050901890107463786,0.7954743169054334,0.5007980735108595,0.0004156525715009156,0.0006006664178923474,0.691985699748924
fluct_ramp_end_1p20,3750_0.h5,42,0.04591432207047513,0.0020634521508998134,0.0011386784716946518,0.36103692024875816,0.024684363533392862,0.6269324691223455,0.36103692024875816,4.808437613847134e-06,5.139943786729318e-06,0.9355039302690253
fluct_ramp_end_1p20,6300_0.h5,42,0.04441266352843911,0.00302942672086317,0.0019617959114479728,0.2599423644324303,0.023564436018772044,0.4342732519120339,0.2599423644324303,2.7625702988814856e-05,2.523785244039417e-05,1.0946138564705623
fluct_ramp_end_1p20,6300_20.h5,42,0.103245030423511,0.006563406749943595,0.004669396341621863,0.48446973212109434,0.06479697942716653,0.7309919467936662,0.48446973212109434,3.473157447078637e-05,3.760546922566317e-05,0.9235777450978975
fluct_ramp_end_1p20,7575_20.h5,42,0.10755124219222695,0.008144742931571348,0.005885725888306916,0.47490059693166936,0.0657610546441261,0.713591805674844,0.47490059693166936,5.689473471084022e-05,6.407075421962819e-05,0.8879985166993776
fluct_ramp_end_1p20,8850_20.h5,42,0.10675662462921534,0.009330321853113848,0.006685850413654239,0.49125640296299156,0.06406557692118091,0.7303230337664449,0.49125640296299156,7.02927317634435e-05,8.168099537715382e-05,0.8605763365012125
