experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
aug_best,10125_10.h5,42,0.08020730795204438,0.009271419533637195,0.004341828999062582,0.5045256232939439,0.053161628671207405,0.7336945516408581,0.5045256232939439,4.196503065674084e-05,5.598408084083118e-05,0.749588633526948
aug_best,11400_10.h5,42,0.07692060983636269,0.010119049723784867,0.004627642862492927,0.5096993291009456,0.05022070103779598,0.764883183529772,0.5096993291009456,4.785217439740357e-05,6.285439978085574e-05,0.7613178164812964
aug_best,12675_10.h5,42,0.0804420697602099,0.011748267396085024,0.00498319643070845,0.5557163189930281,0.051200843970803614,0.7991593080440076,0.5557163189930281,5.757438762158619e-05,7.79437267339032e-05,0.738666086857033
aug_best,13950_10.h5,42,0.08384722774973799,0.013193921219120405,0.005974371837936165,0.5160731014089857,0.05218756209123782,0.742356655187073,0.5160731014089857,8.981973336906719e-05,0.00011902842327328656,0.7546074366022905
aug_best,16500_10.h5,42,0.07699270756663872,0.014346529668785671,0.006478038246840611,0.5175210205157085,0.043777679334609756,0.7842035970883878,0.5175210205157085,0.00010713137752381187,0.00014087806952644768,0.7604546107419481
aug_best,19050_10.h5,42,0.08122984683563127,0.017664916233043827,0.007415505932016639,0.5472456396039862,0.045985710182861274,0.894476269064643,0.5472456396039862,0.00012836531426965392,0.00015669114400276884,0.8192250754604586
aug_best,20325_10.h5,42,0.08566815374051437,0.01988085952656396,0.007321721854204343,0.545754756416271,0.047888760707003285,0.8885749557731227,0.545754756416271,0.0001537219894818453,0.00019982966555809624,0.7692651091244203
aug_best,22875_10.h5,42,0.10348289612858286,0.02662702984917333,0.00869521844078328,0.5679250386972592,0.059701393705573466,0.7972158772651061,0.5679250386972592,0.0002779276301694663,0.00042405365210396856,0.6554067599477355
aug_best,24150_10.h5,42,0.10733690899806851,0.029162840331070642,0.009259708296997005,0.5616445166951756,0.06038388379405684,0.8479074810198768,0.5616445166951756,0.0003077038567418173,0.00046685129033042496,0.6591046509136403
aug_best,25425_10.h5,42,0.10987547789471662,0.031388363911378975,0.009199244152157593,0.5998289856472094,0.06112295461901929,0.8749184649627734,0.5998289856472094,0.00029390774114290523,0.0005002465948598045,0.5875257206403848
aug_best,3750_10.h5,42,0.07649446098774813,0.0032442974625813453,0.0020176628343125825,0.5261243747738658,0.04868759006645338,0.7383066564294205,0.5261243747738658,5.264721607923769e-06,8.015279416076131e-06,0.6568356927600543
aug_best,5025_10.h5,42,0.07783274574601952,0.004324131287941666,0.0025367407614911423,0.5150725261455663,0.04922653887388869,0.7290367917116354,0.5150725261455663,9.349302177408414e-06,1.4231267783653378e-05,0.6569549754483159
aug_best,6300_10.h5,42,0.07924289487737267,0.005551843308872796,0.002982130948604105,0.526935031603158,0.05169059977697969,0.7431605337972785,0.526935031603158,1.56587673194652e-05,2.0845362892273012e-05,0.751187081769136
aug_best,8850_10.h5,42,0.07770025908969064,0.007776559741276839,0.003971660802700854,0.5055834067521445,0.050523973593115154,0.7249798328080584,0.5055834067521445,3.2699785699876e-05,4.306530370241096e-05,0.7593069800653779
