experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio,delta_rel_pct_vs_current80,delta_tke_pct_vs_current80,delta_fluctuation_pct_vs_current80
fluct_ramp_end_1p00,10125_0.h5,29,0.03947334611850905,0.004352001314214594,0.002664077066266659,0.3946454390939611,0.020585412491057598,0.7435619303757974,0.3946454390939611,1.4008759869400324e-05,1.817502471492302e-05,0.7707697837625558,0.0,0.0,0.0
fluct_ramp_end_1p00,10125_15.h5,42,0.08404635076165852,0.009056277631601719,0.0049578146775652076,0.4492140011522407,0.048560068449488965,0.6836352451993303,0.4492140011522407,6.096088815920606e-05,7.957394632849506e-05,0.7660910508013381,0.0,0.0,0.0
fluct_ramp_end_1p00,11400_5.h5,42,0.041679503651072945,0.005438398597044023,0.0027311544188142957,0.47776683903001027,0.021317708096038994,0.8707973193997557,0.47776683903001027,1.3488425474810772e-05,1.8115731624305632e-05,0.7445697338943538,0.0,0.0,0.0
fluct_ramp_end_1p00,19050_0.h5,42,0.04855938663147273,0.009949919042533353,0.006035883129800426,0.474419939148181,0.022138113724244953,1.0067278863807407,0.474419939148181,4.0963927102990875e-05,5.386573753594792e-05,0.760482061081093,0.0,0.0,0.0
fluct_ramp_end_1p00,20325_10.h5,42,0.07509616552357505,0.01742858654105645,0.006389941503047057,0.48687896313465595,0.038145965372823415,0.8098421183135128,0.48687896313465595,0.00014569769299436821,0.00019982966555809624,0.729109427208693,0.0,0.0,0.0
fluct_ramp_end_1p00,20325_20.h5,42,0.09845383848651415,0.020100305262130223,0.012313800068985846,0.425883672958206,0.052023229668531554,0.7112820918684073,0.425883672958206,0.00033208365633300265,0.0004241817234868227,0.7828806333361953,0.0,0.0,0.0
fluct_ramp_end_1p00,21600_15.h5,42,0.09709908557075908,0.02215644844054733,0.008313139316858887,0.4630434541008028,0.05057916505341146,0.7296208632247799,0.4630434541008028,0.00026218329221539525,0.0003878792038515198,0.6759405753440679,0.0,0.0,0.0
fluct_ramp_end_1p00,21600_5.h5,23,0.04511719185317924,0.010680606824235274,0.005625206146902449,0.47410403508099536,0.020089051948530282,1.0715885550422488,0.47410403508099536,4.032353845293495e-05,5.150881262857102e-05,0.7828473691231664,0.0,0.0,0.0
fluct_ramp_end_1p00,22875_15.h5,42,0.10239785541473159,0.024711550659264055,0.008661824330110304,0.500962024606945,0.051239247089413555,0.7866739168028767,0.500962024606945,0.00028193572081624066,0.0004220973674686105,0.6679400122939808,0.0,0.0,0.0
fluct_ramp_end_1p00,25425_20.h5,42,0.12653701741584142,0.03290004553455327,0.013449495015023964,0.5710335307133523,0.06823992304084459,0.7312056005286868,0.5710335307133523,0.0005161908674155244,0.0008536246571157602,0.6047047295466346,0.0,0.0,0.0
