model,end_scale,rel_l2_raw,tke_raw,mvpe_raw,tke_energy_ratio,delta_rel_pct_vs_current80,delta_tke_pct_vs_current80,delta_mvpe_pct_vs_current80,mechanical_tke_gain_ge_2pct,mechanical_rel_guard_le_0p5pct,mechanical_mvpe_guard_le_0p2pct
fluct_ramp_end_1p00,1.0,0.08042041957378387,0.449158251285553,0.07111691683530807,0.6694305115576624,0.0,0.0,0.0,False,True,True
fluct_ramp_end_1p20,1.2,0.08196167647838593,0.4543239176273346,0.07111691683530807,0.7867970361606117,1.9164994571906993,1.1500771336153273,0.0,False,False,True
fluct_ramp_end_1p40,1.4,0.08428948372602463,0.5152548551559448,0.07111691683530807,0.9168775422391847,4.811046961388925,14.71566061209256,0.0,False,False,True
fluct_ramp_end_1p60,1.6,0.08732859790325165,0.6248997449874878,0.07111692428588867,1.0596720302308567,8.590079939995437,39.12685410964585,1.0476523629641899e-05,False,False,True
