experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,delta_rel_pct_vs_current80,delta_tke_contrib_pct_vs_current80,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
fluct_ramp_end_1p00,1,0.03936816268167666,0.008236080982548159,0.003699006372340978,0.006384186639412675,0.5679456171994767,1.0617034880919183,0.0,0.0,,,,
fluct_ramp_end_1p00,2,0.04974723892591158,0.010572877405612682,0.004245919425202446,0.00805647467567008,0.5914745166487627,1.0101946255059429,0.0,0.0,,,,
fluct_ramp_end_1p00,3,0.05799061261226235,0.012481444962757101,0.004777049851712124,0.00945004427619462,0.6018859464144944,0.9181216068911812,0.0,0.0,,,,
fluct_ramp_end_1p00,4,0.0653090286674459,0.01416752181665057,0.005266094048572922,0.010687619495324601,0.6223997812649315,0.8161326681730178,0.0,0.0,,,,
fluct_ramp_end_1p00,5,0.06887818003756352,0.0149235978327023,0.00564172471220056,0.011281463335943863,0.6434908443126208,0.7616076202617975,0.0,0.0,,,,
fluct_ramp_end_1p00,6,0.07184358241074038,0.015448936632192737,0.005962636730728537,0.011709455150606705,0.6620681188191823,0.7341083280698337,0.0,0.0,,,,
fluct_ramp_end_1p00,7,0.07453306755079234,0.015965337056306983,0.006222547562909979,0.012116354350508361,0.6838967321142363,0.7084148400987603,0.0,0.0,,,,
fluct_ramp_end_1p00,8,0.07694892769283179,0.01643386148846399,0.006453007341677709,0.012484252223777087,0.7051475750077445,0.686842943254631,0.0,0.0,,,,
fluct_ramp_end_1p00,9,0.0788967954874566,0.01676848816180583,0.0066465777091085955,0.012754591143502829,0.7216214959799014,0.6701131196781888,0.0,0.0,,,,
fluct_ramp_end_1p00,10,0.0807464670629238,0.01710841427473717,0.006838497829543785,0.013028102155738297,0.7341922473514989,0.650354188434756,0.0,0.0,,,,
fluct_ramp_end_1p00,11,0.08248004164901285,0.017441383767512104,0.007065245228534145,0.013306381135849059,0.7353135269544816,0.6332156458267035,0.0,0.0,,,,
fluct_ramp_end_1p00,12,0.08425405149704875,0.017737349133232074,0.0073267248745921285,0.013570085697263222,0.7298175932820584,0.6109489581105284,0.0,0.0,,,,
fluct_ramp_end_1p00,13,0.08617465919026827,0.018069537583173357,0.007588949691754286,0.013858216802563234,0.721714390539501,0.5899051737358267,0.0,0.0,,,,
fluct_ramp_end_1p00,14,0.08791528357095524,0.01831109718191174,0.007887196799187176,0.014097945831831753,0.7109481889702379,0.5701016100107474,0.0,0.0,,,,
fluct_ramp_end_1p00,15,0.08963672267700133,0.018540754548798527,0.008157368834878125,0.014323097527194217,0.703294457221179,0.5492318949718943,0.0,0.0,,,,
fluct_ramp_end_1p00,16,0.09130602484665148,0.018779883254022457,0.008430760180912211,0.014556128129807873,0.6985053389616818,0.5291359705559264,0.0,0.0,,,,
fluct_ramp_end_1p00,17,0.09317770131341976,0.019108705015001,0.008697659046836049,0.014845738113097195,0.7013885493295644,0.5029023655542592,0.0,0.0,,,,
fluct_ramp_end_1p00,18,0.0952111599904927,0.019465040887703268,0.008914949969215918,0.01513876067770382,0.7100442678854544,0.4707065624380791,0.0,0.0,,,,
fluct_ramp_end_1p00,19,0.09758361746555282,0.01992057463054541,0.009114291271695002,0.015490313085867973,0.7230466256534264,0.4371254432517882,0.0,0.0,,,,
fluct_ramp_end_1p00,20,0.10008802217485577,0.02040956037709792,0.009343650487514121,0.01587220777364051,0.7382425448956925,0.4013362452046374,0.0,0.0,,,,
fluct_ramp_end_1p20,1,0.04048577104750724,0.008351136280473527,0.00383399653023308,0.0064977306257215876,0.5877981594609539,1.0916604308638322,2.838863410688848,3.495500565594566,0.03936816268167666,0.00043103244186869797,0.3585784912109375,0.5679456171994767
fluct_ramp_end_1p20,2,0.051155317460746905,0.010745537495988357,0.004438039553342802,0.008220789839021763,0.6235289884596144,1.0710238812405062,2.830465700684151,5.419417220621637,0.04974723892591158,0.000558963171434056,0.3619255065917969,0.5914745166487627
fluct_ramp_end_1p20,3,0.059524175053699224,0.012682996531611358,0.0050056312324057335,0.009641440376201614,0.6359615622040076,1.0030822651449671,2.644501191409379,5.661473904234779,0.05799061261226235,0.0006991587111378973,0.372222900390625,0.6018859464144944
fluct_ramp_end_1p20,4,0.06682738791276319,0.014370421520369662,0.005522057621830177,0.010885819561519386,0.6522926850043331,0.9150123503678458,2.324884133629959,4.802846119040878,0.0653090286674459,0.0008120828712045369,0.37612152099609375,0.6223997812649315
fluct_ramp_end_1p20,5,0.07041484804328987,0.015128507741078571,0.005919516263417553,0.011487219403857907,0.6721985572515867,0.8704930014163192,2.230993915472672,4.461246526301641,0.06887818003756352,0.0009054058510680619,0.38442230224609375,0.6434908443126208
fluct_ramp_end_1p20,6,0.0733675236614625,0.015655138442072197,0.0062537418732714145,0.011920416248142406,0.6890128598954849,0.8502771499699696,2.121193291851076,4.0697838047781785,0.07184358241074038,0.0009761575295431531,0.3918128967285156,0.6620681188191823
fluct_ramp_end_1p20,7,0.07603977249220698,0.01617410963690581,0.006514142646058414,0.012329555485901474,0.7101459518045429,0.8283204297296579,2.0215254663815605,3.838184693346653,0.07453306755079234,0.0010299569863353197,0.39691314697265623,0.6838967321142363
