experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
A1_aoa_meanfield,10125_0.h5,29,0.03929677605628967,0.3928053379058838,0.02637738361954689
A1_aoa_meanfield,10125_15.h5,42,0.08462046086788177,0.45797017216682434,0.08030961453914642
A1_aoa_meanfield,11400_5.h5,42,0.04142225533723831,0.4826909601688385,0.029418891295790672
A1_aoa_meanfield,19050_0.h5,42,0.04789913818240166,0.4809799790382385,0.029981765896081924
A1_aoa_meanfield,20325_10.h5,42,0.07502740621566772,0.49307486414909363,0.06795372813940048
A1_aoa_meanfield,20325_20.h5,42,0.09788316488265991,0.4239697754383087,0.09031207114458084
A1_aoa_meanfield,21600_15.h5,42,0.09695190191268921,0.4665815234184265,0.08787944912910461
A1_aoa_meanfield,21600_5.h5,23,0.044829804450273514,0.47954991459846497,0.026520615443587303
A1_aoa_meanfield,22875_15.h5,42,0.10224870592355728,0.5039215087890625,0.07223554700613022
A1_aoa_meanfield,25425_20.h5,42,0.12593036890029907,0.5700278282165527,0.13040371239185333
A1_aoa_meanfield,26700_10.h5,42,0.09955908358097076,0.5277675986289978,0.08295207470655441
A1_aoa_meanfield,3750_0.h5,42,0.045756202191114426,0.3182998299598694,0.04346765950322151
A1_aoa_meanfield,6300_0.h5,42,0.043123308569192886,0.1873885542154312,0.032812364399433136
A1_aoa_meanfield,6300_20.h5,42,0.10137318074703217,0.4788978695869446,0.101556695997715
A1_aoa_meanfield,7575_20.h5,42,0.10609965026378632,0.47776761651039124,0.10471238195896149
A1_aoa_meanfield,8850_20.h5,42,0.10521333664655685,0.4964316189289093,0.09896489232778549
