label,horizon,frame_rel_l2,delta_frame_rel_l2_pct_vs_baseline,velocity_rmse,tke_contrib_rel_l2,delta_tke_contrib_rel_l2_pct_vs_baseline,tke_contrib_ratio,correction_help_fraction
current80,1,0.03936793416972609,0.0,0.0063841222609962054,0.5679370047446237,0.0,1.0616853796261805,0.8562599182128906
current80,2,0.04974719376772745,0.0,0.008056449275137994,0.5914678871091973,0.0,1.010175404614885,0.8067085266113281
current80,3,0.05799047911744646,0.0,0.009450015128254712,0.6018863740901148,0.0,0.9181039317704143,0.7757003784179688
current80,4,0.06530903581742253,0.0,0.010687594347082564,0.6223991651473793,0.0,0.8161124480303477,0.7473419189453125
current80,5,0.06887809556357166,0.0,0.011281410075254695,0.6434889148875417,0.0,0.7615862632340197,0.730023193359375
current80,6,0.07184336361096147,0.0,0.011709374616257607,0.6620653587788622,0.0,0.7340848873285065,0.7056045532226562
current80,7,0.07453277739576171,0.0,0.012116261874691437,0.6838974876280135,0.0,0.7083889520014901,0.6982795715332031
current80,8,0.07694857476735886,0.0,0.012484183981854339,0.7051467595769768,0.0,0.6868176925963416,0.6927848815917969
current80,9,0.07889654459954196,0.0,0.012754523207848208,0.7216210375246641,0.0,0.6700880252008966,0.6905220031738282
current80,10,0.08074636745674418,0.0,0.01302804820674883,0.7341909223325873,0.0,0.6503307569425304,0.6875144958496093
current80,11,0.08247997369496801,0.0,0.01330634542537801,0.7353117691031089,0.0,0.6331959898845928,0.6857101440429687
current80,12,0.0842538930621864,0.0,0.01357003409611376,0.729815960794082,0.0,0.6109285251242464,0.6837844848632812
current80,13,0.08617449032944041,0.0,0.013858174305103554,0.7217167608864088,0.0,0.5898868727297869,0.6796112060546875
current80,14,0.08791508715245237,0.0,0.014097903570716991,0.7109483798784472,0.0,0.5700861712537115,0.680035400390625
current80,15,0.089636661429672,0.0,0.014323063975887831,0.7032948166265381,0.0,0.5492161415020302,0.6897911071777344
current80,16,0.09130607106427335,0.0,0.014556107587671587,0.6985090213045708,0.0,0.5291231776204328,0.6962051391601562
current80,17,0.09317769152616773,0.0,0.014845741938144589,0.7013918308447051,0.0,0.5028881358370614,0.7032173156738282
current80,18,0.09521082316835498,0.0,0.015138726239264629,0.7100440175888556,0.0,0.4706935247404715,0.7060646057128906
current80,19,0.09758311836155945,0.0,0.015490254544696179,0.7230452827956937,0.0,0.43711314819590763,0.705462646484375
current80,20,0.10008766384805408,0.0,0.015872179303389036,0.7382455492226602,0.0,0.40132387689317783,0.6972846984863281
aoa_best,1,0.03936793416972609,0.0,0.0063841222609962054,0.5679370047446237,0.0,1.0616853796261805,0.8562599182128906
aoa_best,2,0.04974719376772745,0.0,0.008056449275137994,0.5914678871091973,0.0,1.010175404614885,0.8067085266113281
aoa_best,3,0.05799047911744646,0.0,0.009450015128254712,0.6018863740901148,0.0,0.9181039317704143,0.7757003784179688
aoa_best,4,0.06530903581742253,0.0,0.010687594347082564,0.6223991651473793,0.0,0.8161124480303477,0.7473419189453125
aoa_best,5,0.06887809556357166,0.0,0.011281410075254695,0.6434889148875417,0.0,0.7615862632340197,0.730023193359375
aoa_best,6,0.07184336361096147,0.0,0.011709374616257607,0.6620653587788622,0.0,0.7340848873285065,0.7056045532226562
aoa_best,7,0.07453277739576171,0.0,0.012116261874691437,0.6838974876280135,0.0,0.7083889520014901,0.6982795715332031
aoa_best,8,0.07694857476735886,0.0,0.012484183981854339,0.7051467595769768,0.0,0.6868176925963416,0.6927848815917969
aoa_best,9,0.07889654459954196,0.0,0.012754523207848208,0.7216210375246641,0.0,0.6700880252008966,0.6905220031738282
aoa_best,10,0.08074636745674418,0.0,0.01302804820674883,0.7341909223325873,0.0,0.6503307569425304,0.6875144958496093
aoa_best,11,0.08247997369496801,0.0,0.01330634542537801,0.7353117691031089,0.0,0.6331959898845928,0.6857101440429687
aoa_best,12,0.0842538930621864,0.0,0.01357003409611376,0.729815960794082,0.0,0.6109285251242464,0.6837844848632812
aoa_best,13,0.08617449032944041,0.0,0.013858174305103554,0.7217167608864088,0.0,0.5898868727297869,0.6796112060546875
aoa_best,14,0.08791508715245237,0.0,0.014097903570716991,0.7109483798784472,0.0,0.5700861712537115,0.680035400390625
aoa_best,15,0.089636661429672,0.0,0.014323063975887831,0.7032948166265381,0.0,0.5492161415020302,0.6897911071777344
aoa_best,16,0.09130607106427335,0.0,0.014556107587671587,0.6985090213045708,0.0,0.5291231776204328,0.6962051391601562
aoa_best,17,0.09317769152616773,0.0,0.014845741938144589,0.7013918308447051,0.0,0.5028881358370614,0.7032173156738282
aoa_best,18,0.09521082316835498,0.0,0.015138726239264629,0.7100440175888556,0.0,0.4706935247404715,0.7060646057128906
aoa_best,19,0.09758311836155945,0.0,0.015490254544696179,0.7230452827956937,0.0,0.43711314819590763,0.705462646484375
aoa_best,20,0.10008766384805408,0.0,0.015872179303389036,0.7382455492226602,0.0,0.40132387689317783,0.6972846984863281
aoa_final,1,0.03924483830655795,-0.3126805248084326,0.006354312963903183,0.5641758171069696,-0.662254370860257,1.0577043252359415,0.85748291015625
aoa_final,2,0.0496815913470447,-0.13187160061540754,0.008032680141144945,0.5865037569503487,-0.8392898865753763,1.0034042476090381,0.8075454711914063
aoa_final,3,0.05797383412710384,-0.028702970894422176,0.009436155209792232,0.5972911657989888,-0.7634677389187801,0.9123355049424332,0.7747825622558594
aoa_final,4,0.06542302585657982,0.17453946108767035,0.010690412146398855,0.6213839931994695,-0.16310625154347738,0.8123033584940533,0.7439308166503906
aoa_final,5,0.06900648634983855,0.18640292710821468,0.01127792268489439,0.6426646275494672,-0.12809658705908666,0.7540867904632546,0.7267425537109375
aoa_final,6,0.07193734451864173,0.13081362419105708,0.01169147268004216,0.6620683754238319,0.00045564156615520763,0.7235613442999445,0.7016716003417969
aoa_final,7,0.07461363349536283,0.10848394817193681,0.012083904440093775,0.684604342747659,0.103356882052182,0.6951813890564884,0.6956016540527343
aoa_final,8,0.07701796294022378,0.09017473432705403,0.012438936822369321,0.7055377895189153,0.055453696216812565,0.6712019449502774,0.6895278930664063
aoa_final,9,0.07898406649610126,0.11093248380337078,0.012706314672247934,0.7222550033889475,0.08785301859520254,0.6531940863791275,0.6878936767578125
aoa_final,10,0.08084882278953111,0.1268853770317403,0.012982678370260362,0.7349828112336956,0.10785871590353681,0.6337592830828044,0.6856346130371094
aoa_final,11,0.08260241479660117,0.1484494916135395,0.013262196611485425,0.7361635117465921,0.11583421879974894,0.616954614588116,0.6836639404296875
aoa_final,12,0.08436633702777349,0.1334584806711462,0.013530808620428115,0.7307257477975819,0.12465978443525302,0.5952826490559677,0.6818489074707031
aoa_final,13,0.086234337211537,0.06944848976512784,0.013813891883845849,0.7233630936656752,0.22811341907099184,0.5756550348433406,0.6782707214355469
aoa_final,14,0.0878991401098157,-0.018139142157728494,0.014044226030339111,0.7131469688362341,0.3092473405963462,0.5575824105796938,0.6786415100097656
aoa_final,15,0.08957380416976267,-0.0701244991801115,0.014265530765143947,0.7050085548924718,0.2436728133663623,0.5398787233972577,0.6886222839355469
aoa_final,16,0.091208702920192,-0.10663928799741888,0.014497356445466025,0.6999030323083335,0.1995695060829937,0.5220955043607718,0.6944572448730468
