floor,mult,sps,coverage,mean_width_uv
0.0,0.5,25.51933361560045,0.39663243057671843,0.009291676804423332
0.0,1.0,39.22373314138979,0.6968817762518587,0.018583353608846664
0.0,1.5,43.559430212796116,0.8704059193344102,0.027875032275915146
0.0,2.0,42.813489011057534,0.9497737357838915,0.03716670721769333
0.0,2.5,40.142445709945854,0.9809005818834792,0.04645833373069763
0.0,3.0,37.07114454828382,0.9923076016709946,0.05575006455183029
0.0,4.0,31.489549848405275,0.998219709864515,0.07433341443538666
0.0025,0.5,41.165369553878506,0.6782381371291213,0.014291719533503056
0.0025,1.0,45.07008160038756,0.8558713772975425,0.02358330972492695
0.0025,1.5,43.701931224134434,0.9429289347728473,0.03287503868341446
0.0025,2.0,40.54620086805681,0.9778809791021026,0.04216662421822548
0.0025,2.5,37.17512303037405,0.990858691661741,0.051458392292261124
0.0025,3.0,34.06304340325272,0.9958166014212906,0.06075017899274826
0.0025,4.0,28.835456499182637,0.9988055319202056,0.07933328300714493
0.005,0.5,44.58621223729375,0.8032206844150075,0.019291643053293228
0.005,1.0,44.049003410535015,0.9143976971027856,0.02858343906700611
0.005,1.5,40.966030873372375,0.9662536915399995,0.03787499666213989
0.005,2.0,37.420258066679516,0.9864689298018364,0.0471666194498539
0.005,2.5,34.12400117742197,0.9940727719573683,0.056458454579114914
0.005,3.0,31.209728584350987,0.9971205545120204,0.06575007736682892
0.005,4.0,26.39576166393286,0.999108320288172,0.08433324843645096
0.0075,0.5,43.68216117734991,0.8633615321952468,0.024291658774018288
0.0075,1.0,41.378545528545345,0.9415626689524692,0.033583350479602814
0.0075,1.5,37.84048259081218,0.9769235259867154,0.042875006794929504
0.0075,2.0,34.35857814145617,0.9904897797029745,0.05216679722070694
0.0075,2.5,31.268470094254464,0.9956853636029142,0.06145840138196945
0.0075,3.0,28.577498486106368,0.9978409514645016,0.07075004279613495
0.0075,4.0,24.159651582419272,0.9993020974279406,0.08933322131633759
