experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
control_final,1,0.04151410520443525,0.00843291499524451,0.004197690427931862,0.006660880581641232,0.5999786901030155,1.0700266614670528,0.08120487846142334,0.009219951694052039,0.8415596008300781,0.7781264523276497
control_final,2,0.05198893044855289,0.01085365119037402,0.00461316210505846,0.008339154896326565,0.6208408267221791,1.012509210403765,0.08086436354281422,0.008216881941515663,0.7928070068359375,0.7621498185578108
control_final,3,0.060986534400132755,0.012964927026240088,0.0050824424428197275,0.009846840965007663,0.631627520033374,0.9181049578853977,0.08405429185821359,0.007331744907649589,0.7594329833984375,0.7888419475159265
control_final,4,0.06851583643722028,0.014732343589976186,0.005574175162855134,0.01113807381011869,0.6543448627540271,0.8138150030844762,0.08684397467519014,0.006245671584580481,0.7317848205566406,0.8046276515994741
control_final,5,0.07246765517861868,0.015570067150353945,0.005918804015264522,0.011778353705795275,0.6754807275551242,0.751974068242297,0.08804911097902446,0.005866533055960456,0.7113243103027344,0.8102252572514604
control_final,6,0.07562352187724966,0.016138267394174722,0.0062311768930423785,0.012232563916821934,0.6948344449350351,0.7257142125247842,0.08717273867311244,0.0054243110428996355,0.6846275329589844,0.7896370695236615
control_final,7,0.07857706879120234,0.016726066820262977,0.006496361657636443,0.012687868734793693,0.716831931512905,0.6962007744913353,0.08894695139754252,0.005265078634853194,0.6770782470703125,0.8015581605000094
control_final,8,0.08128472288407525,0.017252687704394788,0.006728148066037678,0.013094334832741635,0.7381187904429016,0.6645211494868437,0.09116042059228917,0.005109682643028847,0.6699020385742187,0.8149502614136939
control_final,9,0.0835664519422369,0.01766167666790526,0.006927982551073205,0.013415136319650356,0.7549957047564771,0.6451569039982613,0.09276502574918523,0.0049960146815246475,0.6674606323242187,0.825051002858746
control_final,10,0.08571280847578623,0.01804212874520965,0.007124775526983731,0.013716428762047116,0.7668878688650409,0.6264890014849757,0.094480688719321,0.00491482521368428,0.663751220703125,0.8330913128615738
control_final,11,0.08770097951682547,0.018383640881215815,0.0073494413664512105,0.013999509642277004,0.7669163336449631,0.6094737901252041,0.09620637502389366,0.004885123056663813,0.6602676391601563,0.8351004130984769
control_final,12,0.08962513401956594,0.01866496973271723,0.007618431751024112,0.0142552025146657,0.7596279716800922,0.584517864909177,0.09806324690381958,0.004883391072331132,0.6587013244628906,0.834428308668057
control_final,13,0.09163482281200738,0.01897237101780478,0.007908157094613275,0.014534266590893427,0.751669193654354,0.5591890083172202,0.09990767134829234,0.004925268801336973,0.6536827087402344,0.8349659599892302
control_final,14,0.09352479307661019,0.019213199697901782,0.008244845161506689,0.014783851229782338,0.7427436557791435,0.5349392743263156,0.10214990092201628,0.0050422354274292655,0.6536430358886719,0.8341810863202301
control_final,15,0.09533997097486177,0.01943317597321471,0.008550321290067064,0.015012600084084431,0.7358990256636103,0.5120669350695487,0.10459332204015155,0.00519964388420475,0.6639198303222656,0.8329068264255955
control_final,16,0.0972370717903593,0.019684432689055165,0.00885533098662207,0.015262597701121731,0.7347415411665165,0.4902953004041314,0.10756152724579704,0.005552936873693805,0.66810302734375,0.8540594267635402
control_final,17,0.09927585931949015,0.020045556653423842,0.009127393656199903,0.015574557080393382,0.740288172522949,0.46586390918419796,0.11009646199974377,0.0057508672021510925,0.6751564025878907,0.8586009544902934
control_final,18,0.1012766558262935,0.02035234971023655,0.00935029780582634,0.01583739574212576,0.749938323846205,0.4343120742208924,0.11308499102662592,0.005933575315776618,0.6778457641601563,0.8730301859631624
control_final,19,0.10342410028978558,0.020713431037576474,0.009560620299476534,0.016131517068447083,0.76034647904528,0.40074410265143795,0.11556954168954672,0.006109560459736475,0.6781272888183594,0.872718832773454
control_final,20,0.10588569765573937,0.021111626689119846,0.00979634908828764,0.01645705376001962,0.775255806037032,0.36766107818971233,0.1168886060764092,0.006208316320304676,0.6696769714355468,0.8888393076736018
