experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
control_final,10125_0.h5,29,0.04220951659344589,0.0046175843146792975,0.0029085796426906022,0.4411754190948018,0.0230040116629733,0.7810695689538837,0.4411754190948018,1.4144768721025857e-05,1.8175024714923018e-05,0.7782530666608652
control_final,10125_15.h5,42,0.08800866310094382,0.009468697181826245,0.005218397338204611,0.4864624914581432,0.05248205832139543,0.7036349927882612,0.4864624914581432,5.8623481096451906e-05,7.957394632849506e-05,0.7367170261286778
control_final,11400_5.h5,42,0.04290040272320649,0.0056039131989747614,0.002805955294330012,0.5244329164542914,0.022737901423441946,0.8843259148672344,0.5244329164542914,1.2751258560197284e-05,1.811573162430563e-05,0.7038776475960317
control_final,19050_0.h5,42,0.04961302776774367,0.010196749019287004,0.006117931487520326,0.5220903437320575,0.023458616797252325,1.0182086604831138,0.5220903437320575,3.83343179277532e-05,5.3865737535947917e-05,0.7116642170205199
control_final,20325_10.h5,42,0.07800644917084673,0.018071537289668763,0.006737902868256464,0.5203163044289622,0.04052378724184006,0.8339438157962965,0.5203163044289622,0.0001433215052949919,0.00019982966555809624,0.7172183614215388
control_final,20325_20.h5,42,0.10417165917215539,0.021327864047985028,0.012927970625704608,0.46103849466872343,0.0564834475281031,0.7437772791827032,0.46103849466872343,0.00032714364230885336,0.0004241817234868227,0.7712346482533355
control_final,21600_15.h5,42,0.10035050436671715,0.022878308915325333,0.008643430701329998,0.4920398125815292,0.053456483350278076,0.7473343262206613,0.4920398125815292,0.0002454253251649419,0.0003878792038515198,0.6327364878754643
control_final,21600_5.h5,23,0.04622698995758016,0.010891174951252278,0.0058595004418048515,0.5339355137516248,0.021188672092574416,1.0892778080408438,0.5339355137516248,3.8863349184818434e-05,5.150881262857102e-05,0.7544990303904158
control_final,22875_15.h5,42,0.10568713285485423,0.025515262239637588,0.00891273607362968,0.5325680446687694,0.05378143176187978,0.8071416181923955,0.5325680446687694,0.00026659961445058304,0.0004220973674686106,0.6316069111006923
control_final,25425_20.h5,42,0.13237139885872692,0.03443641913032506,0.013983822051513588,0.5868533605150367,0.07269414039325588,0.7589131912795138,0.5868533605150367,0.000515846750119411,0.00085362465711576,0.6043016047150768
control_final,26700_10.h5,42,0.10559547102594115,0.0317580149416661,0.008179673219981781,0.5566572701513991,0.05549707127779475,0.8146125772097906,0.5566572701513991,0.00034839156208128205,0.0006006664178923474,0.5800083901872494
control_final,3750_0.h5,42,0.05063591619570585,0.002234152343206771,0.001328741021347475,0.37487607922347665,0.029712749836037805,0.6630589131892733,0.37487607922347665,3.961579067038549e-06,5.139943786729318e-06,0.770743656237417
control_final,6300_0.h5,42,0.0496423026860784,0.003335556593890035,0.002264127578432446,0.25574641116250707,0.028674138592104874,0.4674427756116855,0.25574641116250707,2.086645217369679e-05,2.523785244039417e-05,0.8267919080269768
control_final,6300_20.h5,42,0.11012097093056941,0.007052599153659334,0.00491394521564686,0.542935809609933,0.07328170816018274,0.7477693806888516,0.542935809609933,2.6267579692127848e-05,3.760546922566317e-05,0.69850423975569
control_final,7575_20.h5,42,0.11407553724753529,0.008693374747589513,0.006179565742115557,0.5356482565158489,0.07433903602114085,0.7254517502232134,0.5356482565158489,4.2806298355096166e-05,6.407075421962819e-05,0.6681097932507618
control_final,8850_20.h5,42,0.11314979423264104,0.009961838099288285,0.006980915666240772,0.5459089103759722,0.07209034829613131,0.7462317563148554,0.5459089103759722,5.4757497164675894e-05,8.16809953771538e-05,0.6703823442875376
