horizon,frame_rel_l2_a0,frame_rmse_a0,tke_contrib_rel_l2_a0,tke_contrib_ratio_a0,mvpe_probe_rel_l2_a0,frame_rel_l2_a0p5,frame_rmse_a0p5,tke_contrib_rel_l2_a0p5,tke_contrib_ratio_a0p5,mvpe_probe_rel_l2_a0p5,frame_rel_l2_a0p5_improvement_vs_base,frame_rmse_a0p5_improvement_vs_base,tke_contrib_rel_l2_a0p5_improvement_vs_base,mvpe_probe_rel_l2_a0p5_improvement_vs_base,tke_contrib_ratio_a0p5_delta_vs_base,frame_rel_l2_a1,frame_rmse_a1,tke_contrib_rel_l2_a1,tke_contrib_ratio_a1,mvpe_probe_rel_l2_a1,frame_rel_l2_a1_improvement_vs_base,frame_rmse_a1_improvement_vs_base,tke_contrib_rel_l2_a1_improvement_vs_base,mvpe_probe_rel_l2_a1_improvement_vs_base,tke_contrib_ratio_a1_delta_vs_base
11,0.09213505443003489,0.011798801736392923,0.795461885804071,0.7016493034530781,0.07882351236126414,0.09043424878398089,0.011628906634102164,0.7940448571435151,0.7002460858927043,0.07786413557622195,0.01845991904574773,0.01439935224665434,0.0017813910205433103,0.012171200651972747,-0.0014032175603737596,0.08980329058503012,0.011579733458755124,0.7988116042024368,0.7195004445058633,0.07771588270002397,0.025308107315174633,0.01856699371107251,-0.004211035699064114,0.014052021129985715,0.01785114105278518
12,0.09412690493709298,0.012044774824041494,0.8077232722353753,0.7238539171649521,0.08172182974606661,0.0923614847266065,0.011864136478117043,0.7997256296530679,0.7114227898143358,0.08078358016779329,0.018755744828392595,0.014997237272040609,0.009901463604204297,0.011481015307522324,-0.012431127350616245,0.09169779615556728,0.01181043485538889,0.7999378031829989,0.7253017336118368,0.08089824254441302,0.025806742324621545,0.019455736788442035,0.009638782637561127,0.010077933940205508,0.001447816446884742
13,0.09621435059683377,0.012309691850768825,0.8107435109473983,0.723358360496301,0.08615264944042754,0.09437814755999036,0.012119513432733589,0.8009879397377051,0.7118995188213132,0.08508819873088598,0.019084502732213404,0.015449486497369769,0.01203286992490793,0.012355403071818483,-0.011458841674987785,0.09372236424899584,0.012065319723179821,0.8005284729887844,0.7315736071633067,0.08508060372214393,0.025900360314025095,0.019852010151963362,0.012599592621687528,0.012443560647834806,0.008215246667005682
14,0.0993784214903313,0.012735710571407715,0.7983144816397305,0.729019534216603,0.0951498069747597,0.09676485571308308,0.012434806729787088,0.7920506464832043,0.7093986358151877,0.09115642374629156,0.026299127497235397,0.0236267807699847,0.007846325352460548,0.041969430684472675,-0.019620898401415343,0.09552012604388974,0.012290425850702683,0.7939095076756106,0.7219472259232433,0.08837325646363706,0.03882427783195308,0.034963476769385604,0.005517842987229904,0.07121980303039654,-0.007072308293359697
15,0.10583029812891276,0.013557352050379326,0.8043431154176479,0.8596182726857752,0.11003739485529855,0.09984846798363538,0.012820966424314061,0.788236405430461,0.7323724924014756,0.09618748417073017,0.05652285074346919,0.054316331340282686,0.020024675637117406,0.1258654905705583,-0.12724578028429956,0.09654879114958172,0.012408788018011001,0.7862197325077169,0.6789954634595673,0.08666063326511406,0.0877017937531005,0.08471890588222852,0.022531905305760658,0.21244379350243092,-0.18062280922620788
16,0.10911863754201989,0.013799190454253369,0.8131438309476728,0.8965251265164319,0.11074928119475416,0.10087350773362332,0.012866083982031177,0.7837551431438285,0.690913057107572,0.09251872589053212,0.07556115063498203,0.06762037782691643,0.03614205345393007,0.16461104855537034,-0.2056120694088599,0.0968604296892673,0.012428915605048982,0.7799196091279168,0.6123105403090991,0.08189271466991364,0.11233835143911275,0.09930110420224125,0.040858972982719566,0.260557596523772,-0.28421458620733275
17,0.109542866435359,0.013774340249368956,0.8042857529279264,0.8269702343722486,0.10458439429531136,0.1011677162423799,0.012868683863889353,0.782309388311331,0.6108651037647193,0.08637599802654004,0.0764554595430571,0.06574952913052179,0.02732407547515603,0.1741024212212473,-0.21610513060752934,0.098237656825653,0.012607401973697661,0.7846297930660117,0.5593252674032698,0.07922175846501336,0.10320352185029946,0.08471826995305676,0.024439025297114947,0.24250879876669162,-0.26764496696897877
18,0.10996547119999717,0.013968271743215811,0.8350935811471671,0.7515477692929078,0.09419885545155499,0.10393126959883266,0.013299800873173917,0.8147463372867256,0.5982173925365776,0.08646454196124237,0.05487360291659138,0.04785637638862228,0.024365226029507414,0.08210623635751346,-0.1533303767563302,0.10231281556819397,0.013162676728289292,0.8019666550652595,0.5767853895918672,0.08510953655012295,0.069591441279646,0.05767320608705839,0.039668519588428874,0.09649075732248713,-0.17476237970104058
19,0.12553546975970858,0.016121843649560746,1.0028492027042335,1.1610799081286518,0.11638302758351012,0.11573519662882731,0.014967715478773796,0.90201493021846,0.8723253181233591,0.10436458231109438,0.07806776164250862,0.07158785284575031,0.10054779144647952,0.10326630542234305,-0.2887545900052927,0.11171413424123686,0.014503607241104999,0.8482528539225068,0.773573221021371,0.10093553446154839,0.11009904646812241,0.10037539400773421,0.1541571238874696,0.1327297754896215,-0.38750668710728076
20,0.1695009709066302,0.022377219423722363,1.6025642531031274,2.4578308461534384,0.2182567563202108,0.14423451796444148,0.01925802682837998,1.1427292509842468,1.5639720692121648,0.16843628250309,0.1490637652813609,0.13939142912616254,0.2869370143683653,0.22826543680520817,-0.8938587769412736,0.12846633423903348,0.017059123684795247,0.9656779384634234,1.1023042337777793,0.13112895944719452,0.24209086501457677,0.23765668281776497,0.3974170230032701,0.3991986243266099,-1.355526612375659
