trajectory_id,horizon,alpha,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
10125_0.h5,1,0.0,29,0.053843453775030345,0.004907978841427742,0.8106592063838685,1.1504802975013857,0.05491774463131558,0.0,0.0,0.0,0.0,0.0
10125_0.h5,1,0.5,29,0.04136582191973908,0.0037704395459257777,0.6973768563745074,1.0534291811423195,0.0446360964337851,0.23173906910625608,0.2317734717803004,0.1397410269534629,0.18721905399712302,-0.09705111635906616
10125_0.h5,1,1.0,29,0.03423927084517952,0.003120395922254865,0.7450190294943273,1.2209056389772712,0.037009482390207286,0.36409594027458503,0.3642197688555774,0.08097135809058931,0.32609245629684,0.07042534147588553
10125_0.h5,2,0.0,29,0.0498310285965522,0.004542596513794675,0.7485720952281502,0.9453322718631367,0.04895017801887317,0.0,0.0,0.0,0.0,0.0
10125_0.h5,2,0.5,29,0.041659366013943294,0.003797448673901249,0.6854323895071499,0.9266068139035543,0.042718357151359944,0.16398743539430582,0.1640356649838054,0.08434686000652547,0.12730946279930777,-0.01872545795958247
10125_0.h5,2,1.0,29,0.03824288401195698,0.0034855449087753446,0.76416585374315,1.119164931174714,0.03792361505256164,0.23254877354462244,0.23269766570932315,-0.02083133824304162,0.22526093698903693,0.17383265931157732
10125_0.h5,3,0.0,29,0.05155504793349246,0.004700218864449766,0.8468185513665676,1.1329039167557458,0.045046983396453834,0.0,0.0,0.0,0.0,0.0
10125_0.h5,3,0.5,29,0.04446419714777899,0.004053610473261195,0.7576976018176419,0.9468330867219412,0.03835558167138425,0.13753940826242417,0.13756984724247867,0.10524208451161732,0.14854272629488297,-0.18607083003380454
10125_0.h5,3,1.0,29,0.04072650192188549,0.003712659372882764,0.7361370064184432,0.9196139907818474,0.0344078190647945,0.21003852087531982,0.21010925662131086,0.13070278723760864,0.23617928503724983,-0.2132899259738984
10125_0.h5,4,0.0,29,0.04810466169929496,0.004385837478200326,0.7316601748939843,0.8519575820685937,0.036477520445686175,0.0,0.0,0.0,0.0,0.0
