alpha,horizon,trajectory_count,frame_rel_l2_improved_count,frame_rel_l2_improved_fraction,frame_rel_l2_mean_improvement,frame_rel_l2_median_improvement,frame_rel_l2_worst_improvement,frame_rel_l2_best_improvement,frame_rmse_improved_count,frame_rmse_improved_fraction,frame_rmse_mean_improvement,frame_rmse_median_improvement,frame_rmse_worst_improvement,frame_rmse_best_improvement,tke_contrib_rel_l2_improved_count,tke_contrib_rel_l2_improved_fraction,tke_contrib_rel_l2_mean_improvement,tke_contrib_rel_l2_median_improvement,tke_contrib_rel_l2_worst_improvement,tke_contrib_rel_l2_best_improvement,mvpe_probe_rel_l2_improved_count,mvpe_probe_rel_l2_improved_fraction,mvpe_probe_rel_l2_mean_improvement,mvpe_probe_rel_l2_median_improvement,mvpe_probe_rel_l2_worst_improvement,mvpe_probe_rel_l2_best_improvement
0.5,1,16,16,1.0,0.21557002376544332,0.21893500295432344,0.17758140131517608,0.24176736389679898,16,1.0,0.21556908658174662,0.21895101378519782,0.1775685915503421,0.24176990937685616,16,1.0,0.11812879950283338,0.11708925704376111,0.051196830805384175,0.19006725826869786,16,1.0,0.19121943087349846,0.1850412322754385,0.14263823388355257,0.26842801366202396
0.5,2,16,16,1.0,0.15200208831863893,0.14710129091748597,0.11974875471047586,0.22315607560154838,16,1.0,0.15200869636632675,0.147103694037579,0.11971572954204779,0.22315419288859384,16,1.0,0.08366729797741476,0.07666826952408545,0.03861281908608227,0.18717129881100092,16,1.0,0.15155052770588812,0.13469729677202014,0.10328010312180946,0.2512902730009863
0.5,3,16,16,1.0,0.12070244467594671,0.12289188295744241,0.08918220166006252,0.15950381404286018,16,1.0,0.12074287817552345,0.12289083651441851,0.08923467848300826,0.15946852102617848,16,1.0,0.08793941713111511,0.08303331755820537,0.019872376618943033,0.22386315694315928,16,1.0,0.20076150261605713,0.19544981871526407,0.13541743712932808,0.2608929522032072
0.5,4,16,16,1.0,0.04472335239821111,0.04505250996203242,0.009669943968811823,0.09690711594071899,16,1.0,0.0447210511684409,0.04501761522551195,0.00961264776636317,0.0969149265183129,12,0.75,0.011013175223684703,0.009447541520232638,-0.004325806004057409,0.05021463072724175,15,0.9375,0.05908795994828669,0.029987354795547205,-0.0212784312352865,0.15616181712992616
0.5,5,16,16,1.0,0.03363604801798916,0.03439289329629924,0.005856418143366127,0.06599674428910807,16,1.0,0.033625408028663026,0.0344008849065765,0.005764986086549517,0.06599641919606924,9,0.5625,0.0037836729953087886,0.0015299421601129293,-0.019216475331657712,0.047283997502461705,16,1.0,0.03631532049705241,0.030487713066499222,0.00687997574604482,0.09147436850598134
0.5,6,16,16,1.0,0.026964403780682905,0.024946682187776237,0.007706263811554703,0.05910488061164021,16,1.0,0.026953039307021996,0.02496282267625055,0.007613592962710469,0.05907732881593075,8,0.5,-0.0006175620837465395,-0.0001580483925368581,-0.025143244427581646,0.03280458741216552,14,0.875,0.02706270574239652,0.026944396714053298,-0.015152767984419668,0.06716375591192503
0.5,7,16,16,1.0,0.03759551823670974,0.03005623290222814,0.01743658009611393,0.12325604605680585,16,1.0,0.037574022109049844,0.03003888924042969,0.01736112814827573,0.1231986709446532,7,0.4375,-0.0002513172248165829,-0.0003460652045865764,-0.018422323918247496,0.021847675421444612,16,1.0,0.07958546123494739,0.06723759676450913,0.03559745873407949,0.22073598429079222
0.5,8,16,16,1.0,0.03129547689833625,0.026884862123979614,0.012023089701446277,0.08657090365264253,16,1.0,0.03127971525585796,0.02687227270439485,0.011993092822580764,0.08651964732839013,4,0.25,-0.0012787851223682936,-0.001514361706553835,-0.014767310056914562,0.020533840429209138,16,1.0,0.0688471163587068,0.0563230048242942,0.029497169218704822,0.16939983045374807
0.5,9,16,16,1.0,0.02397438589332257,0.02294703074967397,0.0036913921057839527,0.06727768646380328,16,1.0,0.02396932994894667,0.022948128709382898,0.0036709960052145885,0.06724670993135962,6,0.375,-0.002629896930840349,-0.0024646209936458607,-0.014411744164277263,0.010447602524306543,15,0.9375,0.03942218681968098,0.03447488340999738,-0.01350802776975324,0.11321468409849877
0.5,10,16,16,1.0,0.021641826129057046,0.01923840944829569,0.002198782697016566,0.062399772626938854,16,1.0,0.02163918361541018,0.019240426628921004,0.002185220594741799,0.062374748123038226,7,0.4375,-0.0005875163909312767,-0.0017496075015582813,-0.010384836037132805,0.011679007206732095,15,0.9375,0.021418135262769818,0.02002171888962545,-0.02364372256841052,0.06857608927801706
0.5,11,16,16,1.0,0.021036640789343274,0.019501306958505327,0.0026926951085087802,0.056232500870148416,16,1.0,0.02102991009870033,0.019500725553854348,0.002670951452957593,0.05621427881435459,6,0.375,0.001500192809123932,-0.0007539889853901416,-0.010352046935667047,0.0304068937981411,14,0.875,0.015523336968209657,0.01377625893926776,-0.01943619235309635,0.04958987269896398
0.5,12,16,16,1.0,0.021003322780651867,0.01978218941846349,0.0026908000144022504,0.052391357686601636,16,1.0,0.02099752952932344,0.01977690840029034,0.0026871588690404735,0.052390305751303434,9,0.5625,0.008715235152009088,0.00045844665306271626,-0.006061378941462747,0.08160859004757925,12,0.75,0.015019819142377981,0.014677901346616173,-0.03429738322214493,0.05785240873598452
0.5,13,16,16,1.0,0.021455735808590143,0.02091200194967885,0.0038295420631661026,0.052507338857314734,16,1.0,0.02144916011129471,0.020890267234986548,0.003817300817967162,0.052501357627886325,12,0.75,0.011551978098251155,0.0011624938212138058,-0.0034248273703383347,0.08594220836511846,12,0.75,0.016129243932795807,0.013861598883598059,-0.02237160530774207,0.059597832133538864
0.5,14,16,16,1.0,0.027394725152636343,0.02353671330155882,0.01872229400270664,0.06940990555127091,16,1.0,0.027371203683244562,0.023504157216412525,0.01865343108878692,0.06937194304449834,10,0.625,0.008092734418508517,0.0042916701601249385,-0.006109287662283247,0.04076464035148242,14,0.875,0.04035446869714515,0.03906065498517991,-0.004555742015378561,0.09589427769976988
0.5,15,16,16,1.0,0.056646522518043085,0.052633814167118764,0.03256522317282118,0.1095225442503368,16,1.0,0.05658071412708283,0.05258224648406101,0.03247332853103191,0.10945150212129795,14,0.875,0.02012354211477383,0.022750338125587688,-0.01131342919522571,0.04095674573219632,16,1.0,0.12162803207376863,0.1228315869985715,0.045685172511184646,0.17874982960465913
0.5,16,16,16,1.0,0.08008698686557539,0.08410459429251516,0.045521693647801786,0.11944206723890605,16,1.0,0.0800095594994859,0.08398101619652476,0.045485236172233656,0.119411221064185,11,0.6875,0.03560485441178736,0.034430017262508106,-0.014432495973667692,0.08347171231047068,16,1.0,0.16304435505433212,0.1560227453494641,0.12151678673912425,0.22349535224461303
0.5,17,16,16,1.0,0.08257741749773984,0.07730745909220488,0.03932483726394076,0.13713665141283538,16,1.0,0.08250083318618184,0.07726024422698141,0.03926908192960521,0.13712042191106721,11,0.6875,0.02825978479086884,0.03047010799719646,-0.023662643177686515,0.08683356921261054,16,1.0,0.17286002923978208,0.16539105878529986,0.104434350589513,0.2548315173918909
0.5,18,16,16,1.0,0.0607655801767908,0.059948101140618826,0.02281687972351154,0.10507726287654173,16,1.0,0.06079130985308222,0.059986898265828814,0.02288218803658848,0.10507996507571238,13,0.8125,0.02380518857938549,0.01969254212594085,-0.005986151657424887,0.07707870709838127,15,0.9375,0.09300457472727083,0.09306971205260628,-0.01698016562353377,0.17788856269147257
0.5,19,16,16,1.0,0.08293852973484321,0.09093726183520284,0.03888182709602783,0.10755715622221851,16,1.0,0.08300256676548506,0.09099545448767343,0.03900924339051426,0.10756943610023961,16,1.0,0.08676722141859936,0.05968521440354119,0.03286699722178077,0.2274874266607062,16,1.0,0.1034266408446888,0.11038365941101297,0.0045515092516613675,0.17467539698671797
0.5,20,16,16,1.0,0.15412986080241026,0.15273727016138305,0.10759651974569517,0.19354401514135178,16,1.0,0.15411270924143283,0.1527182557916542,0.10763822315673399,0.1935297601417718,16,1.0,0.27966647760503305,0.2798007059058852,0.13781631412099138,0.3589687941343245,16,1.0,0.22939886525771047,0.21047246626466076,0.14913490778745986,0.33427133779233453
1.0,1,16,16,1.0,0.35051983874315107,0.3473583074836896,0.31092439996034693,0.3874441384463534,16,1.0,0.3505376996610848,0.34741009305293197,0.31091673437435696,0.3873544568842151,16,1.0,0.1332156330520094,0.13363362909422255,0.03032208533261571,0.22570616947843636,16,1.0,0.32982329780281433,0.31555460932473883,0.2408959240920867,0.474909156701962
1.0,2,16,16,1.0,0.2142831557445295,0.19641828476440437,0.1605622988694636,0.3326533031911916,16,1.0,0.21430721799565838,0.19647168701386158,0.16060496346879827,0.33266088749952116,15,0.9375,0.07905339803047391,0.0647643762145868,-0.02083133824304162,0.27273181427629456,16,1.0,0.23189848027846321,0.2201448992929837,0.1133180907503818,0.4472499206942071
1.0,3,16,16,1.0,0.17571984404194735,0.17166226925203887,0.11418140367642104,0.2530794801303894,16,1.0,0.1758018559544693,0.171763271426078,0.11427939022622025,0.2530078277586457,14,0.875,0.09780001912447717,0.08787581904525688,-0.01386875653082753,0.3215533075111241,16,1.0,0.3256971691443371,0.3245004576167695,0.20354566357534765,0.4142562562213331
1.0,4,16,14,0.875,0.046895602840384874,0.04658720827171098,-0.009783680412012385,0.12784769913612137,14,0.875,0.04687927966002418,0.046530664053876736,-0.00991554177944276,0.1278725783110819,9,0.5625,0.0029999119085925285,0.004458024029114049,-0.04200839720199534,0.05848693998838206,12,0.75,0.06852285323719151,0.04359703816125632,-0.05747649095267193,0.18937294341285338
1.0,5,16,15,0.9375,0.038346019881416706,0.041469776913200807,-0.006811349902028585,0.0924709839117962,15,0.9375,0.03831681884606119,0.04146564011334836,-0.0070018953471115974,0.09247377385161515,5,0.3125,-0.007190674979879963,-0.004928230423632662,-0.07673831635806039,0.0686785507048111,14,0.875,0.04262431016784652,0.036647094396399904,-0.013191725603722837,0.14280869586652012
1.0,6,16,15,0.9375,0.031159088164883185,0.026829145276357658,-0.0014292496815799804,0.07898142000189856,15,0.9375,0.031130281830399203,0.02683539482159858,-0.0016241361426154732,0.0789275964323688,3,0.1875,-0.01249199829263413,-0.014894727290509113,-0.07452352983980615,0.059374381736975845,12,0.75,0.03178381164307355,0.0354469267236282,-0.060925814167868575,0.09864219495351734
1.0,7,16,16,1.0,0.051268391798224414,0.03832582250843619,0.018384879190483705,0.18153919211243552,16,1.0,0.05121990800801948,0.038252139423286036,0.01822024266675537,0.18142059069762118,3,0.1875,-0.01120473569687818,-0.00806530763011859,-0.0546984528045904,0.0334614573170654,16,1.0,0.12340243841353618,0.10387650063783549,0.024351919918717213,0.3696763517920596
1.0,8,16,16,1.0,0.04475910373299187,0.03736093697708498,0.014176215679590709,0.13478404974504754,16,1.0,0.044724838884819755,0.03731440965264904,0.014103709175020018,0.134690026709818,1,0.0625,-0.012285155628937214,-0.010520712093050388,-0.04791606856296715,0.021407673332486388,16,1.0,0.11343620314452228,0.09817944248562882,0.030569964176809017,0.30582946245029585
