metric,mean,p95,max,max_row,max_col
fluctuation_rmse,0.009005968316699864,0.019686295650899407,0.023057645186781883,28,15
mean_field_rmse,0.0056471566118148075,0.012134189391508699,0.016621898859739304,10,14
target_tke_mean,0.0002161901499250106,0.0008194572641514241,0.0010893363505601883,20,49
tke_abs_error,9.901035712793493e-05,0.0003104578994680196,0.000439610390458256,27,15
u_rmse,0.013733449193154001,0.03149445503950119,0.03879942372441292,27,15
v_rmse,0.005687010606990839,0.014318202808499334,0.016939815133810043,16,46
velocity_rmse,0.010644564154631553,0.023174267821013925,0.028119759634137154,27,15
