model,role,rel_l2_raw,tke_raw,mvpe_raw,delta_rel_pct_vs_current80,delta_tke_pct_vs_current80,delta_mvpe_pct_vs_current80
current_80pt_residual,frozen_decision_baseline,0.0804204195737838,0.449158251285553,0.071116916835308,0.0,0.0,0.0
historical_no_aug_5000,matched_optimization_control_from_20260921,0.0802410691976547,0.4503658413887024,0.0710276663303375,-0.2230159666905979,0.2688562660695032,-0.1254982765594219
angle_aug_2deg_5000,candidate,0.08036656677722931,0.4509638845920563,0.0712389126420021,-0.06696408305242352,0.4020038152110807,0.1715425979118542
