alpha,base_mvpe_raw,base_rel_l2_raw,base_tke_raw,experiment,mvpe_improvement_vs_base,mvpe_raw,rel_l2_improvement_vs_base,rel_l2_raw,tke_improvement_vs_base,tke_raw,trajectories,windows,update
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u000000,0.0,0.09872698038816452,0.0,0.09940799325704575,0.0,0.49757593870162964,18,756,0
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u001000,0.02049189805984497,0.09670387953519821,0.09177184104919434,0.09028513729572296,-0.06225621700286865,0.5285531282424927,18,756,1000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u002000,0.035335004329681396,0.09523846209049225,0.11554461717605591,0.08792193233966827,-0.06651449203491211,0.5306719541549683,18,756,2000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u003000,0.03799933195114136,0.09497541934251785,0.1180221438407898,0.08767564594745636,-0.06359314918518066,0.5292183756828308,18,756,3000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u004000,0.0350990891456604,0.09526175260543823,0.11786651611328125,0.08769112080335617,-0.04873013496398926,0.5218228697776794,18,756,4000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u005000,0.05327892303466797,0.09346691519021988,0.1297244429588318,0.08651234954595566,-0.0631331205368042,0.5289894342422485,18,756,5000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u006000,0.040998637676239014,0.09467931091785431,0.12835514545440674,0.08664846420288086,-0.059412479400634766,0.5271381735801697,18,756,6000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u007000,0.035806357860565186,0.09519192576408386,0.12202197313308716,0.08727803081274033,-0.044692158699035645,0.5198136568069458,18,756,7000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u008000,0.03747493028640747,0.09502719342708588,0.12723153829574585,0.08676016330718994,-0.047987937927246094,0.5214535593986511,18,756,8000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u009000,0.022990107536315918,0.09645723551511765,0.12441563606262207,0.08704008162021637,-0.056996941566467285,0.5259362459182739,18,756,9000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u010000,0.04100686311721802,0.09467849880456924,0.1279352307319641,0.08669020980596542,-0.04738795757293701,0.521155059337616,18,756,10000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u011000,0.01372140645980835,0.09737230837345123,0.12431973218917847,0.08704961836338043,-0.03976726531982422,0.5173631906509399,18,756,11000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u012000,0.021500229835510254,0.09660432487726212,0.1280617117881775,0.08667763322591782,-0.04709279537200928,0.5210081934928894,18,756,12000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u013000,0.04027295112609863,0.09475095570087433,0.13409650325775146,0.0860777273774147,-0.04747903347015381,0.5212003588676453,18,756,13000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u014000,0.03300529718399048,0.09546846896409988,0.1303669810295105,0.08644847571849823,-0.04879653453826904,0.521855890750885,18,756,14000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u015000,0.03828364610671997,0.09494735300540924,0.13427603244781494,0.08605988323688507,-0.0487215518951416,0.5218186378479004,18,756,15000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u016000,0.01978778839111328,0.09677339345216751,0.12963205575942993,0.08652152866125107,-0.03983592987060547,0.5173973441123962,18,756,16000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u017000,0.020720362663269043,0.09668131917715073,0.13087809085845947,0.08639766275882721,-0.034584760665893555,0.5147844552993774,18,756,17000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u018000,0.021652400493621826,0.09658930450677872,0.1297803521156311,0.08650679141283035,-0.03580796718597412,0.5153931379318237,18,756,18000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u019000,0.022235095500946045,0.09653177857398987,0.13040441274642944,0.08644475042819977,-0.03461933135986328,0.5148016810417175,18,756,19000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u020000,0.026463449001312256,0.09611432254314423,0.13190597295761108,0.086295485496521,-0.03752291202545166,0.5162464380264282,18,756,20000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u021000,0.024832606315612793,0.09627532958984375,0.13296937942504883,0.08618977665901184,-0.03811311721801758,0.5165401101112366,18,756,21000
1.0,0.09872698038816452,0.09940799325704575,0.49757593870162964,u022000,0.02510315179824829,0.09624861925840378,0.13285642862319946,0.0862010046839714,-0.037430405616760254,0.5162004232406616,18,756,22000
