experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
B_train65_stratified_random_start,10125_0.h5,29,0.042167779058218,0.44205573201179504,0.030215023085474968
B_train65_stratified_random_start,10125_15.h5,42,0.08769772946834564,0.4848106801509857,0.08655694872140884
B_train65_stratified_random_start,11400_5.h5,42,0.04295568913221359,0.5264248847961426,0.032062191516160965
B_train65_stratified_random_start,19050_0.h5,42,0.049478769302368164,0.5245425701141357,0.031625937670469284
B_train65_stratified_random_start,20325_10.h5,42,0.07802148908376694,0.5204874873161316,0.07179228961467743
B_train65_stratified_random_start,20325_20.h5,42,0.103474460542202,0.46645408868789673,0.09709399193525314
B_train65_stratified_random_start,21600_15.h5,42,0.10019361227750778,0.4962245523929596,0.09225097298622131
B_train65_stratified_random_start,21600_5.h5,23,0.0463680662214756,0.5290592908859253,0.028035923838615417
B_train65_stratified_random_start,22875_15.h5,42,0.10539504140615463,0.5353299379348755,0.07585731148719788
B_train65_stratified_random_start,25425_20.h5,42,0.1317911446094513,0.5956097841262817,0.13932301104068756
B_train65_stratified_random_start,26700_10.h5,42,0.10513151437044144,0.5580841898918152,0.0900895893573761
B_train65_stratified_random_start,3750_0.h5,42,0.04992838203907013,0.3722294569015503,0.051443297415971756
B_train65_stratified_random_start,6300_0.h5,42,0.04948217049241066,0.26326796412467957,0.03918609023094177
B_train65_stratified_random_start,6300_20.h5,42,0.10898385941982269,0.5392467379570007,0.11493480950593948
B_train65_stratified_random_start,7575_20.h5,42,0.11322558671236038,0.5328934192657471,0.11360161751508713
B_train65_stratified_random_start,8850_20.h5,42,0.1122993752360344,0.5465212464332581,0.11073270440101624
