experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
B_train65_stratified_random_start,1,0.04075901129102131,0.005558847304632073,0.5945405374729822,1.1575324485848726,0.06680718412365996,640,16
B_train65_stratified_random_start,2,0.051551642064524075,0.006982492726426889,0.6198995882771265,1.0831793707285204,0.08477555189983847,640,16
B_train65_stratified_random_start,3,0.060577846049548786,0.008175376064733708,0.6341034813645248,0.9687634758961398,0.10013680869878919,640,16
B_train65_stratified_random_start,4,0.06814001063650943,0.009185046947288524,0.654051198277298,0.850820759969387,0.11241232746162946,640,16
B_train65_stratified_random_start,5,0.07206866120916847,0.009688433368659868,0.675385511106576,0.7832831223089125,0.11760482886383397,640,16
B_train65_stratified_random_start,6,0.07524410333017041,0.010070367926180481,0.6946230089548278,0.7325077425062488,0.12112810353824566,640,16
B_train65_stratified_random_start,7,0.07822316244012424,0.010435907294901734,0.715611890427129,0.6855696738809783,0.12451415345369599,640,16
B_train65_stratified_random_start,8,0.08090506112282199,0.010769234584638835,0.7358588521697045,0.6379019637698792,0.12854488038406686,640,16
B_train65_stratified_random_start,9,0.08316288099035093,0.01103878573843758,0.7519738011434066,0.5999203777225578,0.1313981055496869,640,16
B_train65_stratified_random_start,10,0.08528209175359744,0.01129392181864893,0.7646365634228596,0.5717903945636083,0.13490403754990982,640,16
B_train65_stratified_random_start,11,0.08724110119532583,0.01153484168761675,0.7657687486805776,0.5566586523076589,0.13854653539584288,640,16
B_train65_stratified_random_start,12,0.08915887588203025,0.011762486427598227,0.7591644579683121,0.5484698666739143,0.1404342195729436,640,16
B_train65_stratified_random_start,13,0.09115069200246409,0.012009529667594923,0.7512811831289106,0.5488964947771142,0.14291746361646798,640,16
B_train65_stratified_random_start,14,0.09302628765551027,0.012231843385755744,0.7416658220948753,0.5551563997034961,0.1450764257828087,640,16
B_train65_stratified_random_start,15,0.09488181287744556,0.012444866006976203,0.7353722589398988,0.5590739570420998,0.14704699076913025,640,16
B_train65_stratified_random_start,16,0.09679469041982405,0.012675112163707872,0.7347119820421675,0.5616325857220623,0.14955942547641357,640,16
B_train65_stratified_random_start,17,0.09891406266983656,0.012943716681967398,0.7405846751930066,0.5618389962468318,0.15202621803535293,640,16
B_train65_stratified_random_start,18,0.1009230184943984,0.013183588261103631,0.7502240479537149,0.5524344625173466,0.1536073638545596,640,16
B_train65_stratified_random_start,19,0.10311153000202267,0.013442635422304694,0.7625548417130791,0.5364871273023128,0.15596841319674518,640,16
B_train65_stratified_random_start,20,0.10556410428722544,0.013722635875166773,0.7768178063509197,0.5140572841450952,0.15794566936107118,640,16
