experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
beta_0.65_seen,10125_0.h5,29,0.057560715824365616,0.5116158723831177,0.04150278866291046
beta_0.65_seen,11400_15.h5,42,0.09193688631057739,0.5039976239204407,0.09015300124883652
beta_0.65_seen,13950_5.h5,42,0.05859094113111496,0.6274388432502747,0.04891273006796837
beta_0.65_seen,20325_20.h5,42,0.11088429391384125,0.4864332675933838,0.11002889275550842
beta_0.65_seen,20325_5.h5,42,0.05418192595243454,0.6865092515945435,0.04189904406666756
beta_0.65_seen,22875_15.h5,42,0.11064279824495316,0.5704512596130371,0.09608785063028336
beta_0.65_seen,25425_15.h5,42,0.1335008442401886,0.6064193844795227,0.10608634352684021
beta_0.65_seen,26700_0.h5,42,0.06841991096735,0.8251913785934448,0.04660605639219284
beta_0.65_seen,3750_0.h5,42,0.11574346572160721,0.6173447370529175,0.08280468732118607
beta_0.65_seen,3750_20.h5,42,0.16719767451286316,0.6908354759216309,0.1766483187675476
beta_0.65_seen,8850_20.h5,42,0.12710916996002197,0.5817026495933533,0.13032180070877075
beta_0.65_seen,8850_5.h5,42,0.06516259163618088,0.5607821345329285,0.052199166268110275
